	注释	血量（破墙值）	血量ID	强度血量ID	血量倍数	攻击ID	强度攻击ID	攻击倍数	护盾类型	护盾ID	强度护盾ID	护盾倍数	防御ID	强度防御ID	防御倍数	护盾回复间隔	充能延迟	充能速率	暴击率	暴击加成	动能抗性	高热抗性	低温抗性	电击抗性	特异抗性	场地伤害抗性	群伤减免系数	装甲值	速度加成	气绝时间	硬直容量	硬直衰减延迟	硬直恢复间隔	硬直恢复速度（百分比/s）	硬直触发间隔	破墙值	仇恨系数（威胁值）	威胁值衰减比例	效果系数	控制保护	基础保护时间	保护时间系数	保护延长时间	控制免疫阈值	控制时间上限
7002	四足机甲 腿部核心	0		104	2		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7003	四足机甲 背部核心	0		104	100		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7004	海拉 四肢	1500			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7005	海拉 背部挂件	2500			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7006	炉子盾牌	750			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7007	炉子背包	200			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7008	灯泡背包	100			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7009	审判者护罩	600			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7010	精英夏基 肩膀	600			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7011	四足机甲 肩甲炮	1500			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7012	海拉 手臂挂件	1500			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7013	祟 头部挂件	0		104	3		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7014	祟 身体挂件	0		104	1.5		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7015	海拉 序章 四肢	750			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7016	威尔  强化部位	600			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7017	MCTeaPot气球	650			0		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7018	新-约瑟夫 挂舱	2500			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7019	新-约瑟夫 板甲	1050			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7020	新-约瑟夫 背炮	750			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7021	弹幕方块2型黄甲	750			0		201	1		0		0	0		0	0	0	0	0	0	0	0	-40	-40	60	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7022	BOSS 狄俄尼索斯可破坏部位酒壶	400			0		201	1		0		0	0		0	0	0	0	0	0	0	40	0	-20	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7023	BOSS 狄俄尼索斯可破坏部位肩甲1	400			0		201	1		0		0	0		0	0	0	0	0	0	0	40	0	-20	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7024	BOSS 狄俄尼索斯可破坏部位肩甲2	400			0		201	1		0		0	0		0	0	0	0	0	0	0	40	0	-20	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7025	BOSS 狄俄尼索斯可破坏部位武器	400			0		201	1		0		0	0		0	0	0	0	0	0	0	40	0	-20	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7026	BOSS 尘白恶魔光束护罩	600			0		201	1		0		0	0		1	0	0	0	0	0	40	0	-20	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7027	沙虫身体可击破部位	0		104	5		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7028	BOSS 噬神斗场-四足外部	0		104	15		201	1			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7029	BOSS 噬神斗场-新-约瑟夫 板甲	0		104	15		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7030	BOSS 战斗人偶军团（母体）-弱点	450			0		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7031	起源物种-临时弱点	600			0		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7032	机器雪人可破坏雪罐	0		104	50		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7033	瑟茜-沙漏	0		104	60		201	1				0		303	1	0	0	0	0	0	-30	50	50	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7034	苏菲黄甲1	300			0		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
7035	苏菲黄甲2	450			0		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
																																													
8001	金币本-大只佬	0		101	25		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8002	金币本-小怪	0		101	2		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	150	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8003	炸弹小车	0		105	{{1,0.59},{80,2.06},{81,2.06}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8004	布雷器	0		101	{{1,0.74},{80,2},{81,2}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8005	霰弹枪架陷阱	0		101	{{1,0.74},{80,2},{81,2}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8006	经验本远程兵	0		101	2		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8007	经验本大兵	0		101	1.3		201	1			101	5.2		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8008	经验本杂兵	0		101	1.3		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8009	曜日本-螺钉	0		101	1		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8010	曜日本-螺帽	0		101	1		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8011	曜日本-喷壶	0		101	3		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	129	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8012	曜日本-灯泡	0		101	1.5		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	79	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8013	晶体人	0		101	{{1,1},{80,2.35},{81,2.35}}		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	30	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8014	NPC炸弹小车	0		105	{{1,2.59},{80,2.56},{81,2.56}}		201	2			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8015	NPC侵蚀泰坦	0		101	{{1,1.3},{80,2},{81,2}}		201	10			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	60	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8016	NPC连弩会员	0		101	{{1,0.5},{80,0.74},{81,0.74}}		201	2			101	{{1,2.25},{80,3.31},{81,3.31}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
8017	NPC长刀会员	0		102	{{1,4.65},{80,4.42},{81,4.42}}		201	5			102	{{1,8.3},{80,8.84},{81,8.84}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
																																													
1005	茉莉安 分身	0		101	5		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	166	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
																																													
2991	禁区协议技能释放怪物	0		201	1		102	10			201	0		301	0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2992	联机塔防友方自爆怪	0		201	1		102	0.1			201	0		301	0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2993	联机塔防友方npc	0		201	100		102	0.1			201	0		301	0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2994	DLC伤害传递装置	0		101	99999		201	1			101	0		301	0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2995	保护NPC（脆皮）	0		201	100		101	0.1			201	0		301	0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2996	保护NPC（中等）	0		201	250		101	0.1			201	0		301	0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2997	世界树安保NPC（肉盾）	0		201	500		101	0.1			201	0		301	0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
2998	猫灵魂	0		400	1		400	1			101	0		400	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	0	0	0	0	0	0	0	1	20	1	0	0	0	0	0	0
2999	召唤物小飞机暂时	0		101	100		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	0	0	0	0	5	1	20	1	0	0	0	0	0	0
																																													
9999	靶子	0		101	100		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9998	破墙值测试怪	800			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9997	破墙值测试怪2	1500			0		201	1		0		0	0		0	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9996	表演怪物	0		102	100		400	1			102	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9995	邪教 基座（破墙值）（低）	400			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9994	教学关 罐头-投掷型	0		101	8		201	0.1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	7	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9993	教学关部件 罐头-投掷型可破坏物	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9992	吸血鬼幸存者	0		400	5000		201	1			400	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9991	纯血靶子	0		999	3000		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9990	护盾加血靶子	0		999	1500		201	1			999	1500		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9989	塔防怪-小	0		102	1		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9988	塔防怪-大	0		102	5		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9987	塔防怪-超大	0		102	10		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9986	塔防怪-高速脆皮	0		102	0.5		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9985	塔防怪-霸体	0		102	2		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9984	塔防怪-小（低血量）	0		102	0.5		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9983	塔防怪-大（低血量）	0		102	2.5		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9982	塔防怪-超大（低血量）	0		102	5		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9981	塔防怪-高速脆皮（低血量）	0		102	0.25		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9980	塔防怪-霸体（低血量）	0		102	1		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9979	潜兵道具npc	0		201	1		101	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9978	潜兵友方小飞机	0		201	1		101	0.15			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9977	潜兵友方炮台	0		201	1		101	0.5			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9976	潜兵友方三期导弹小飞机	0		201	1		101	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9975	祖玛	0		102	{{1,1},{80,1.5},{81,1.5}}		201	1			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9974	潜兵友方三期导弹小飞机分支	0		201	1		101	0.8			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9973	潜兵友方激光小飞机（动能）	0		201	1		101	0.15			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9972	潜兵友方激光小飞机（高热）	0		201	1		101	0.15			999	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
9501	靶子（测试）	0		101	6000		201	1			101	12000		301	1	0	0	0	0	0	20	20	20	20	20	-200	100	-1	0	3	0	0	0	0	0	5	1	20	1	0	0	0	0	0	0
																																													
10000	1xxxx尘白新星开拓	0		201	6000		101	1			201			301	1	0	0	0	0	0	0	0	0	0	0	-200	100	-1	0	3	0	0	0	0	0	5	1	20	1	0	0	0	0	0	0
14001	新星开拓灯泡	0		201	79.37254		101	0.198495			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14002	新星开拓螺钉	0		201	102.8786		101	0.388561			201			301	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14004	新星开拓钢珠	0		201	67.08204		101	0.292552			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14006	新星开拓弓箭会员	0		201	89.44272		101	0.150534			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14007	新星开拓长刀会员	0		201	95.24705		101	0.233019			201			301	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14008	新星开拓武装会员	0		201	120		101	0.444821			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	5	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14010	新星开拓爆破会员	0		201	79.37254		101	0.51333			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14012	新星开拓会员	0		201	73.79024		101	0.405416			201			301	0.3	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14019	新星开拓喷壶	0		201	95.24705		101	0.21972			201			301	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14020	新星开拓通条	0		201	89.44272		101	0.163675			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14026	新星开拓炽热投手	0		201	71.55418		101	0.107287			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	15	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14028	新星开拓铁链	0		201	120		101	0.273202			201			301	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14029	新星开拓丙型异化人	0		201	93.91486		101	0.170013			201			302	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14031	新星开拓连弩会员	0		201	73.48469		101	0.317944			201			301	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14032	新星开拓散射会员	0		201	107.3313		101	0.112948			201			301	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14033	新星开拓埃罗	0		201	53.66563		101	0.240888			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14040	新星开拓祸斗	0		201	120		101	0.465646			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14043	新星开拓格里芬	0		201	63.49803		101	0.352719			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
14046	新星开拓侵蚀泰坦	0		201	87.30979		101	0.458593			201			302	0.3	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15001	新星开拓炉子	0		201	169.0467		101	0.200453			201			302	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	7	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15002	新星开拓铁锤	0		201	129.6		101	0.303416			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	7	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15003	新星开拓喇叭	0		201	120		101	0.165147			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	7	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15005	新星开拓审判官	0		201	144		101	0.255546			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	7	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15008	新星开拓净化官（火）	0		201	144		101	0.336156			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	5	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15027	新星开拓精英异化人	0		201	118.8		101	0.277197			201			302	0.3	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15028	新星开拓幻射会员	0		201	134.1641		101	0.220029			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15032	新星开拓阿耳戈斯	0		201	108		101	0.355021			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15040	新星开拓莱拉普斯	0		201	89.44272		101	0.369108			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15050	新星开拓空壳遗迹守卫	0		201	168		101	0.215689			201			302	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
16001	新星开拓BOSS 四足机甲	0		201	138.2389		101	0.078512			201			302	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
16013	新星开拓BOSS 爱思特	0		201	189.5848		101	0.1751			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
18013	新星开拓乙型异化人	0		201	67.08204		101	0.149727			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
																																													
15061	新星开拓自走炮	0		201	89.44272		101	0.148761			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15053	新星开拓重壁	0		201	168		101	0.132223			201			302	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15063	新星开拓赐福者	0		201	120		101	0.241978			201			302	0.2	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15021	新星开拓贡露	0		201	100		101	0.110551			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15022	新星开拓贡露小眼睛	0		201	10		101	0.110551			201			302	0.4	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
15016	新星开拓盖弥尔	0		201	150.2638		101	0.130938			201			302	0.5	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
