唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
434	7	{11820.8,-29061.4,3862.3}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	770	12	0
435	7	{-20378.0,-31360.0,1727.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	992	15	0
436	7	{-11371.0,-32449.0,1630.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	993	15	0
437	7	{-4480.0,-41043.0,947.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	994	15	0
438	7	{-23221.0,-37366.0,252.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	995	15	0
439	7	{-19402.0,-24882.0,275.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	996	15	0
440	7	{-7340.0,-30606.0,7107.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	997	15	0
441	7	{10261.0,-29389.0,5773.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	998	15	0
442	7	{11222.0,-31315.0,4793.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	999	15	0
443	7	{10985.0,-23982.0,7283.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1000	15	0
444	7	{2187.6,-18799.4,6512.4}	{0.0,38.3,0.0}	6	2	{0.0,0.0,0.0,0.0}	1001	15	0
445	7	{-19598.3,-32698.8,181.8}	{0.0,50.0,0.0}	6	0	{0.0,0.0,0.0,0.0}	1104	19	0
446	7	{-19869.6,-27297.1,-68.4}	{0.0,0.0,0.0}	6	0	{0.0,0.0,0.0,0.0}	872	7	61
447	7	{-13638.8,-41143.9,-68.4}	{0.0,0.0,0.0}	6	0	{0.0,0.0,0.0,0.0}	873	7	62
448	7	{-28628.9,-33137.9,632.1}	{0.0,-10.9,0.0}	6	1	{0.0,0.0,0.0,0.0}	843	10	0
449	7	{-13086.3,-35105.8,484.2}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	591	11	0
450	7	{-20824.1,-30986.9,773.0}	{0.0,4.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	844	10	0
451	7	{-17145.0,-28789.6,357.7}	{0.0,-90.3,0.0}	6	1	{0.0,0.0,0.0,0.0}	845	10	0
452	7	{-15010.1,-24466.4,563.7}	{0.0,-90.3,0.0}	6	1	{0.0,0.0,0.0,0.0}	846	10	0
453	7	{-17149.1,-36441.7,358.7}	{0.0,-2.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	847	10	0
454	7	{-4823.2,-22567.4,6000.0}	{0.0,-134.2,0.0}	6	1	{0.0,0.0,0.0,0.0}	848	10	0
455	7	{2774.4,-23053.3,6000.0}	{0.0,-136.4,0.0}	6	1	{0.0,0.0,0.0,0.0}	849	10	0
456	7	{10320.5,-28290.0,5093.1}	{0.0,-10.7,0.0}	6	1	{0.0,0.0,0.0,0.0}	850	10	0
457	7	{-14538.0,-24437.1,681.4}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	592	11	0
458	7	{-9471.6,-25698.1,4973.9}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	593	11	0
459	7	{-8771.3,-36601.6,581.6}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	594	11	0
460	7	{-19289.8,-25809.6,689.4}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	595	11	0
461	7	{-14541.9,-26670.3,689.4}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	596	11	0
462	7	{-2576.2,-26451.5,6275.3}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	597	11	0
463	7	{2086.0,-21863.3,6366.9}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	598	11	0
464	7	{593.6,-26237.0,6245.8}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	599	11	0
465	7	{11109.2,-26385.7,5076.6}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	600	11	0
466	7	{3226.6,-18180.8,6000.0}	{0.0,136.1,0.0}	6	1	{0.0,0.0,0.0,0.0}	851	10	0
467	7	{-5438.2,-40418.5,-16.6}	{10.2,45.2,-15.8}	6	1	{0.0,0.0,0.0,0.0}	852	10	0
468	7	{-15206.0,-24284.0,763.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1047	14	0
469	7	{-17595.0,-29506.0,538.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1048	14	0
470	7	{-10807.0,-27215.0,4974.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1049	14	0
471	7	{-4659.0,-24685.0,6314.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1050	14	0
472	7	{11010.0,-31076.0,4022.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1051	14	0
473	7	{-12276.0,-32225.0,460.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1083	16	0
474	7	{-10271.0,-41009.0,-1.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1084	16	0
475	7	{-17454.0,-22797.0,-9.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1086	16	0
476	7	{-14516.0,-24477.0,560.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1087	16	0
477	7	{-3316.0,-22178.0,6000.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1088	16	0
478	7	{10034.0,-26411.0,6000.0}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	1085	16	0
479	7	{-19614.4,-28716.4,-39.1}	{0.0,-17.2,0.0}	6	0	{0.0,0.0,0.0,0.0}	0	13	0
480	7	{39024.6,-21079.4,190.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	771	12	0
481	7	{40910.6,-24506.0,102.7}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	772	12	0
482	7	{42284.5,-26729.9,229.7}	{0.0,-1.9,90.0}	1	1	{0.0,0.0,0.0,0.0}	773	12	0
483	7	{44652.6,-28440.0,137.1}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	774	12	0
484	7	{46980.9,-27036.4,465.0}	{14.1,-0.5,-2.2}	1	1	{0.0,0.0,0.0,0.0}	775	12	0
485	7	{50141.9,-23726.4,564.8}	{0.0,67.2,90.0}	1	1	{0.0,0.0,0.0,0.0}	776	12	0
486	7	{47936.3,-24287.3,102.1}	{0.0,-180.0,-180.0}	1	1	{0.0,0.0,0.0,0.0}	777	12	0
487	7	{48880.1,-20918.1,287.1}	{90.0,-26.6,84.3}	1	1	{0.0,0.0,0.0,0.0}	778	12	0
488	7	{49796.6,-16913.4,137.1}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	779	12	0
489	7	{48547.2,-16713.1,16.3}	{90.0,90.0,15.4}	1	1	{0.0,0.0,0.0,0.0}	780	12	0
490	7	{47492.7,-14451.8,140.8}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	781	12	0
491	7	{51948.6,-11496.9,46.3}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	782	12	0
492	7	{54169.1,-16142.7,78.9}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	783	12	0
493	7	{58903.5,-20599.1,1172.6}	{90.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	784	12	0
494	7	{52281.0,-23095.7,-58.5}	{90.0,-20.6,83.1}	1	1	{0.0,0.0,0.0,0.0}	785	12	0
495	7	{43101.5,-23808.0,814.8}	{3.0,0.4,-19.9}	1	1	{0.0,0.0,0.0,0.0}	786	12	0
496	7	{40019.0,-21833.2,358.3}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	787	12	0
497	7	{31583.0,-20847.5,139.0}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	788	12	0
498	7	{35115.4,-21699.1,217.9}	{-66.9,-140.9,2.5}	1	1	{0.0,0.0,0.0,0.0}	789	12	0
499	7	{42289.9,-14199.3,217.9}	{0.0,0.0,-90.0}	1	1	{0.0,0.0,0.0,0.0}	790	12	0
500	7	{48624.0,-9492.0,795.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1002	15	0
501	7	{42372.0,-17216.0,1134.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1003	15	0
502	7	{45702.0,-29277.0,522.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1004	15	0
503	7	{35899.0,-20516.0,790.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1005	15	0
504	7	{40517.0,-20409.0,1073.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1006	15	0
505	7	{44102.0,-20460.0,1695.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1007	15	0
506	7	{38225.5,-14894.8,288.1}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1008	15	0
507	7	{37780.0,-25120.0,1246.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1009	15	0
508	7	{51138.0,-28624.0,1577.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1010	15	0
509	7	{58128.8,-20444.3,660.0}	{0.0,84.4,0.0}	1	2	{0.0,0.0,0.0,0.0}	1011	15	0
510	7	{38854.8,-19622.0,334.9}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	601	11	0
511	7	{39158.7,-15501.0,235.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	602	11	0
512	7	{48791.8,-16096.3,235.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	603	11	0
513	7	{48025.8,-20447.0,235.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	604	11	0
514	7	{49988.7,-23218.2,235.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	605	11	0
515	7	{51753.6,-24753.0,235.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	606	11	0
516	7	{39755.9,-26146.6,327.1}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	607	11	0
517	7	{46004.3,-26067.3,327.1}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	608	11	0
518	7	{38986.2,-22374.7,141.7}	{0.0,20.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	853	10	0
519	7	{44714.6,-10621.6,145.1}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	874	7	11
520	7	{34816.2,-20041.5,140.1}	{0.0,-121.8,0.0}	1	1	{0.0,0.0,0.0,0.0}	854	10	0
521	7	{40561.7,-17431.9,351.9}	{0.0,-121.8,0.0}	1	1	{0.0,0.0,0.0,0.0}	855	10	0
522	7	{46465.7,-13643.7,137.1}	{0.0,-123.9,0.0}	1	1	{0.0,0.0,0.0,0.0}	856	10	0
523	7	{52496.0,-17803.1,141.4}	{0.0,16.9,0.0}	1	1	{0.0,0.0,0.0,0.0}	857	10	0
524	7	{54187.3,-20787.8,142.6}	{0.0,0.1,0.0}	1	1	{0.0,0.0,0.0,0.0}	858	10	0
525	7	{45263.4,-27329.1,141.4}	{0.0,137.3,0.0}	1	1	{0.0,0.0,0.0,0.0}	859	10	0
526	7	{42733.5,-24721.0,351.9}	{0.0,12.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	860	10	0
527	7	{40498.2,-23141.3,462.2}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	609	11	0
528	7	{46638.6,-16351.1,307.0}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	610	11	0
529	7	{45458.0,-13744.0,197.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1052	14	0
530	7	{52330.9,-16837.6,257.0}	{0.0,-25.3,0.0}	1	2	{0.0,0.0,0.0,0.0}	1053	14	0
531	7	{46097.0,-21257.0,255.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1054	14	0
532	7	{40226.0,-18392.0,468.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1055	14	0
533	7	{34974.0,-21129.0,220.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1056	14	0
534	7	{46939.0,-13948.0,137.0}	{0.0,-25.3,0.0}	1	2	{0.0,0.0,0.0,0.0}	1089	16	0
535	7	{49978.0,-20494.0,140.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1090	16	0
536	7	{35024.0,-20486.0,140.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	1091	16	0
537	7	{45114.0,-27884.0,137.1}	{0.0,16.9,0.0}	1	2	{0.0,0.0,0.0,0.0}	1092	16	0
538	0	{41427.5,-16684.4,432.0}	{0.0,0.0,0.0}	1	0	{42014.6,-16684.4,432.0,-180.0}	1105	19	32
539	0	{39756.5,-14872.2,136.5}	{0.0,-153.4,0.0}	1	0	{0.0,0.0,0.0,0.0}	1108	141	0
540	7	{36792.3,-21506.0,141.2}	{0.0,-79.6,0.0}	1	0	{0.0,0.0,0.0,0.0}	0	13	0
541	7	{46439.2,-14103.4,141.2}	{0.0,-96.7,0.0}	1	0	{0.0,0.0,0.0,0.0}	0	13	0
542	0	{46477.5,-21052.1,141.7}	{0.0,174.4,0.0}	1	0	{46477.5,-21052.1,141.7,174.4}	1107	0	0
543	0	{44383.5,-23417.8,351.9}	{0.0,153.4,0.0}	1	0	{44383.5,-23417.8,351.9,153.4}	1109	0	0
544	0	{43908.6,-16779.4,351.9}	{0.0,-130.7,0.0}	1	0	{43908.6,-16779.4,351.9,-130.7}	1110	0	0
545	2	{37718.6,-29207.2,12.9}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	1	0	0
546	2	{46130.8,-30073.5,139.5}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	2	0	0
547	2	{44986.6,-20364.8,358.3}	{0.0,-100.8,0.0}	1	1	{0.0,0.0,0.0,0.0}	3	0	0
548	2	{56343.0,-20434.1,139.0}	{0.0,-24.8,0.0}	1	1	{0.0,0.0,0.0,0.0}	4	0	0
549	2	{49756.4,-13195.9,141.2}	{0.0,-60.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	5	0	0
550	2	{45166.6,-13293.3,137.1}	{0.0,-60.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	6	0	0
551	2	{49517.5,-17664.1,137.1}	{0.0,0.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	7	0	0
552	2	{48692.2,-25015.2,137.1}	{0.0,-120.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	8	0	0
553	5	{37955.8,-20473.9,140.1}	{0.0,0.0,0.0}	1	0	{37955.8,-20473.9,140.1,0.0}	501	11	20101
554	2	{39874.4,-25882.6,137.1}	{0.0,-120.0,0.0}	1	1	{0.0,0.0,0.0,0.0}	9	0	0
555	5	{46744.0,-14243.0,210.0}	{0.0,-126.6,0.0}	1	2	{46744.0,-14243.0,210.0,-126.6}	911	12	22101
556	2	{46429.0,-27183.0,283.0}	{0.0,0.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	67	0	0
557	2	{48869.3,-15965.0,283.0}	{0.0,129.4,0.0}	1	2	{0.0,0.0,0.0,0.0}	68	0	0
558	2	{52016.0,-16299.8,234.0}	{0.0,118.1,0.0}	1	2	{0.0,0.0,0.0,0.0}	69	0	0
559	2	{52053.5,-23990.5,263.0}	{0.0,92.8,0.0}	1	2	{0.0,0.0,0.0,0.0}	70	0	0
560	2	{33578.2,-20432.4,263.0}	{0.0,90.0,0.0}	1	2	{0.0,0.0,0.0,0.0}	71	0	0
561	1	{50191.8,-20430.9,140.1}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	891	0	0
562	1	{37052.4,-20430.9,140.1}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	892	0	0
563	7	{58465.2,-20452.2,139.0}	{0.0,-180.0,0.0}	1	1	{58605.2,-20445.2,219.0,0.0}	875	9	0
564	7	{44907.0,-30360.2,132.0}	{0.0,16.9,0.0}	1	2	{44775.1,-30407.5,212.0,-163.1}	1103	9	0
565	0	{41571.8,-24447.0,521.9}	{0.0,38.5,0.0}	1	0	{41884.4,-24207.2,431.9,-141.5}	1106	0	0
566	2	{31142.4,-37988.8,137.1}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	10	0	0
567	2	{28012.2,-34266.3,70.7}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	11	0	0
568	2	{28194.4,-30772.3,-18.2}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	12	0	0
569	2	{15791.5,-32930.5,24.3}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	13	0	0
570	2	{15437.9,-37231.7,12.2}	{0.0,-129.3,0.0}	2	1	{0.0,0.0,0.0,0.0}	14	0	0
571	2	{15385.3,-25323.5,770.5}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	15	0	0
572	2	{20335.3,-26731.3,156.4}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	16	0	0
573	2	{20307.1,-32841.2,9.3}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	17	0	0
574	5	{19357.5,-22479.2,2080.1}	{0.0,0.0,0.0}	2	1	{19357.5,-22479.2,2080.1,0.0}	502	21	20201
575	5	{19990.1,-39147.2,167.2}	{0.0,0.0,0.0}	2	1	{19990.1,-39147.2,167.2,0.0}	503	22	20202
576	2	{23589.2,-27510.1,157.6}	{0.0,-120.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	18	0	0
577	5	{19935.0,-33922.0,-68.0}	{0.0,0.0,0.0}	2	2	{19935.0,-33922.0,-68.0,0.0}	912	23	22201
578	2	{25834.0,-37641.0,179.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	72	0	0
579	2	{27136.0,-30226.0,157.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	73	0	0
580	2	{15397.0,-22900.0,1548.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	74	0	0
581	2	{17239.0,-29055.0,272.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	75	0	0
582	2	{22856.0,-26627.0,276.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	76	0	0
583	1	{34952.0,-31813.9,104.2}	{0.0,40.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	893	0	0
584	1	{25618.5,-26891.5,156.4}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	894	0	0
585	1	{23846.3,-37685.6,67.2}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	895	0	0
586	7	{13648.3,-23963.0,2075.2}	{0.0,62.0,0.0}	2	1	{13588.8,-24089.9,2155.2,-118.0}	876	9	0
587	7	{13934.4,-30172.5,1281.0}	{0.0,-20.4,0.0}	2	1	{13800.7,-30130.3,1361.0,159.6}	877	9	0
588	7	{29069.0,-38264.4,58.0}	{0.0,36.6,0.0}	2	2	{28960.7,-38353.5,138.0,-143.4}	1097	9	0
589	2	{27364.8,-15546.5,1.2}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	19	0	0
590	2	{25882.9,-7200.5,-8.0}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	20	0	0
591	2	{26165.8,-2203.8,-2.7}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	21	0	0
592	2	{25002.0,-17902.2,135.7}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	22	0	0
593	2	{19487.4,-8440.5,135.7}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	23	0	0
594	2	{21593.0,-449.7,141.4}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	24	0	0
595	2	{27208.4,-21103.3,137.6}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	25	0	0
596	2	{11458.3,-7475.9,1128.0}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	26	0	0
597	5	{6163.1,-3030.9,1080.7}	{0.0,41.3,0.0}	3	1	{6163.1,-3030.9,1080.7,41.3}	504	31	20301
598	5	{22951.5,-6132.8,143.2}	{0.0,-6.8,0.0}	3	1	{22951.5,-6132.8,143.2,-6.8}	505	32	20302
599	2	{24981.6,-3150.7,137.3}	{0.0,-120.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	27	0	0
600	5	{25150.0,-16020.7,609.0}	{0.0,39.4,0.0}	3	2	{25150.0,-16020.7,609.0,39.4}	913	33	22301
601	2	{28294.1,-17248.3,107.0}	{0.0,120.9,0.0}	3	2	{0.0,0.0,0.0,0.0}	77	0	0
602	2	{26934.8,-5456.3,60.0}	{0.0,95.6,0.0}	3	2	{0.0,0.0,0.0,0.0}	78	0	0
603	2	{17046.6,-6430.2,392.0}	{0.0,95.6,0.0}	3	2	{0.0,0.0,0.0,0.0}	79	0	0
604	2	{7781.4,-7342.7,1231.0}	{0.0,95.6,0.0}	3	2	{0.0,0.0,0.0,0.0}	80	0	0
605	2	{22309.5,-10895.1,247.0}	{0.0,120.9,0.0}	3	2	{0.0,0.0,0.0,0.0}	81	0	0
606	1	{22640.4,-14330.1,143.2}	{0.0,34.9,0.0}	3	0	{0.0,0.0,0.0,0.0}	896	0	0
607	1	{7183.4,-4370.9,1106.4}	{0.0,45.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	897	0	0
608	7	{7173.7,-7832.9,1093.4}	{0.0,33.0,0.0}	3	1	{7060.0,-7914.9,1173.4,-147.0}	878	9	0
609	7	{21313.3,-11979.0,207.5}	{0.0,27.2,0.0}	3	1	{21192.0,-12049.2,287.5,-152.8}	879	9	0
610	7	{19950.7,-61.6,138.0}	{0.0,-47.8,0.0}	3	2	{19851.5,37.5,218.0,132.2}	1095	9	0
611	2	{3479.5,664.4,1017.4}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	28	0	0
612	2	{-1813.6,2892.2,151.1}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	29	0	0
613	2	{-10892.1,7461.5,695.3}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	30	0	0
614	2	{-5749.1,-697.4,1204.3}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	31	0	0
615	2	{-20180.7,8230.0,-12.1}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	32	0	0
616	2	{-6845.9,-10726.8,2797.5}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	33	0	0
617	2	{-11046.7,-13987.5,1674.3}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	34	0	0
618	2	{-16026.3,-10396.3,-1.7}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	35	0	0
619	2	{-19583.5,20973.0,927.4}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	36	0	0
620	2	{-17285.0,32440.3,1296.2}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	37	0	0
621	5	{-9320.1,-15577.8,2788.8}	{0.0,30.3,0.0}	4	1	{-9320.1,-15577.8,2788.8,30.3}	506	41	20401
622	5	{-15651.1,-2815.3,869.7}	{0.0,0.0,0.0}	4	1	{-15651.1,-2815.3,869.7,0.0}	507	42	20402
623	5	{-1473.7,3031.8,869.7}	{0.0,6.8,0.0}	4	1	{-1473.7,3031.8,869.7,6.8}	508	43	20403
624	5	{-19413.3,3220.3,174.1}	{0.0,0.0,0.0}	4	1	{-19413.3,3220.3,174.1,0.0}	509	44	20404
625	5	{-18582.1,27375.4,2035.8}	{0.0,0.0,0.0}	4	1	{-18582.1,27375.4,2035.8,0.0}	510	45	20405
626	2	{-13555.8,14593.0,86.5}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	38	0	0
627	2	{-4327.0,14292.9,154.2}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	39	0	0
628	2	{-9702.2,-5508.1,144.4}	{0.0,-120.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	40	0	0
629	5	{-19591.2,18953.8,923.0}	{0.0,-36.6,0.0}	4	2	{-19591.2,18953.8,923.0,-36.6}	914	46	22401
630	5	{-6763.2,8376.4,698.0}	{0.0,30.9,0.0}	4	2	{-6763.2,8376.4,698.0,30.9}	915	47	22402
631	5	{-15397.7,-2679.6,1142.2}	{0.0,0.0,0.0}	4	2	{-15397.7,-2679.6,1142.2,0.0}	916	48	22403
632	2	{2099.8,4488.6,1027.4}	{0.0,-120.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	82	0	0
633	2	{-5374.2,3301.6,189.4}	{0.0,-120.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	83	0	0
634	2	{-14080.2,7283.6,-7.6}	{0.0,-120.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	84	0	0
635	2	{-18937.2,3769.6,103.4}	{0.0,-120.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	85	0	0
636	2	{-8577.2,-15030.4,2756.4}	{0.0,-120.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	86	0	0
637	2	{-17198.2,30171.6,1287.4}	{0.0,-162.2,0.0}	4	2	{0.0,0.0,0.0,0.0}	87	0	0
638	2	{-12131.2,-17513.4,171.4}	{0.0,-83.4,0.0}	4	2	{0.0,0.0,0.0,0.0}	88	0	0
639	2	{-7837.2,12534.6,171.4}	{0.0,-55.3,0.0}	4	2	{0.0,0.0,0.0,0.0}	89	0	0
640	1	{-9020.1,1268.8,152.7}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	898	0	0
641	1	{-16276.5,18815.3,406.4}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	899	0	0
642	1	{-8720.4,-20717.7,2871.9}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	900	0	0
643	7	{3647.9,4590.9,1212.0}	{0.0,179.7,0.0}	4	1	{3788.0,4597.2,1292.0,-0.3}	880	9	0
644	7	{-14197.6,-19390.6,1769.3}	{0.0,40.7,0.0}	4	1	{-14299.1,-19487.3,1849.3,-139.3}	881	9	0
645	7	{-21497.5,20115.0,875.7}	{0.0,11.1,0.0}	4	1	{-21633.6,20081.3,955.7,-168.9}	882	9	0
646	7	{-6523.4,7117.9,1217.5}	{0.0,170.4,0.0}	4	1	{-6384.2,7101.6,1297.5,-9.6}	883	9	0
647	1	{-12330.5,-7515.8,1293.8}	{0.0,26.2,0.0}	4	0	{0.0,0.0,0.0,0.0}	901	0	0
648	7	{-7127.4,-14867.6,2736.7}	{0.0,-171.6,0.0}	4	2	{-6989.9,-14840.1,2816.7,8.4}	1093	9	0
