ID	备注	标签信息(N代表角色or武器，M代表常驻orUP）	生效范围	蛋池限定时间	界面上是否显示时间（1代表不显示）	排序权重（越高越前）	蛋池类型区(0新手1常规2限定3常规自选UP4锁定自选UP5庆典卡池6单选7庆典单选）	保底类型（1特选，2非特选）	蛋池描述（名称，时间描述，外围描述，详情）	详细描述配置	展示资源（界面名字，资源名字{武器填视频名字，角色填spine名字}，缩放时间，初始位移点，最终位移点，缩放大小，slogan资源，展示角色GDPL，从第几秒开始循环、背景乐ID）	单抽价格{{g,d,p,l,n}}	十连价格{{g,d,p,l,n}}	特殊抽卡道具	具体蛋池内容配置{表名，表名}	保底必得{{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}},{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}}}		保底继承序列（影响UP+箱子）	概率	十连重置标记{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}	第十抽保底概率	每日抽奖次数上限	十连内概率叠加	保底内概率叠加	特殊不歪池概率叠加	指定抽数出道具	是否开启UP选择功能	显示概率	初始特殊保底	独立新手池抽取次数	展示4星道具	定轨UP自选	锁定关联池子ID	锁定关联池子确认提示	标签页UI资源关联	蛋池大图UI资源关联	是否禁止播放视频（不配正常播，1全部不播，2和谐下不播）	武器spine	获取途径	获取途径	获取途径	推荐id
51	2.5辰星	{1,2}	0	{202506191000,202507100400}		244	2	2	10047	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10047_detailtitle1","10047_detaildes11","10047_detaildes12","10047_detaildes13","10047_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10047_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl014b','/Game/Spine/Hero/Girl014b/GachaGirl_014b.GachaGirl_014b',0.3,{0,0},{0,0},{1.2,1},1602635,{1,14,3,1},3,3134}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool43'}	{80,{{'pool01',5},{'pool43',5}}}	{80,{'pool43',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool43',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
52	2.5辰星武器	{2,2}	0	{202506191000,202507100400}		243	2	2	10048	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10048_detailtitle1","10048_detaildes11","10048_detaildes12","10048_detaildes13","10048_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10048_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_81501',1602638, {2,8,3,1},6.5,3131,10,0.5,1}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_52','pool44'}	{60,{{'pool02_52',5},{'pool44',5}}}	{60,{'pool44',5}}	2	10002	{{'pool02_52',4},{'pool02_52',5},{'pool44',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_81501.weapon_81501				120
53	2.6恩雅	{1,2}	0	{202503061000,202503270400}		246	2	2	10051	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10051_detailtitle1","10051_detaildes11","10051_detaildes12","10051_detaildes13","10051_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10051_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl011b','/Game/Spine/Hero/Girl011b/GachaGirl_011b.GachaGirl_011b',0.3,{0,0},{0,0},{1.2,1},1602691,{1,11,3,1},3,3137}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool46'}	{80,{{'pool01',5},{'pool46',5}}}	{80,{'pool46',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool46',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
54	2.6恩雅武器	{2,2}	0	{202503061000,202503270400}		245	2	2	10052	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10052_detailtitle1","10052_detaildes11","10052_detaildes12","10052_detaildes13","10052_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10052_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31505',1602676, {2,3,30,1},8,3136,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool45'}	{60,{{'pool02',5},{'pool45',5}}}	{60,{'pool45',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool45',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_31505.weapon_31505				120
55	奈丽德	{1,2}	0	{202512180400,202601290400}		252	2	2	10053	{{"10053_detailtitle1","10053_detaildes11","10053_detaildes12","10053_detaildes13","10053_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10053_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl021','/Game/Spine/Hero/Girl021/GachaGirl_021.GachaGirl_021',0.3,{0,0},{0,0},{1.2,1},1602732,{1,21,1,1},3,3145}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool47'}	{80,{{'pool01',5},{'pool47',5}}}	{80,{'pool47',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool47',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
56	奈丽德	{2,2}	0	{202512180400,202601290400}		251	2	2	10054	{{"10054_detailtitle1","10054_detaildes11","10054_detaildes12","10054_detaildes13","10054_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10054_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_51509',1602734, {2,5,28,1},8,3143,10,0.5,1}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool48'}	{60,{{'pool02',5},{'pool48',5}}}	{60,{'pool48',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool48',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
57	三选一	{1,2}	0	{202504170400,202505290400}		250	6	2	60037	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{25,{1,11,2,1}},{23,{1,7,2,1}},{41,{1,15,2,1}}}	157	{"60037_sure1","60033_sure2","60033_sure3","60033_sure4"}			1					120
58	三选一	{2,2}	0	{202504170400,202505290400}		249	6	2	60038	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{26,{2,4,26,1}},{24,{2,1,27,1}},{42,{2,5,26,1}}}	158	{"60038_sure1","60034_sure2","60034_sure3","60034_sure4"}			1					120
59	2.8龙舌兰	{1,2}	0	{202510161000,202511060400}		258	2	2	10055	{{"90003_detailtitle4","90003_detaildes41","90003_detaildes42"},{"10055_detailtitle1","10055_detaildes11","10055_detaildes12","10055_detaildes13","10055_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10055_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl018a','/Game/Spine/Hero/Girl018a/GachaGirl_018a.GachaGirl_018a',0.3,{0,0},{0,0},{1.2,1},1602774,{1,18,2,1},3,3162}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool49'}	{80,{{'pool01',5},{'pool49',5}}}	{80,{'pool49',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool49',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
60	2.8龙舌兰武器	{2,2}	0	{202510161000,202511060400}		257	2	2	10056	{{"90004_detailtitle4","90004_detaildes41","90004_detaildes42"},{"10056_detailtitle1","10056_detaildes11","10056_detaildes12","10056_detaildes13","10056_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10056_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_22504',1602780, {2,2,26,1},8,3161,10,0.5,1}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool50'}	{60,{{'pool02',5},{'pool50',5}}}	{60,{'pool50',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool50',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_22504.weapon_22504				120
61	二选一	{1,2}	0	{202505291000,202507100400}		256	6	2	60039	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{27,{1,13,2,1}},{45,{1,4,3,1}}}	161	{"60039_sure1","60033_sure2","60033_sure3","60033_sure4"}			1					120
62	二选一	{2,2}	0	{202505291000,202507100400}		255	6	2	60040	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{28,{2,3,26,1}},{46,{2,2,24,1}}}	162	{"60040_sure1","60034_sure2","60034_sure3","60034_sure4"}			1					120
63	3.0凯西娅	{1,2}	0	{202511270400,202512180400}		266	2	2	10057	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10057_detailtitle1","10057_detaildes11","10057_detaildes12","10057_detaildes13","10057_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10057_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl015c','/Game/Spine/Hero/Girl015b/GachaGirl_015b.GachaGirl_015b',0.3,{0,0},{0,0},{1.2,1},1602812,{1,15,3,1},3,3172}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool51'}	{80,{{'pool01',5},{'pool51',5}}}	{80,{'pool51',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool51',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					122
64	3.0凯西娅	{2,2}	0	{202511270400,202512180400}		265	2	2	10058	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10058_detailtitle1","10058_detaildes11","10058_detaildes12","10058_detaildes13","10058_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10058_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_91501',1602816, {2,9,3,1},6.5,3170,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_153','pool52'}	{60,{{'pool02_153',5},{'pool52',5}}}	{60,{'pool52',5}}	2	10002	{{'pool02_153',4},{'pool02_153',5},{'pool52',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_91501.weapon_91501				122
65	3.0苔丝	{1,2}	0	{202511270400,202512180400}		264	2	2	10059	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10059_detailtitle1","10059_detaildes11","10059_detaildes12","10059_detaildes13","10059_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10059_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl017a','/Game/Spine/Hero/Girl017a/GachaGirl_017a.GachaGirl_017a',0.3,{0,0},{0,0},{1.2,1},1602814,{1,17,2,1},3,3173}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool53'}	{80,{{'pool01',5},{'pool53',5}}}	{80,{'pool53',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool53',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
66	3.0苔丝	{2,2}	0	{202511270400,202512180400}		263	2	2	10060	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10060_detailtitle1","10060_detaildes11","10060_detaildes12","10060_detaildes13","10060_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10060_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_51510',1602817, {2,5,30,1},8,3171,10,0.5,1}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool54'}	{60,{{'pool02',5},{'pool54',5}}}	{60,{'pool54',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool54',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_51510.weapon_51510				120
67	三选一	{1,2}	0	{202507100400,202508210400}		262	6	2	60037	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{29,{1,2,3,1}},{31,{1,8,3,1}},{73,{1,20,1,1}}}	167	{"60037_sure1","60033_sure2","60033_sure3","60033_sure4"}			1					120
68	三选一	{2,2}	0	{202507100400,202508210400}		261	6	2	60038	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{30,{2,7,3,1}},{32,{2,5,24,1}},{74,{2,4,30,1}}}	168	{"60038_sure1","60034_sure2","60034_sure3","60034_sure4"}			1					120
69	3.0特殊自选池-角色	{1,2}	0	{202507100400,202508210400}		260	4	2	10033	{{"10003_detailtitle1","10003_detaildes11","10003_detaildes12","10003_detaildes13","10003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10003_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool4'}	{80,{{'pool01',5},{'pool4',5}}}	{80,{'pool4',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool4',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{41,{1,15,2,1}},{43,{1,5,3,1}},{45,{1,4,3,1}},{47,{1,20,1,1}},{51,{1,14,3,1}},{49,{1,10,3,1}},{53,{1,11,3,1}}}	169	{"10033_sure1","10033_sure2","10033_sure3","10033_sure4"}			1					120
70	3.0特殊自选池-武器	{2,2}	0	{202507100400,202508210400}		259	4	2	10034	{{"10004_detailtitle1","10004_detaildes11","10004_detaildes12","10004_detaildes13","10004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10004_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool5'}	{60,{{'pool02',5},{'pool5',5}}}	{60,{'pool5',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool5',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{42,{2,5,26,1}},{44,{2,3,28,1}},{46,{2,2,24,1}},{48,{2,4,30,1}},{52,{2,8,3,1}},{50,{2,1,29,1}},{54,{2,3,30,1}}}	170	{"10034_sure1","10034_sure2","10034_sure3","10034_sure4"}			1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
71	2.6恩雅	{1,2}	0	{202511060400,202512180400}		246	2	2	10051	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10051_detailtitle1","10051_detaildes11","10051_detaildes12","10051_detaildes13","10051_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10051_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl011b','/Game/Spine/Hero/Girl011b/GachaGirl_011b.GachaGirl_011b',0.3,{0,0},{0,0},{1.2,1},1602691,{1,11,3,1},3,3137}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool46'}	{80,{{'pool01',5},{'pool46',5}}}	{80,{'pool46',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool46',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
72	2.6恩雅武器	{2,2}	0	{202511060400,202512180400}		245	2	2	10052	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10052_detailtitle1","10052_detaildes11","10052_detaildes12","10052_detaildes13","10052_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10052_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31505',1602676, {2,3,30,1},8,3136,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool45'}	{60,{{'pool02',5},{'pool45',5}}}	{60,{'pool45',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool45',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_31505.weapon_31505				120
73	2.4新角色	{1,2}	0	{202505081000,202505290400}		240	2	2	10045	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10045_detailtitle1","10045_detaildes11","10045_detaildes12","10045_detaildes13","10045_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10045_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl020','/Game/Spine/Hero/Girl020/GachaGirl_020.GachaGirl_020',0.3,{0,0},{0,0},{1.2,1},1602596,{1,20,1,1},3,3126}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool39'}	{80,{{'pool01',5},{'pool39',5}}}	{80,{'pool39',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool39',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
74	2.4新角色武器	{2,2}	0	{202505081000,202505290400}		239	2	2	10046	{{"10046_detailtitle1","10046_detaildes11","10046_detaildes12","10046_detaildes13","10046_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10046_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42506',1602589, {2,4,30,1},7,3125,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool40'}	{60,{{'pool02',5},{'pool40',5}}}	{60,{'pool40',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool40',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_42506.weapon_42506				120
75	3.1克萝蕤那	{1,2}	0	{202605080400,202606190400}		270	2	2	10061	{{"10061_detailtitle1","10061_detaildes11","10061_detaildes12","10061_detaildes13","10061_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10061_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl022','/Game/Spine/Hero/Girl022/GachaGirl_022.GachaGirl_022',0.3,{0,0},{0,0},{1.2,1},1602862,{1,22,1,1},3,3178}	{{5,21,1,5,1}}	{{5,21,1,5,10}}	{5,21,4,5,1}	{'pool01','pool55'}	{80,{{'pool01',5},{'pool55',5}}}	{80,{'pool55',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool55',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
76	3.1克萝蕤那	{2,2}	0	{202605080400,202606190400}		269	2	2	10062	{{"10062_detailtitle1","10062_detaildes11","10062_detaildes12","10062_detaildes13","10062_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10062_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_13503',1602848, {2,1,31,1},8,3177,10,0.3,1}	{{5,21,2,5,1}}	{{5,21,2,5,10}}	{5,21,5,5,1}	{'pool02','pool56'}	{60,{{'pool02',5},{'pool56',5}}}	{60,{'pool56',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool56',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
