活动Id(最大6550)	排序	//备注	所在页签（0或不填则隐藏，1为限时页，2为常驻页，3为新手活动页）	组别	组Icon（父标签ICON，可不填，默认读后面的子标签ICON）	组名（父标签名称，可不填，默认读后面的子标签名称）	活动类型	起始时间	结束时间	临时关闭(常规不用 0默认开启 1关闭,任务计数 2关闭,任务不计数)	是否隐藏	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	模板Id(主要是非签到模板)	背景图	页签Icon	抬头图标	立绘	帮助描述{文本key,显示标记 1默认统一位置显示2活动模板自己显示，外围隐藏}	内容描述(逗号分割多个)	页签描述	每日任务({成就id}activity_quest.txt)	每周任务({成就id}activity_quest.txt)	活动期任务({成就id}activity_quest.txt)	代币ID({id1,..})	自定义数据(商店模板:商店id;返还模板:0展示阶段1领奖阶段;首充模板：奖励物品;短签模板:弹窗顺序;任务回归离线时间【只限活动大厅内的回归使用】)	自定义数据(任务活动1013模板:{1显示常驻标签,默认关闭}；联机活动模板:{按钮的IconId})	跳转界面({类型,值}1类型,function id;2类型,ui窗口名字;3类型,lua函数)	跳转参数	每日解锁任务({{第几天开放,Normal任务id,...},..})	终身模式(1标记)	弹窗顺序(仅短签活动)；序号越大越先弹出	地区限制目前可填：0国内外,1国内,2海外	是否已有核心奖励	是否能领取核心奖励	是否是新手活动
236	3	【温泉开放】dlc2.5	1	236			dorm_cpfur_off	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1032	1602626	1701104					ui.TxtDorm.Hotspring					{'activity.dlc2.5house_detail',1602627,1602628,1602629}										
237	6	体力兑换活动5期	1	237			energy_exchange	[202501270400]	[202502100400]			{{{2,11429}},{{2,10104}}}	1023	1602236	1701104	1602237			activity.road1_des	activity.TxtActivityRoad1					{45}										
238	9	角色试玩_辉夜_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_1															
239	9	角色试玩_云篆_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_2															
240	9	角色试玩_藏锋_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_4															
241	9	角色试玩_溯影_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_6															
242	9	角色试玩_苔丝魔术师_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_7															
243	9	角色试玩_凯西娅_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_8															
244	9	角色试玩_伊切尔_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_9															
245	9	角色试玩_琴诺_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_10															
246	9	角色试玩_恩雅_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_11															
247	9	角色试玩_瞬刻_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_12															
248	9	角色试玩_里芙-无限之视_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_13															
249	9	角色试玩_芬妮-辉耀_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_14															
250	9	角色试玩_薇蒂雅_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_15															
251		回归_DLC26	1	19			player_return	[202503061000]	[202504170359]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
252	13	DLC26版本签到	1	252			signin_monthly	[202503061000]	[202503270400]			{{{2,11429}},{{2,10104}}}	1021	1602666	1701104	1602665	1602664	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable44										1					
253	9	角色试玩_澜风_DLC26	1	253	1701195	activity.TxtActivityTry1	gacha_try	[202503061000]	[202504170400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_23															
254	9	角色试玩_凯西娅_DLC26	1	253	1701195	activity.TxtActivityTry1	gacha_try	[202503061000]	[202503270400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_8															
255	9	角色试玩_芙提雅·驰掣_DLC26	1	253	1701195	activity.TxtActivityTry1	gacha_try	[202503271000]	[202504170400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_18															
256	9	皮肤试玩_恩雅·澜风望云清咏_DLC26	1	256	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202504170400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_53															
257	9	皮肤试玩_茉莉安·幽潮绒尾迷梦_DLC26	1	256	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202504170400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_54															
258	9	皮肤试玩_薇蒂雅·龙舌兰舞夜与焰_DLC26	1	256	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202504170400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_55															
259	9	皮肤试玩_芙提雅·驰掣草莓甜心_DLC26	1	256	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202504160400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_56															
260	9	皮肤试玩_里芙·星期三不灭银星_DLC26	1	50	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_57															
261	9	皮肤试玩_芙提雅·驰掣毛绒派对_DLC26	1	256	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202504170400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_42															
264	9	皮肤试玩_肴·夜天光暖夜情醺_DLC26	1	256	1701196	activity.TxtActivityTry3	gacha_try	[202503061000]	[202503130400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_50															
265	3	【宿舍上新】恩雅苔丝膝枕	1	200			dorm_cpfur_off	[202503061000]	[202504170400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable31					{'activity.dlc15house_detail1','activity.dlc15house_detail1','activity.dlc15house_detail2','activity.dlc15house_detail3',1601017,1601016,1602495,2}	{3,4}									
266		2.6永续联战任务	1	32			activity_quest	[202503240400]	[202504070400]		1		1016										{14401,14402,14403,14404,14405,14406,14407,14408,14409,14410,14411,14412}												
																																			
268		回归_DLC27	1	19			player_return	[202504170400]	[202505290959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
269	9	角色试玩_奈莉德_DLC27	1	269	1701195	activity.TxtActivityTry1	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_24															
270	9	角色试玩_卜卜_DLC27	1	269	1701195	activity.TxtActivityTry1	gacha_try	[202505081000]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_20															
271	9	角色试玩_琴诺_DLC27	1	269	1701195	activity.TxtActivityTry1	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_10															
272	9	角色试玩_恩雅_DLC27	1	269	1701195	activity.TxtActivityTry1	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_11															
273	9	角色试玩_凯茜娅·朝翼_DLC27	1	269	1701195	activity.TxtActivityTry1	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_16															
274	9	皮肤试玩_奈莉德·冥河代理人晨曦统令_DLC27	1	274	1701196	activity.TxtActivityTry3	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_58															
275	9	皮肤试玩_妮塔·悸响林间潋滟_DLC27	1	274	1701196	activity.TxtActivityTry3	gacha_try	[202505011000]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_59															
276	9	皮肤试玩_凯茜娅·朝翼绮锦流韵_DLC27	1	274	1701196	activity.TxtActivityTry3	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_60															
277	9	皮肤试玩_卜卜·小天师元气愈养_DLC27	1	274	1701196	activity.TxtActivityTry3	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_61															
278	9	皮肤试玩_肴·冬至暧馨侍奉_DLC27	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202504170400]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_62															
279	9	皮肤试玩_芬妮·辉耀疾速耀星_DLC27	1	274	1701196	activity.TxtActivityTry3	gacha_try	[202504170400]	[202505280400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_63															
280	9	皮肤试玩_琴诺·悖谬清荷雅弈_DLC27	1	274	1701196	activity.TxtActivityTry3	gacha_try	[202504170400]	[202505290400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_47															
																																			
281	1	怦然密语	1	281		activity.TxtActivitySeries		[202504170400]	[202505290400]				1034	1602706	1701104			{"activity.TxtActivitySeries_des",1}							{52055}	{8,3,13,3}									
282	13	DLC27版本签到	1	282			signin_monthly	[202504170400]	[202505080400]			{{{2,11429}},{{2,10104}}}	1021	1602719	1701104	1602718	1602717	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable45										1					
283	2	妮塔之邀	1	283		nitamonopoly.NitaMonopoly_ui_01	free_items	[202504300400]	[209905290400]			{{{26},{1,30}},{{26},{2,50101}}}	1035	1602695	1701104		1602709		nitamonopoly.NitaMonopoly_ui_02,nitamonopoly.NitaMonopoly_ui_03						{{1,3,2,1,1,14}}	{202505011000,{2,3,31,1,2},{5,32,1,1,4},{3,1,48,2,1},{3,2,48,2,1},{3,3,48,2,1}}							1	1	
284	3	【宿舍上新】契影定格开放	1	284		ui.TxtPhotoStudio		[202504170400]	[202505290400]			{{{2,11422},{15,10230}},{{2,10104}}}	1036	1602728	1701104	1602730			activity.PhotoStudio	ui.TxtPhotoStudio					{1602731,1602729,1602747}										
285		2.8永续联战任务	1	32			activity_quest	[202506090400]	[202506230400]		1		1016										{14501,14502,14503,14504,14505,14506,14507,14508,14509,14510,14511,14512}												
286	3	【宿舍上新】卜卜	1	286			dorm_cpfur_off	[202504170400]	[202505290400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc27house_detail1','activity.dlc27house_detail1','activity.dlc27house_detail2','activity.dlc27house_detail3',1601018}	{3}									
																																			
287	1	复刻-素影遗痕	1	287		activity.FormerDlc7_title	former_dlc	[202506190400]	[202507100400]			{{{2,11501}},{{2,50101}}}	1037	1602766	1701104				activity.FormerDlc7_des						{Refresh=24,Story=23,DLCShop={401},Preload=13230,Preview=13240}	{FormerDLC=7}									
288		回归_DLC28	1	19			player_return	[202505291000]	[202507100359]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
289	13	DLC28版本签到	1	289			signin_monthly	[202505291000]	[202506190400]			{{{2,11429}},{{2,10104}}}	1021	1602770	1701104	1602769	1602768	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable46										1					
290	9	角色试玩_天鹅座_DLC28	1	290	1701195	activity.TxtActivityTry1	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_25															
291	9	角色试玩_瞬刻_DLC25	1	290	1701195	activity.TxtActivityTry1	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_12															
292	9	角色试玩_芙提雅·驰掣_DLC26	1	290	1701195	activity.TxtActivityTry1	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_18															
293	9	角色试玩_辰星·琼弦_DLC25	1	290	1701195	activity.TxtActivityTry1	gacha_try	[202506191000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_21															
294	9	角色试玩_肴·夜天光_DLC25	1	290	1701195	activity.TxtActivityTry1	gacha_try	[202506191000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_22															
295	9	皮肤试玩_薇蒂雅·天鹅座云端之邀_DLC28	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_64															
296	9	皮肤试玩_芙提雅·驰掣泳池护卫_DLC28	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_65															
297	9	皮肤试玩_辰星·琼弦慵倚花阴_DLC28	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_66															
298	9	皮肤试玩_里芙·无限之视引风飒意_DLC28	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507090400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_67															
299	9	皮肤试玩_瑟瑞斯·瞬刻不灭恒忆_DLC28	1	50	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_68															
300	9	皮肤试玩_瑟瑞斯·瞬刻斑斓水色_DLC12	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_43															
301	3	【宿舍上新】奈莉德	1	301			dorm_cpfur_off	[202505291000]	[202507100400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc28house_detail1','activity.dlc28house_detail1','activity.dlc28house_detail2','activity.dlc28house_detail3',1601019}	{3}									
302	9	皮肤试玩_芙提雅·驰掣毛绒派对_DLC28	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_42															
303	9	皮肤试玩_瞬刻须臾蹁跹_DLC28	1	295	1701196	activity.TxtActivityTry3	gacha_try	[202505291000]	[202507100400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_26															
304	1	特别邀请_苔丝	1	304			free_items	[202507230400]	[202508210400]				1028	1602792	1701104	1602797	1602793		activity.template_17_des	activity.Lable28					{{1,17,2,1,1,13},{3,1,51,2,1},{3,2,51,2,1},{3,3,51,2,1}}	{202507241000}				1					
305	9	角色试玩_凯茜娅-狂诗_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_26															
306	9	角色试玩_苔丝-绮幻_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507241000]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_27															
307	9	角色试玩_里芙-无限之视_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_13															
308	9	角色试玩_芬妮-辉耀_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_14															
309	9	角色试玩_卜卜_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_20															
310	9	角色试玩_澜风_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_23															
311	9	皮肤试玩_凯茜娅·狂诗星抚恋音_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_69															
312	9	皮肤试玩_苔丝·绮幻恋如花舞_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507241000]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_70															
313	9	皮肤试玩_卜卜·小天师畅饮狂欢_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_71															
314	9	皮肤试玩_恩雅·澜风秘密侍奉_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_72															
315	9	皮肤试玩_茉莉安·幽潮甜蜜困扰_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508200400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_73															
316	9	皮肤试玩_里芙新换装恒约_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_30															
317	9	皮肤试玩_芬妮新换装恒约_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_31															
318	9	皮肤试玩_辰星·琼弦欣描红妆_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_49															
319	9	皮肤试玩_肴·夜天光暖夜情醺_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_50															
320	9	皮肤试玩_芬妮·辉耀金狮舞瑞_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_51															
321	9	皮肤试玩_凯茜娅·朝翼绮锦流韵_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_60															
322	9	皮肤试玩_茉莉安·幽潮绒尾迷梦_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_54															
323	9	皮肤试玩_芙提雅·驰掣毛绒派对_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_42															
324	9	皮肤试玩_芙提雅·驰掣泳池护卫_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_65															
325	9	皮肤试玩_卜卜·小天师元气愈养_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_61															
326	9	皮肤试玩_辰星·琼弦慵倚花阴_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_66															
327	9	皮肤试玩_恩雅·澜风望云清咏_DLC30	1	311	1701196	activity.TxtActivityTry3	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_53															
328	13	DLC30版本签到上半期	1	328			signin_monthly	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1021	1602806	1701104	1602805	1602804	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable47										1					
329	13	DLC30版本签到下半期	1	329			signin_monthly	[202507241000]	[202508210400]			{{{2,11429}},{{2,10104}}}	1021	1602809	1701104	1602808	1602807	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable48										1					
330		回归_DLC30	1	19			player_return	[202507100400]	[202508210959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
331	9	角色试玩_凯茜娅·朝翼_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_16															
332	9	角色试玩_茉莉安·幽潮_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_17															
333	9	角色试玩_芙提雅·驰掣_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_18															
334	9	角色试玩_辰星·琼弦_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_21															
335	9	角色试玩_肴·夜天光_DLC30	1	305	1701195	activity.TxtActivityTry1	gacha_try	[202507100400]	[202508210400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_22															
336	2	【宿舍上新】暖调闲聚开放	1	284				[202507100400]	[202508210400]			{{{2,11422},{15,10230}},{{2,10104}}}	1036	1602787	1701104	1602789			activity.dlc3.0house_detail	ui.TxtPubName					{1602790,1602788,1602791}										
337	1	复刻-翠星假日	1	337		activity.FormerDlc3_title	former_dlc	[202509040400]	[202509250400]			{{{2,11501}},{{2,50101}}}	1038	1602810	1701104				activity.FormerDlc3_des						{Refresh=28,Story=27,DLCShop={402},Preload=8003100}	{FormerDLC=3}									
338		3.1永续联战任务	1	32			activity_quest	[202509080400]	[202509220400]		1		1016										{14601,14602,14603,14604,14605,14606,14607,14608,14609,14610,14611,14612}												
339	9	角色试玩_克罗瑞娜·绯月_DLC31	1	339	1701195	activity.TxtActivityTry1	gacha_try	[202508211000]	[202509250400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_28															
340	9	角色试玩_肴·夜天光_DLC31	1	339	1701195	activity.TxtActivityTry1	gacha_try	[202508211000]	[202509250400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_22															
341	9	角色试玩_伊切尔_DLC31	1	339	1701195	activity.TxtActivityTry1	gacha_try	[202508211000]	[202509250400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_9															
342	9	角色试玩_奈莉德_DLC31	1	339	1701195	activity.TxtActivityTry1	gacha_try	[202509040400]	[202509250400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_24															
343	9	皮肤试玩_克罗瑞娜·绯月皎月幽祈_DLC31	1	343	1701196	activity.TxtActivityTry3	gacha_try	[202508211000]	[202509250400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_74															
