成就唯一ID	注释（程序内不使用）	任务名	任务介绍	任务或成就图标	分组（1-日常,2-周常,3-成就,4-主线,5-支线任务额外奖励）	所属章节（支线任务才配）	章节抬头图（支线任务额外奖励才配）	需要【本阶段内】完成的任务	排序	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	可执行次数,0或不填为不限制	奖励列表,格式{{g,d,p,l,n},...}	系统解锁条件（对应function.txt表）	跳转界面	条件跳转	跳转参数	开始时间,格式：年月日时分秒,如201601010200或20160101（时分秒可省略）	结束时间,格式桶开始时间	重置周期【仅天,周常用】；配置模式：固定刷新：开启时间也需要配+这列配{1,天数}/地下清理：开启时间不需要配+这列配{2}（climb_tower_time)/	活动ID	任务点数	弹窗({类型:1,主线2,目标})	标签分类(仅目标成就3-成就)	刷新标签{"颜色ID","表.key"})
21011	拥有300件后勤	achievement.Name24	achievement.Describe24	1701102	3						21010	1	3	300	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21012	拥有350件后勤	achievement.Name24	achievement.Describe24	1701102	3						21011	1	3	350	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21013	拥有400件后勤	achievement.Name24	achievement.Describe24	1701102	3						21012	1	3	400	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21014	拥有450件后勤	achievement.Name24	achievement.Describe24	1701102	3						21013	1	3	450	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21015	拥有500件后勤	achievement.Name24	achievement.Describe24	1701102	3						21014	1	3	500	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21016	拥有550件后勤	achievement.Name24	achievement.Describe24	1701102	3						21015	1	3	550	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21017	拥有600件后勤	achievement.Name24	achievement.Describe24	1701102	3						21016	1	3	600	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21018	拥有650件后勤	achievement.Name24	achievement.Describe24	1701102	3						21017	1	3	650	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21019	拥有700件后勤	achievement.Name24	achievement.Describe24	1701102	3						21018	1	3	700	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21020	拥有750件后勤	achievement.Name24	achievement.Describe24	1701102	3						21019	1	3	750	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21021	拥有800件后勤	achievement.Name24	achievement.Describe24	1701102	3						21020	1	3	800	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21022	拥有850件后勤	achievement.Name24	achievement.Describe24	1701102	3						21021	1	3	850	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21023	拥有900件后勤	achievement.Name24	achievement.Describe24	1701102	3						21022	1	3	900	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21024	拥有950件后勤	achievement.Name24	achievement.Describe24	1701102	3						21023	1	3	950	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21025	拥有1000件后勤	achievement.Name24	achievement.Describe24	1701102	3						21024	1	3	1000	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
																													
21101	完成任意关卡20次	achievement.Name1	achievement.Describe1	1701099	3							1	14	20			{{4,3,2,1,10}}	1									{2}		
21102	完成任意关卡50次	achievement.Name1	achievement.Describe1	1701099	3						21101	1	14	50			{{4,3,2,1,10}}	1									{2}		
21103	完成任意关卡100次	achievement.Name1	achievement.Describe1	1701099	3						21102	1	14	100			{{4,3,2,1,10}}	1									{2}		
21104	完成任意关卡200次	achievement.Name1	achievement.Describe1	1701099	3						21103	1	14	200			{{4,3,2,1,10}}	1									{2}		
21105	完成任意关卡500次	achievement.Name1	achievement.Describe1	1701099	3						21104	1	14	500			{{4,3,2,1,10}}	1									{2}		
21106	完成任意关卡1000次	achievement.Name1	achievement.Describe1	1701099	3						21105	1	14	1000			{{4,3,2,1,10}}	1									{2}		
21107	完成任意关卡2000次	achievement.Name1	achievement.Describe1	1701099	3						21106	1	14	2000			{{4,3,2,1,10}}	1									{2}		
																													
21201	完成爬塔关卡次数5次	achievement.Name25	achievement.Describe25	1701099	3							1	130	5			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21202	完成爬塔关卡次数10次	achievement.Name25	achievement.Describe25	1701099	3						21201	1	130	10			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21203	完成爬塔关卡次数15次	achievement.Name25	achievement.Describe25	1701099	3						21202	1	130	15			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21204	完成爬塔关卡次数20次	achievement.Name25	achievement.Describe25	1701099	3						21203	1	130	20			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21205	完成爬塔关卡次数30次	achievement.Name25	achievement.Describe25	1701099	3						21204	1	130	30			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21206	完成爬塔关卡次数50次	achievement.Name25	achievement.Describe25	1701099	3						21205	1	130	50			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21207	完成爬塔关卡次数70次	achievement.Name25	achievement.Describe25	1701099	3						21206	1	130	70			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21208	完成爬塔关卡次数100次	achievement.Name25	achievement.Describe25	1701099	3						21207	1	130	100			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21209	完成爬塔关卡次数250次	achievement.Name25	achievement.Describe25	1701099	3						21208	1	130	250			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
21210	完成爬塔关卡次数500次	achievement.Name25	achievement.Describe25	1701099	3						21209	1	130	500			{{4,3,2,1,10}}	16		ClimbTowerLogic.CheckCycleLevel							{2}		
																													
21301	通关精神拟境1难度	achievement.Name26	achievement.Describe26_1	1701099	3							1	48	1	{1}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
21302	通关精神拟境3难度	achievement.Name26	achievement.Describe26_3	1701099	3						21301	1	48	1	{3}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
21303	通关精神拟境5难度	achievement.Name26	achievement.Describe26_5	1701099	3						21302	1	48	1	{5}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
21304	通关精神拟境7难度	achievement.Name26	achievement.Describe26_7	1701099	3						21303	1	48	1	{7}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
21305	通关精神拟境8难度	achievement.Name26	achievement.Describe26_8	1701099	3						21304	1	48	1	{8}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
																													
21306	通关精神拟境1难度	achievement.Name26	achievement.Describe26_1	1701099	3							1	48	1	{1}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
21307	通关精神拟境2难度	achievement.Name26	achievement.Describe26_2	1701099	3						21306	1	48	1	{2}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
21308	通关精神拟境3难度	achievement.Name26	achievement.Describe26_3	1701099	3						21307	1	48	1	{3}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
21309	通关精神拟境4难度	achievement.Name26	achievement.Describe26_4	1701099	3						21308	1	48	1	{4}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
21310	通关精神拟境5难度	achievement.Name26	achievement.Describe26_5	1701099	3						21309	1	48	1	{5}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
																													
21401	累积通关精神拟境5次	achievement.Name27	achievement.Describe27	1701099	3							1	40	5			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21402	累积通关精神拟境15次	achievement.Name27	achievement.Describe27	1701099	3						21401	1	40	15			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21403	累积通关精神拟境30次	achievement.Name27	achievement.Describe27	1701099	3						21402	1	40	30			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21404	累积通关精神拟境50次	achievement.Name27	achievement.Describe27	1701099	3						21403	1	40	50			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21405	累积通关精神拟境70次	achievement.Name27	achievement.Describe27	1701099	3						21404	1	40	70			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21406	累积通关精神拟境100次	achievement.Name27	achievement.Describe27	1701099	3						21405	1	40	100			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21407	累积通关精神拟境250次	achievement.Name27	achievement.Describe27	1701099	3						21406	1	40	250			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
21408	累积通关精神拟境500次	achievement.Name27	achievement.Describe27	1701099	3						21407	1	40	500			{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()							{2}		
																													
21501	击败500只怪物	achievement.Name3	achievement.Describe3	1701099	3							1	77	500			{{4,3,2,1,10}}	1	Chapter								{2}		
21502	击败1000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21501	1	77	1000			{{4,3,2,1,10}}	1	Chapter								{2}		
21503	击败2000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21502	1	77	2000			{{4,3,2,1,10}}	1	Chapter								{2}		
21504	击败5000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21503	1	77	5000			{{4,3,2,1,10}}	1	Chapter								{2}		
21505	击败10000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21504	1	77	10000			{{4,3,2,1,10}}	1	Chapter								{2}		
21506	击败20000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21505	1	77	20000			{{4,3,2,1,10}}	1	Chapter								{2}		
21507	击败50000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21506	1	77	50000			{{4,3,2,1,10}}	1	Chapter								{2}		
21508	击败100000只怪物	achievement.Name3	achievement.Describe3	1701099	3						21507	1	77	100000			{{4,3,2,1,10}}	1	Chapter								{2}		
																													
21601	累积击败BOSS50次	achievement.Name9	achievement.Describe9	1701099	3							1	18	50			{{4,3,2,1,10}}	1									{2}		
21602	累积击败BOSS100次	achievement.Name9	achievement.Describe9	1701099	3						21601	1	18	100			{{4,3,2,1,10}}	1									{2}		
21603	累积击败BOSS200次	achievement.Name9	achievement.Describe9	1701099	3						21602	1	18	200			{{4,3,2,1,10}}	1									{2}		
21604	累积击败BOSS500次	achievement.Name9	achievement.Describe9	1701099	3						21603	1	18	500			{{4,3,2,1,10}}	1									{2}		
21605	累积击败BOSS1000次	achievement.Name9	achievement.Describe9	1701099	3						21604	1	18	1000			{{4,3,2,1,10}}	1									{2}		
21606	累积击败BOSS2000次	achievement.Name9	achievement.Describe9	1701099	3						21605	1	18	2000			{{4,3,2,1,10}}	1									{2}		
21607	累积击败BOSS5000次	achievement.Name9	achievement.Describe9	1701099	3						21606	1	18	5000			{{4,3,2,1,10}}	1									{2}		
21608	累积击败BOSS10000次	achievement.Name9	achievement.Describe9	1701099	3						21607	1	18	10000			{{4,3,2,1,10}}	1									{2}		
																													
21701	拥有5个好友	achievement.Name35	achievement.Describe35	1701103	3							1	63	5			{{4,3,2,1,10}}	23	Friend		{3,true}						{2}		
21702	拥有20个好友	achievement.Name35	achievement.Describe35	1701103	3						21701	1	63	20			{{4,3,2,1,10}}	23	Friend		{3,true}						{2}		
21703	拥有50个好友	achievement.Name35	achievement.Describe35	1701103	3						21702	1	63	50			{{4,3,2,1,10}}	23	Friend		{3,true}						{2}		
21704	拥有100个好友	achievement.Name35	achievement.Describe35	1701103	3						21703	1	63	100			{{4,3,2,1,10}}	23	Friend		{3,true}						{2}		
																													
21801	累计通关碎片本10次	achievement.Name15	achievement.Describe15	1701099	3							1	68	10			{{4,3,2,1,10}}	21		Role.GetOPenTime							{2}		
21802	累计通关碎片本50次	achievement.Name15	achievement.Describe15	1701099	3						21801	1	68	50			{{4,3,2,1,10}}	21		Role.GetOPenTime							{2}		
21803	累计通关碎片本100次	achievement.Name15	achievement.Describe15	1701099	3						21802	1	68	100			{{4,3,2,1,10}}	21		Role.GetOPenTime							{2}		
21804	累计通关碎片本200次	achievement.Name15	achievement.Describe15	1701099	3						21803	1	68	200			{{4,3,2,1,10}}	21		Role.GetOPenTime							{2}		
21805	累计通关碎片本500次	achievement.Name15	achievement.Describe15	1701099	3						21804	1	68	500			{{4,3,2,1,10}}	21		Role.GetOPenTime							{2}		
																													
21901	战术考核通关1阶段	achievement.Name51	achievement.Describe51_1	1701099	3							1	74	1	{1,6010}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21902	战术考核通关2阶段	achievement.Name51	achievement.Describe51_2	1701099	3						21901	1	74	1	{2,6020}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21903	战术考核通关3阶段	achievement.Name51	achievement.Describe51_3	1701099	3						21902	1	74	1	{3,6030}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21904	战术考核通关4阶段	achievement.Name51	achievement.Describe51_4	1701099	3						21903	1	74	1	{4,6040}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21905	战术考核通关5阶段	achievement.Name51	achievement.Describe51_5	1701099	3						21904	1	74	1	{5,6050}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21906	战术考核通关6阶段	achievement.Name51	achievement.Describe51_6	1701099	3						21905	1	74	1	{6,6060}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21907	战术考核通关7阶段	achievement.Name51	achievement.Describe51_7	1701099	3						21906	1	74	1	{7,6070}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21908	战术考核通关8阶段	achievement.Name51	achievement.Describe51_8	1701099	3						21907	1	74	1	{8,6080}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21909	战术考核通关9阶段	achievement.Name51	achievement.Describe51_9	1701099	3						21908	1	74	1	{9,6090}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21910	战术考核通关10阶段	achievement.Name51	achievement.Describe51_10	1701099	3						21909	1	74	1	{10,6100}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21911	战术考核通关11阶段	achievement.Name51	achievement.Describe51_11	1701099	3						21910	1	74	1	{11,6110}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
21912	战术考核通关12阶段	achievement.Name51	achievement.Describe51_12	1701099	3						21911	1	74	1	{12,6120}		{{4,3,2,1,10}}	28		TowerEvent.CheckOpenAct()							{2}		
																													
22101	1个角色完成同步率认证1	achievement.Name49	achievement.Describe49_1	1701102	3							1	72	1	{1}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22102	3个角色完成同步率认证1	achievement.Name49	achievement.Describe49_1	1701102	3						22101	1	72	3	{1}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22103	5个角色完成同步率认证1	achievement.Name49	achievement.Describe49_1	1701102	3						22102	1	72	5	{1}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22104	10个角色完成同步率认证1	achievement.Name49	achievement.Describe49_1	1701102	3						22103	1	72	10	{1}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22105	20个角色完成同步率认证1	achievement.Name49	achievement.Describe49_1	1701102	3						22104	1	72	20	{1}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22106	30个角色完成同步率认证1	achievement.Name49	achievement.Describe49_1	1701102	3						22105	1	72	30	{1}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
																													
22201	1个角色完成同步率认证2	achievement.Name49	achievement.Describe49_2	1701102	3							1	72	1	{2}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22202	3个角色完成同步率认证2	achievement.Name49	achievement.Describe49_2	1701102	3						22201	1	72	3	{2}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22203	5个角色完成同步率认证2	achievement.Name49	achievement.Describe49_2	1701102	3						22202	1	72	5	{2}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22204	10个角色完成同步率认证2	achievement.Name49	achievement.Describe49_2	1701102	3						22202	1	72	10	{2}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22205	20个角色完成同步率认证2	achievement.Name49	achievement.Describe49_2	1701102	3						22204	1	72	20	{2}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22206	30个角色完成同步率认证2	achievement.Name49	achievement.Describe49_2	1701102	3						22205	1	72	30	{2}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
																													
22301	1个角色完成同步率认证3	achievement.Name49	achievement.Describe49_3	1701102	3							1	72	1	{3}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22302	3个角色完成同步率认证3	achievement.Name49	achievement.Describe49_3	1701102	3						22301	1	72	3	{3}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22303	5个角色完成同步率认证3	achievement.Name49	achievement.Describe49_3	1701102	3						22302	1	72	5	{3}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22304	10个角色完成同步率认证3	achievement.Name49	achievement.Describe49_3	1701102	3						22303	1	72	10	{3}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22305	20个角色完成同步率认证3	achievement.Name49	achievement.Describe49_3	1701102	3						22304	1	72	20	{3}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
22306	30个角色完成同步率认证3	achievement.Name49	achievement.Describe49_3	1701102	3						22305	1	72	30	{3}		{{4,3,2,1,10}}	2	Role		{1}						{2}		
																													
22401	收集5个碎片	achievement.Name64	achievement.Describe64	1701189	3							1	117	5			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22402	收集15个碎片	achievement.Name64	achievement.Describe64	1701189	3						22401	1	117	15			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22403	收集45个碎片	achievement.Name64	achievement.Describe64	1701189	3						22402	1	117	45			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
																													
22501	进行3次碎片赠送	achievement.Name65	achievement.Describe65	1701189	3							1	119	3			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22502	进行10次碎片赠送	achievement.Name65	achievement.Describe65	1701189	3						22501	1	119	10			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22503	进行30次碎片赠送	achievement.Name65	achievement.Describe65	1701189	3						22502	1	119	30			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
																													
22601	收集10个家具	achievement.Name71	achievement.Describe71_1	1701189	3							1	122	10			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22602	收集30个家具	achievement.Name71	achievement.Describe71_1	1701189	3						22601	1	122	30			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22603	收集50个家具	achievement.Name71	achievement.Describe71_1	1701189	3						22602	1	122	50			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
22604	收集100个家具	achievement.Name71	achievement.Describe71_1	1701189	3						22603	1	122	100			{{4,3,2,1,10}}	48		HouseLogic.LoadHouse							{2}		
																													
22701	收集图鉴中%d个《聆听我教福谕》相关内容	achievement.Name72	achievement.Describe72_1	1701102	3							1	110	4	{7101,7102,7103,7104}		{{4,3,2,1,10}}	30	RikiMain								{2}		
22702	收集图鉴中%d个《汉斯的日记》相关内容	achievement.Name72	achievement.Describe72_2	1701102	3							1	110	5	{7105,7106,7107,7108,7109}		{{4,3,2,1,10}}	30	RikiMain								{2}		
22703	收集图鉴中%d个《爱思特日记》相关内容	achievement.Name72	achievement.Describe72_3	1701102	3							1	110	6	{7110,7111,7112,7113,7114,7115}		{{4,3,2,1,10}}	30	RikiMain								{2}		
22704	收集图鉴中%d个《“狼嗥”日记》相关内容	achievement.Name72	achievement.Describe72_4	1701102	3							1	110	7	{7116,7117,7118,7119,7120,7121,7122}		{{4,3,2,1,10}}	30	RikiMain								{2}		
																													
22801	无队员撤退的情况下，完成精神拟境难度8-的加文的挑战	achievement.Name74	achievement.Describe74_1	1701191	3							1	127	1	{8,6002102}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22802	无队员撤退的情况下，完成精神拟境难度8-的波伏娃13的挑战	achievement.Name74	achievement.Describe74_2	1701191	3							1	127	1	{8,6003101}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22803	无队员撤退的情况下，完成精神拟境难度8-的萨特的挑战	achievement.Name74	achievement.Describe74_3	1701191	3							1	127	1	{8,6002103}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22804	无队员撤退的情况下，完成精神拟境难度8-的海拉的挑战	achievement.Name74	achievement.Describe74_4	1701191	3							1	127	1	{8,6003201}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22805	无队员撤退的情况下，完成精神拟境难度8-的刻耳柏洛斯的挑战	achievement.Name74	achievement.Describe74_5	1701191	3							1	127	1	{8,6001301}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22806	无队员撤退的情况下，完成精神拟境难度8-的约瑟夫的挑战	achievement.Name74	achievement.Describe74_6	1701191	3							1	127	1	{8,6002003}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22807	无队员撤退的情况下，完成精神拟境难度8-二型验证机甲的挑战	achievement.Name74	achievement.Describe74_7	1701191	3							1	127	1	{8,6002002}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22808	无队员撤退的情况下，完成精神拟境难度8-二型验证机甲·荒猎的挑战	achievement.Name74	achievement.Describe74_8	1701191	3							1	127	1	{8,6002005}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22809	无队员撤退的情况下，完成精神拟境难度8-爱斯特的挑战	achievement.Name74	achievement.Describe74_9	1701191	3							1	127	1	{8,6001004}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22810	无队员撤退的情况下，完成精神拟境难度8-祟·焚风的挑战	achievement.Name74	achievement.Describe74_10	1701191	3							1	127	1	{8,600120502}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22811	无队员撤退的情况下，完成精神拟境难度8-祟·寒潮的挑战	achievement.Name74	achievement.Describe74_11	1701191	3							1	127	1	{8,600120503}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22812	无队员撤退的情况下，完成精神拟境难度8-凯茜娅的挑战	achievement.Name74	achievement.Describe74_12	1701191	3							1	127	1	{8,6001505}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
22813	无队员撤退的情况下，完成精神拟境难度8-威尔·安德森的挑战	achievement.Name74	achievement.Describe74_13	1701191	3							1	127	1	{8,600150101}		{{4,3,2,1,10}}	17				[202306011000]	[202311060400]				{2}		
																													
22814	无队员撤退的情况下，完成精神拟境难度5-的加文的挑战	achievement.Name74	achievement.Describe74_14	1701191	3							1	127	1	{5,6002102}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22815	无队员撤退的情况下，完成精神拟境难度5-的波伏娃13的挑战	achievement.Name74	achievement.Describe74_15	1701191	3							1	127	1	{5,6003101}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22816	无队员撤退的情况下，完成精神拟境难度5-的萨特的挑战	achievement.Name74	achievement.Describe74_16	1701191	3							1	127	1	{5,6002103}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22817	无队员撤退的情况下，完成精神拟境难度5-的海拉的挑战	achievement.Name74	achievement.Describe74_17	1701191	3							1	127	1	{5,6003201}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22818	无队员撤退的情况下，完成精神拟境难度5-的刻耳柏洛斯的挑战	achievement.Name74	achievement.Describe74_18	1701191	3							1	127	1	{5,6001301}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22819	无队员撤退的情况下，完成精神拟境难度5-的约瑟夫的挑战	achievement.Name74	achievement.Describe74_19	1701191	3							1	127	1	{5,6002003}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22820	无队员撤退的情况下，完成精神拟境难度5-二型验证机甲的挑战	achievement.Name74	achievement.Describe74_20	1701191	3							1	127	1	{5,6002002}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22821	无队员撤退的情况下，完成精神拟境难度5-二型验证机甲·荒猎的挑战	achievement.Name74	achievement.Describe74_21	1701191	3							1	127	1	{5,6002005}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22822	无队员撤退的情况下，完成精神拟境难度5-爱斯特的挑战	achievement.Name74	achievement.Describe74_22	1701191	3							1	127	1	{5,6001004}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22823	无队员撤退的情况下，完成精神拟境难度5-祟·焚风的挑战	achievement.Name74	achievement.Describe74_23	1701191	3							1	127	1	{5,600120502}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22824	无队员撤退的情况下，完成精神拟境难度5-祟·寒潮的挑战	achievement.Name74	achievement.Describe74_24	1701191	3							1	127	1	{5,600120503}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22825	无队员撤退的情况下，完成精神拟境难度5-凯茜娅的挑战	achievement.Name74	achievement.Describe74_25	1701191	3							1	127	1	{5,6001505}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22826	无队员撤退的情况下，完成精神拟境难度5-威尔·安德森的挑战	achievement.Name74	achievement.Describe74_26	1701191	3							1	127	1	{5,600150101}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22827	无队员撤退的情况下，完成精神拟境难度5-透墨索斯的挑战	achievement.Name74	achievement.Describe74_27	1701191	3							1	127	1	{5,6001302}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22828	无队员撤退的情况下，完成精神拟境难度5-约瑟夫·顽骨的挑战	achievement.Name74	achievement.Describe74_28	1701191	3							1	127	1	{5,6001006}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22829	无队员撤退的情况下，完成精神拟境难度5-海拉·怒棘的挑战	achievement.Name74	achievement.Describe74_29	1701191	3							1	127	1	{5,6001204}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22830	无队员撤退的情况下，完成精神拟境难度5-弹幕方块的挑战	achievement.Name74	achievement.Describe74_30	1701191	3							1	127	1	{5,6001206}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
22831	无队员撤退的情况下，完成精神拟境难度5-火工头陀的挑战	achievement.Name74	achievement.Describe74_31	1701191	3							1	127	1	{5,6001207}		{{4,3,2,1,10}}	17		BossPvpLogic.GetOpenID()		[202311060400]					{2}		
