所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
	516	int14_102_41	{-4485.72,-66774.34,1107.01}	{-20.0,0.0,50.0}	1	102		14
	517	int14_102_42	{-6627.99,-62289.82,10.1}	{-20.67,-5.95,163.8}	1	102		14
	518	int14_102_43	{-2709.69,-64486.05,12.92}	{-15.91,14.6,-89.33}	1	102		14
	519	int14_102_44	{2538.69,-64453.13,660.12}	{117.86,25.87,34.95}	1	102		14
	520	int14_102_45	{5276.83,-64075.5,17.34}	{30.07,-4.53,-85.96}	1	102		14
	521	int14_102_46	{-5116.43,-75946.88,-2013.23}	{30.0,0.0,10.0}	1	102		14
	522	int14_102_47	{-6194.48,-74464.36,-2082.72}	{30.0,0.0,-120.0}	1	102		14
	523	int14_102_48	{-5840.55,-72442.97,-1892.97}	{-16.1,-25.65,-56.3}	1	102		14
	524	int14_102_49	{-6708.2,-76074.58,-1117.75}	{0.0,-29.99,0.0}	1	102		14
	525	int14_102_5	{-8372.83,-71858.25,26.11}	{0.0,-49.99,0.0}	1	102		14
	528	int14_102_50	{-3264.05,-81143.88,-1884.76}	{11.17,-28.02,67.2}	1	102		14
	529	int14_102_51	{-95.23,-79015.71,-707.49}	{163.98,-37.15,25.41}	1	102		14
	530	int14_102_52	{3866.83,-72281.22,-1885.74}	{0.0,30.0,-40.0}	1	102		14
	531	int14_102_53	{3640.31,-74203.71,-1618.46}	{112.76,33.82,57.0}	1	102		14
	532	int14_102_54	{1433.12,-72859.71,-1885.74}	{0.0,30.0,-99.99}	1	102		14
	533	int14_102_55	{806.99,-76531.17,-790.37}	{-90.0,79.99,149.99}	1	102		14
	534	int14_102_56	{3367.05,-75624.97,-630.35}	{-140.42,77.18,60.43}	1	102		14
	535	int14_102_57	{-1121.38,-74268.11,-1272.96}	{-90.0,79.99,129.99}	1	102		14
	536	int14_102_58	{-1072.92,-72303.22,-1894.21}	{-26.13,-18.19,106.94}	1	102		14
	537	int14_102_59	{-742.44,-66487.91,-1896.75}	{0.0,39.99,150.0}	1	102		14
	538	int14_102_6	{-4893.19,-73295.2,1171.35}	{-45.9,-22.52,9.64}	1	102		14
	539	int14_102_60	{-2638.39,-69962.84,-1880.54}	{0.0,-49.99,-49.99}	1	102		14
	540	int14_102_61	{-1460.75,-77022.41,-1462.79}	{97.26,-41.19,27.26}	1	102		14
	541	int14_102_62	{8588.45,-71580.55,738.62}	{-27.73,40.12,-98.39}	1	102		14
	542	int14_102_63	{7738.93,-75182.97,551.89}	{-143.94,-54.46,-120.64}	1	102		14
	543	int14_102_64	{4762.23,-74741.15,-1073.02}	{28.43,22.59,177.5}	1	102		14
	544	int14_102_7	{-1988.66,-74590.59,1198.2}	{79.84,-9.84,51.75}	1	102		14
	545	int14_102_8	{-1207.0,-67177.29,20.69}	{-30.0,0.0,0.0}	1	102		14
	546	int14_102_9	{-4152.15,-67021.98,43.68}	{-30.38,-8.64,45.03}	1	102		14
	547	int14_104_1	{-7365.84,-67172.96,0.0}	{0.0,0.0,0.0}	1	104		14
	548	int14_104_10	{-12364.35,-75396.34,16.0}	{0.0,0.0,0.0}	1	104		14
	549	int14_104_11	{-2537.04,-72745.01,1159.0}	{0.0,0.0,0.0}	1	104		14
	550	int14_104_12	{-4555.2,-76926.61,-1899.99}	{0.0,0.0,0.0}	1	104		14
	551	int14_104_13	{1631.93,-69333.77,74.7}	{0.0,0.0,0.0}	1	104		14
	552	int14_104_14	{4157.95,-69221.01,10.0}	{0.0,0.0,0.0}	1	104		14
	553	int14_104_15	{2506.95,-71920.01,1300.0}	{0.0,0.0,0.0}	1	104		14
	554	int14_104_16	{7550.22,-67336.85,10.0}	{0.0,0.0,0.0}	1	104		14
	555	int14_104_17	{-7660.25,-75123.31,-1899.99}	{0.0,0.0,0.0}	1	104		14
	556	int14_104_18	{-2223.93,-68458.15,-1899.99}	{0.0,0.0,0.0}	1	104		14
	557	int14_104_19	{-3040.93,-68663.15,-1538.99}	{0.0,0.0,0.0}	1	104		14
	558	int14_104_2	{-2461.95,-76069.72,-1899.99}	{0.0,0.0,0.0}	1	104		14
	559	int14_104_20	{-5089.04,-67958.01,239.0}	{0.0,0.0,0.0}	1	104		14
	560	int14_104_21	{1507.48,-74973.17,1302.08}	{0.0,0.0,0.0}	1	104		14
	561	int14_104_22	{-8865.04,-71987.01,28.0}	{0.0,0.0,0.0}	1	104		14
	562	int14_104_23	{-935.04,-66994.01,109.0}	{0.0,0.0,0.0}	1	104		14
	563	int14_104_24	{1692.95,-69181.01,1112.0}	{0.0,0.0,0.0}	1	104		14
	564	int14_104_3	{-3494.57,-65119.61,1104.99}	{0.0,0.0,0.0}	1	104		14
	565	int14_104_4	{-49.04,-67002.01,1106.25}	{0.0,0.0,0.0}	1	104		14
	566	int14_104_5	{408.11,-70518.24,1106.84}	{0.0,0.0,0.0}	1	104		14
	567	int14_104_6	{-977.04,-67662.63,-1899.99}	{0.0,0.0,0.0}	1	104		14
	568	int14_104_7	{-917.04,-75379.01,-1840.99}	{0.0,0.0,0.0}	1	104		14
	569	int14_104_8	{546.95,-72509.01,-1899.99}	{0.0,0.0,0.0}	1	104		14
	570	int14_104_9	{-2648.8,-74422.01,332.44}	{0.0,0.0,0.0}	1	104		14
	571	int14_107_1	{-68.09,-62877.57,0.0}	{0.0,0.0,0.0}	1	107		14
	572	int14_110_1	{2459.52,-67057.33,-1899.14}	{0.0,0.0,0.0}	1	110	{7143}	14
	573	int14_110_2	{3188.09,-75382.79,-1875.64}	{0.0,0.0,0.0}	1	110	{7144}	14
	574	int14_111_1	{-758.06,-68843.84,10.0}	{0.0,0.0,50.0}	1	111	{7620}	14
	575	int14_111_2	{-5699.47,-67212.19,4.95}	{0.0,0.0,159.99}	1	111	{7621}	14
	576	int14_111_3	{-4023.09,-74475.86,10.0}	{0.0,0.0,0.0}	1	111	{7622}	14
	577	int14_111_4	{2941.92,-75138.08,1300.0}	{0.0,20.0,0.0}	1	111	{7623}	14
	578	int14_111_5	{4231.33,-66935.39,1104.99}	{3.61,19.68,100.62}	1	111	{7624}	14
	579	int14_111_6	{-3513.8,-67867.9,-1399.99}	{0.35,31.47,-162.58}	1	111	{7625}	14
	580	int14_111_7	{-5706.66,-74849.69,-2095.0}	{0.0,0.0,40.0}	1	111	{7626}	14
	581	int14_111_8	{-3608.76,-78467.92,-1899.99}	{-10.31,17.22,-141.56}	1	111	{7627}	14
	582	int14_111_9	{-8816.27,-67522.91,10.0}	{0.0,0.0,0.0}	1	111	{7628}	14



Logic	526	mapdefinea	{-75100.0,-94000.0,0.0}	{0.0,0.0,90.0}	2	0		0
	527	mapdefineb	{52900.0,50000.0,0.0}	{0.0,0.0,90.0}	3	0		0



