商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	PC后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格（只能填人民币价格）	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本
3	455				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	琢器·武器定制包	4	{4,5,6,147,1}		4	1	{100,128}	{1,128}		supplies.giftbox172								[202502061000]	[202503060400]					3				
3	456				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	玫印·资金包	4	{4,5,6,148,1}		4	1	{100,68}	{1,68}		supplies.giftbox173								[202502061000]	[202503060400]					7				
3	457				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	素珞·成长物资包	4	{4,5,6,149,1}		4	1	{100,68}	{1,68}		supplies.giftbox174								[202502061000]	[202503060400]					8				
3	458				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	赤瑶·成长物资包	4	{4,5,6,150,1}		4	1	{100,38}	{1,38}		supplies.giftbox175								[202502061000]	[202503060400]					9				
3	459				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	丹瑾·成长物资包	4	{4,5,6,151,1}		4	1	{100,38}	{1,38}		supplies.giftbox176								[202502061000]	[202503060400]					10				
3	460				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	花珀·后勤提升包	4	{4,5,6,152,1}		4	1	{100,32}	{1,32}		supplies.giftbox177								[202502061000]	[202503060400]					11				
																																			
																																			
4	603				com.kingsoft.bundle45	com.kingsoft.bundle45	com.kingsoft.bundle45	晴-凛冽冬花（皮肤）	5	{7,6,2,2,1}		4	1	{100,68}	{1,68}										[202501230400]	[202503060400]					7				2
4	618				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	DLC8凯西娅-贴身特助（皮肤）	5	{7,15,1,5,1}		4	1	{100,128}	{1,128}							77	[202501230400]	[202503060400]	[202501230400]	[202503060400]				{{7,15,1,4}}	5				
4	621				com.kingsoft.bundle38	com.kingsoft.bundle38	com.kingsoft.bundle38	DLC9茉莉安-雨燕-绯染夜幕（皮肤）	5	{7,5,2,3,1}		4	1	{100,128}	{1,128}							77	[202501230400]	[202503060400]	[202501230400]	[202503060400]					10				1
																																			
9	1018				com.kingsoft.bundle56	com.kingsoft.bundle56	com.kingsoft.bundle56	捆绑包（肴-夜天光-暖夜情醺+武器皮）	5	{4,8,12,1,1}		4	1	{100,156}	{1,156}			1601171		1601168		82.5	[202502061000]	[202503060400]	[202502061000]	[202503060400]					3		{637,813}	217	
																																			
9	1008				com.kingsoft.bundle12	com.kingsoft.bundle12	com.kingsoft.bundle12	翠翎倩姿皮肤+部件自选捆绑包	5	{7,18,1,2,1}	1	4	1	{100,128}	{1,128}		supplies.bundlebox1001	1601127		1601126		77	[202501230400]	[202503060400]	[202501230400]	[202503060400]					6	1008		227	1
9	1009				com.kingsoft.bundle46	com.kingsoft.bundle46	com.kingsoft.bundle46	点墨化龙皮肤+部件自选捆绑包	5	{7,14,2,4,1}	2	4	1	{100,128}	{1,128}		supplies.bundlebox1002	1601123		1601122		77	[202501230400]	[202503060400]	[202501230400]	[202503060400]					7	1009		228	1
																																			
11	856				com.kingsoft.bundle62	com.kingsoft.bundle62	com.kingsoft.bundle62	【互动情景·暖夜恒约】预售礼盒	5	{4,15,1,2,1}		4	1	{100,70}	{1,70}			1601167	1601166	1601165		72	[202502061000]	[202503060400]	[202502061000]	[202503060400]				{{4,15,1,2}}	2				
																																			
12	901							凯西娅-贴身特助-网袜部件	5	{20,1,1,2,1}		4	1		{2,10}	100		1601110		1601111		1					[202501230400]	[202503060400]			1				
12	902				com.kingsoft.bundle36	com.kingsoft.bundle36	com.kingsoft.bundle36	翠翎倩姿部件自选	5		1			{100,10}	{1,10}		ui.TxtFashionMall14	1601129		1601128							[202501230400]	[202503060400]			2				1
																																			
3	461				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	风绻·每周天启者聘任包	4	{4,5,6,153,1}		2	1	{100,16}	{1,16}		supplies.giftbox178								[202503061000]	[202504170400]					1				
3	462				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	飘寻·天启者聘任包	4	{4,5,6,154,1}		4	1	{100,128}	{1,128}		supplies.giftbox179								[202503061000]	[202504170400]					2				
3	463				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	飒影·武器定制包	4	{4,5,6,155,1}		4	1	{100,128}	{1,128}		supplies.giftbox180								[202503061000]	[202504170400]					3				
3	464				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	幻翼·豪华物资包	4	{4,5,6,156,1}		4	1	{100,228}	{1,228}		supplies.giftbox181								[202503061000]	[202504170400]					4				
3	465				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	星翌·资金包	4	{4,5,6,157,1}		4	1	{100,68}	{1,68}		supplies.giftbox182								[202503061000]	[202504170400]					5				
3	466				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	渺岚·成长物资包	4	{4,5,6,158,1}		4	1	{100,68}	{1,68}		supplies.giftbox183								[202503061000]	[202504170400]					6				
3	467				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	翎光·成长物资包	4	{4,5,6,159,1}		4	1	{100,38}	{1,38}		supplies.giftbox184								[202503061000]	[202504170400]					7				
3	468				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	翩舞·成长物资包	4	{4,5,6,160,1}		4	1	{100,38}	{1,38}		supplies.giftbox185								[202503061000]	[202504170400]					8				
3	469				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	羽盈·后勤提升包	4	{4,5,6,161,1}		4	1	{100,32}	{1,32}		supplies.giftbox186								[202503061000]	[202504170400]					9				
																																			
4	640				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	薇蒂雅-龙舌兰-舞夜与焰	5	{7,18,1,3,1}		4	1	{100,128}	{1,128}							77	[202503061000]	[202504170400]	[202503061000]	[202504170400]					3				
																																			
9	1022				com.kingsoft.bundle20	com.kingsoft.bundle20	com.kingsoft.bundle20	捆绑包（龙舌兰-舞夜与焰+星夜流沙）	5	{4,8,15,1,1}		4	1	{100,156}	{1,156}			142400015		142400016		76	[202503061000]	[202504170400]	[202503061000]	[202504170400]					3		{640,816}	258	
																																			
10	816				com.kingsoft.bundle60	com.kingsoft.bundle60	com.kingsoft.bundle60	星夜流沙（武器皮肤）	5	{17,4,2,1,1}		4	1	{100,28}	{1,28}			142400014		142400013		72	[202503061000]	[202504170400]	[202503061000]	[202504170400]					3			258	
																																			
3	470				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	湄迹·每周天启者聘任包	4	{4,5,6,162,1}		2	1	{100,16}	{1,16}		supplies.giftbox187								[202504170400]	[202505290400]					1				
3	471				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	洄觅·天启者聘任包	4	{4,5,6,163,1}		4	1	{100,128}	{1,128}		supplies.giftbox188								[202504170400]	[202505290400]					2				
3	472				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	澄械·武器定制包	4	{4,5,6,164,1}		4	1	{100,128}	{1,128}		supplies.giftbox189								[202504170400]	[202505290400]					3				
3	473				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	漩能·豪华物资包	4	{4,5,6,165,1}		4	1	{100,228}	{1,228}		supplies.giftbox190								[202504170400]	[202505290400]					4				
3	474				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	溟镞·资金包	4	{4,5,6,166,1}		4	1	{100,68}	{1,68}		supplies.giftbox191								[202504170400]	[202505290400]					5				
3	475				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	沫迁·成长物资包	4	{4,5,6,167,1}		4	1	{100,68}	{1,68}		supplies.giftbox192								[202504170400]	[202505290400]					6				
3	476				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	涟狩·成长物资包	4	{4,5,6,168,1}		4	1	{100,38}	{1,38}		supplies.giftbox193								[202504170400]	[202505290400]					7				
3	477				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	漪震·成长物资包	4	{4,5,6,169,1}		4	1	{100,38}	{1,38}		supplies.giftbox194								[202504170400]	[202505290400]					8				
3	478				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	湫闻·后勤提升包	4	{4,5,6,170,1}		4	1	{100,32}	{1,32}		supplies.giftbox195								[202504170400]	[202505290400]					9				
																																			
4	642				com.kingsoft.bundle41	com.kingsoft.bundle41	com.kingsoft.bundle41	妮塔悸响-林间潋滟	5	{7,3,2,2,1}		4	1	{100,128}	{1,128}							85	[202504170400]	[202505290400]	[202504170400]	[202505290400]					1				
																																			
																																			
9	1024				com.kingsoft.bundle66	com.kingsoft.bundle66	com.kingsoft.bundle66	捆绑包（妮塔悸响-林间潋滟+互动+武器皮）	5	{4,8,17,1,1}		4	1	{100,226}	{1,226}			1601175		1601176		79	[202504170400]	[202505290400]	[202504170400]	[202505290400]					2		{642,858,818}	275	
9	1027				com.kingsoft.bundle46	com.kingsoft.bundle46	com.kingsoft.bundle46	晨曦统令皮肤+部件自选捆绑包	5	{7,21,1,2,1}	3	4	1	{100,128}	{1,128}		supplies.bundlebox1019	142500045		142500046		77	[202504170400]	[202505290400]	[202504170400]	[202505290400]					1	1027		274	
																																			
																																			
11	858				com.kingsoft.bundle65	com.kingsoft.bundle65	com.kingsoft.bundle65	互动情景·秘林	5	{19,3,2,2,1}		4	1	{100,70}	{1,70}			1601178	1601177	1601179		72			[202504170400]	[202505290400]					1				
10	818				com.kingsoft.bundle59	com.kingsoft.bundle59	com.kingsoft.bundle59	深林微光	5	{17,3,7,1,1}		4	1	{100,28}	{1,28}			142300064		142300063		72	[202504170400]	[202505290400]	[202504170400]	[202505290400]					2			275	
																																			
																																			
3	479				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	幻钥·每周天启者聘任包	4	{4,5,6,171,1}		2	1	{100,16}	{1,16}		supplies.giftbox196								[202505291000]	[202507100400]					1				
3	480				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	虚键·天启者聘任包	4	{4,5,6,172,1}		4	1	{100,128}	{1,128}		supplies.giftbox197								[202505291000]	[202507100400]					2				
3	481				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	谶迹·武器定制包	4	{4,5,6,173,1}		4	1	{100,128}	{1,128}		supplies.giftbox198								[202505291000]	[202507100400]					3				
3	482				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	邃理·豪华物资包	4	{4,5,6,174,1}		4	1	{100,228}	{1,228}		supplies.giftbox199								[202505291000]	[202507100400]					4				
3	483				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	悖码·资金包	4	{4,5,6,175,1}		4	1	{100,68}	{1,68}		supplies.giftbox200								[202505291000]	[202507100400]					5				
3	484				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	谜蜕·成长物资包	4	{4,5,6,176,1}		4	1	{100,68}	{1,68}		supplies.giftbox201								[202505291000]	[202507100400]					6				
3	485				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	伪序·成长物资包	4	{4,5,6,177,1}		4	1	{100,38}	{1,38}		supplies.giftbox202								[202505291000]	[202507100400]					7				
3	486				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	逆因·成长物资包	4	{4,5,6,178,1}		4	1	{100,38}	{1,38}		supplies.giftbox203								[202505291000]	[202507100400]					8				
3	487				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	诡契·后勤提升包	4	{4,5,6,179,1}		4	1	{100,32}	{1,32}		supplies.giftbox204								[202505291000]	[202507100400]					9				
																																			
4	617				com.kingsoft.bundle49	com.kingsoft.bundle49	com.kingsoft.bundle49	瑟瑞斯-瞬刻-须臾蹁跹（皮肤）	5	{7,13,2,2,1}		4	1	{100,128}	{1,128}							77	[202505291000]	[202507100400]	[202505291000]	[202507100400]					4				
4	633				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	瑟瑞斯-瞬刻-斑斓水色（皮肤）	5	{7,13,2,4,1}		4	1	{100,128}	{1,128}							77	[202505291000]	[202507100400]	[202505291000]	[202507100400]					5				
																																			
9	1014				com.kingsoft.bundle48	com.kingsoft.bundle48	com.kingsoft.bundle48	捆绑包（瑟瑞斯-瞬刻-斑斓水色+澈海之约）	5	{4,8,8,1,1}		4	1	{100,156}	{1,156}			142300025		142300026		76	[202505291000]	[202507100400]	[202505291000]	[202507100400]					4		{633,809}	300	
																																			
10	809				com.kingsoft.bundle47	com.kingsoft.bundle47	com.kingsoft.bundle47	澈海之约（武器皮肤）	5	{17,3,3,1,1}		4	1	{100,28}	{1,28}			142300024		142300023		72	[202505291000]	[202507100400]	[202505291000]	[202507100400]					4			300	
																																			
3	488				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	题献·每周天启者聘任包	4	{4,5,6,180,1}		2	1	{100,16}	{1,16}		supplies.giftbox205								[202507100400]	[202508210400]					1				
3	489				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	智辩·顶级物资包	4	{4,5,6,181,1}		4	1	{100,328}	{1,328}		supplies.giftbox206								[202507100400]	[202508210400]					6				
3	490				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	誓曲·天启者聘任包	4	{4,5,6,182,1}		4	1	{100,128}	{1,128}		supplies.giftbox207								[202507100400]	[202508210400]					4				
3	491				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	证冕·武器定制包	4	{4,5,6,183,1}		4	1	{100,128}	{1,128}		supplies.giftbox208								[202507100400]	[202508210400]					5				
3	492				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	谶序·资金包	4	{4,5,6,184,1}		4	1	{100,68}	{1,68}		supplies.giftbox209								[202507100400]	[202508210400]					12				
3	493				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	赋格·成长物资包	4	{4,5,6,185,1}		4	1	{100,68}	{1,68}		supplies.giftbox210								[202507100400]	[202508210400]					13				
3	494				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	哲颂·成长物资包	4	{4,5,6,186,1}		4	1	{100,38}	{1,38}		supplies.giftbox211								[202507100400]	[202508210400]					14				
3	495				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	夜理·成长物资包	4	{4,5,6,187,1}		4	1	{100,38}	{1,38}		supplies.giftbox212								[202507100400]	[202508210400]					15				
3	496				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	阈契·后勤提升包	4	{4,5,6,188,1}		4	1	{100,32}	{1,32}		supplies.giftbox213								[202507100400]	[202508210400]					16				
3	497				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	星绎·天启者聘任包	4	{4,5,6,189,1}		4	1	{100,128}	{1,128}		supplies.giftbox214								[202507241000]	[202508210400]					2				
3	498				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	思曜·武器定制包	4	{4,5,6,190,1}		4	1	{100,128}	{1,128}		supplies.giftbox215								[202507241000]	[202508210400]					3				
3	499				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	秘谕·资金包	4	{4,5,6,191,1}		4	1	{100,68}	{1,68}		supplies.giftbox216								[202507241000]	[202508210400]					7				
3	500				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	梦谒·成长物资包	4	{4,5,6,192,1}		4	1	{100,68}	{1,68}		supplies.giftbox217								[202507241000]	[202508210400]					8				
3	501				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	典钥·成长物资包	4	{4,5,6,193,1}		4	1	{100,38}	{1,38}		supplies.giftbox218								[202507241000]	[202508210400]					9				
3	502				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	律锚·成长物资包	4	{4,5,6,194,1}		4	1	{100,38}	{1,38}		supplies.giftbox219								[202507241000]	[202508210400]					10				
3	503				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	箴言·后勤提升包	4	{4,5,6,195,1}		4	1	{100,32}	{1,32}		supplies.giftbox220								[202507241000]	[202508210400]					11				
																																			
																																			
																																			
																																			
4	651				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	卜卜-小天师-畅饮狂欢（皮肤）	5	{7,20,1,3,1}		4	1	{100,128}	{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					4				
																																			
																																			
																																			
																																			
4	646				com.kingsoft.bundle38	com.kingsoft.bundle38	com.kingsoft.bundle38	芙提雅-驰掣-泳池护卫（皮肤）	5	{7,4,3,4,1}		4	1	{100,128}	{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					9				
4	643				com.kingsoft.bundle44	com.kingsoft.bundle44	com.kingsoft.bundle44	卜卜-元气愈养（皮肤）	5	{7,20,1,2,1}		4	1	{100,128}	{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					12				
																																			
																																			
4	632				com.kingsoft.bundle76	com.kingsoft.bundle76	com.kingsoft.bundle76	芙提雅-弛掣-毛绒派对（皮肤）	5	{7,4,3,2,1}		4	1	{100,128}	{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					16				
																																			
																																			
																																			
																																			
9	1034				com.kingsoft.bundle20	com.kingsoft.bundle20	com.kingsoft.bundle20	捆绑包（卜卜-小天师-畅饮狂欢+武器皮）	5	{4,8,26,1,1}		4	1	{100,156}	{1,156}			142400035		142400036		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					4		{651,828}	313	
																																			
																																			
																																			
																																			
9	1029				com.kingsoft.bundle40	com.kingsoft.bundle40	com.kingsoft.bundle40	捆绑包（芙提雅-驰掣-泳池护卫+武器皮）	5	{4,8,21,1,1}		4	1	{100,156}	{1,156}			142200023		142200024		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					9		{646,823}	324	
9	1025				com.kingsoft.bundle80	com.kingsoft.bundle80	com.kingsoft.bundle80	捆绑包（卜卜-元气愈养+武器皮）	5	{4,8,18,1,1}		4	1	{100,156}	{1,156}			142400025		142400026		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					12		{643,819}	325	
																																			
																																			
9	1013				com.kingsoft.bundle84	com.kingsoft.bundle84	com.kingsoft.bundle84	捆绑包（芙提雅-弛掣-毛绒派对+熊熊突击）	5	{4,8,7,1,1}		4	1	{100,156}	{1,156}			142200016		142200015		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					16		{632,808}	323	
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
10	828				com.kingsoft.bundle47	com.kingsoft.bundle47	com.kingsoft.bundle47	软绒紧缚（武器皮肤）	5	{17,4,4,1,1}		4	1	{100,28}	{1,28}			142400034		142400033		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					4			313	
																																			
																																			
																																			
																																			
10	823				com.kingsoft.bundle86	com.kingsoft.bundle86	com.kingsoft.bundle86	清凉公式（武器皮肤）	5	{17,2,4,1,1}		4	1	{100,28}	{1,28}			142200028		142200027		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					9			324	
10	819				com.kingsoft.bundle89	com.kingsoft.bundle89	com.kingsoft.bundle89	浅粉印象（武器皮肤）	5	{17,4,3,1,1}		4	1	{100,28}	{1,28}			142400024		142400023		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					12			325	
																																			
																																			
10	808				com.kingsoft.bundle93	com.kingsoft.bundle93	com.kingsoft.bundle93	熊熊突击（武器皮肤）	5	{17,2,2,1,1}		4	1	{100,28}	{1,28}			142200014		142200013		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					16			323	
																																			
3	504				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	夜礼·每周天启者聘任包	4	{4,5,6,196,1}		2	1	{100,16}	{1,16}		supplies.giftbox221								[202508211000]	[202509250400]					1				
3	505				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	夜礼·天启者聘任包	4	{4,5,6,197,1}		4	1	{100,128}	{1,128}		supplies.giftbox222								[202508211000]	[202509250400]					2				
3	506				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	夜礼·武器定制包	4	{4,5,6,198,1}		4	1	{100,128}	{1,128}		supplies.giftbox223								[202508211000]	[202509250400]					3				
3	507				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	夜礼·豪华物资包	4	{4,5,6,199,1}		4	1	{100,228}	{1,228}		supplies.giftbox224								[202508211000]	[202509250400]					4				
3	508				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	夜礼·成长资金包	4	{4,5,6,200,1}		4	1	{100,68}	{1,68}		supplies.giftbox225								[202508211000]	[202509250400]					5				
3	509				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	夜礼·神经突破包	4	{4,5,6,201,1}		4	1	{100,68}	{1,68}		supplies.giftbox226								[202508211000]	[202509250400]					6				
3	510				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	夜礼·等级提升包	4	{4,5,6,202,1}		4	1	{100,38}	{1,38}		supplies.giftbox227								[202508211000]	[202509250400]					7				
3	511				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	夜礼·神经通导包	4	{4,5,6,203,1}		4	1	{100,38}	{1,38}		supplies.giftbox228								[202508211000]	[202509250400]					8				
3	512				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	夜礼·后勤提升包	4	{4,5,6,204,1}		4	1	{100,32}	{1,32}		supplies.giftbox229								[202508211000]	[202509250400]					9				
																																			
																																			
4	653				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	妮塔-悸响-轻罗曼舞（皮肤）	5	{7,3,2,3,1}		4	1	{100,128}	{1,128}							77	[202508211000]	[202509250400]	[202508211000]	[202509250400]					2				
																																			
																																			
4	635				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	伊切尔-豹豹-捕猎演习	5	{7,16,1,4,1}		4	1	{100,128}	{1,128}							77	[202508211000]	[202509250400]	[202508211000]	[202509250400]					5				
																																			
																																			
9	1036				com.kingsoft.bundle20	com.kingsoft.bundle20	com.kingsoft.bundle20	捆绑包（妮塔-悸响-轻罗曼舞+武器皮）	5	{4,8,28,1,1}		4	1	{100,156}	{1,156}			142300082		142300083		76	[202508211000]	[202509250400]	[202508211000]	[202509250400]					2		{653,830}	344	
																																			
																																			
9	1016				com.kingsoft.bundle67	com.kingsoft.bundle67	com.kingsoft.bundle67	捆绑包（伊切尔-豹豹-捕猎演习+豹豹饱饱）	5	{4,8,10,1,1}		4	1	{100,156}	{1,156}			142300034		142300033		76	[202508211000]	[202509250400]	[202508211000]	[202509250400]					5		{635,811}	349	
																																			
																																			
10	830				com.kingsoft.bundle61	com.kingsoft.bundle61	com.kingsoft.bundle61	寂夜覆纱（武器皮肤）	5	{17,3,9,1,1}		4	1	{100,28}	{1,28}			142300081		142300080		72	[202508211000]	[202509250400]	[202508211000]	[202509250400]					2			344	
																																			
10	811				com.kingsoft.bundle53	com.kingsoft.bundle53	com.kingsoft.bundle53	豹豹饱饱（武器皮肤）	5	{17,3,4,1,1}		4	1	{100,28}	{1,28}			142300038		142300037		72	[202508211000]	[202509250400]	[202508211000]	[202509250400]					5			349	
																																			
																																			
3	513				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	悦汐·每周天启者聘任包	4	{4,5,6,205,1}		2	1	{100,16}	{1,16}		supplies.giftbox230								[202509250400]	[202511060400]					1				
3	514				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	悦汐·顶级物资包	4	{4,5,6,206,1}		4	1	{100,328}	{1,328}		supplies.giftbox231								[202509250400]	[202511060400]					6				
3	515				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	悦汐·天启者聘任包	4	{4,5,6,207,1}		4	1	{100,128}	{1,128}		supplies.giftbox232								[202509250400]	[202511060400]					4				
3	516				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	悦汐·武器定制包	4	{4,5,6,208,1}		4	1	{100,128}	{1,128}		supplies.giftbox233								[202509250400]	[202511060400]					5				
3	517				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	悦汐·成长物资包	4	{4,5,6,209,1}		4	1	{100,68}	{1,68}		supplies.giftbox234								[202509250400]	[202511060400]					12				
3	518				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	悦汐·神经突破包	4	{4,5,6,210,1}		4	1	{100,68}	{1,68}		supplies.giftbox235								[202509250400]	[202511060400]					13				
3	519				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	悦汐·等级提升包	4	{4,5,6,211,1}		4	1	{100,38}	{1,38}		supplies.giftbox236								[202509250400]	[202511060400]					14				
3	520				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	悦汐·神经通导包	4	{4,5,6,212,1}		4	1	{100,38}	{1,38}		supplies.giftbox237								[202509250400]	[202511060400]					15				
3	521				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	悦汐·后勤提升包	4	{4,5,6,213,1}		4	1	{100,32}	{1,32}		supplies.giftbox238								[202509250400]	[202511060400]					16				
3	522				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	翩澜·天启者聘任包	4	{4,5,6,214,1}		4	1	{100,128}	{1,128}		supplies.giftbox239								[202510161000]	[202511060400]					2				
3	523				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	翩澜·武器定制包	4	{4,5,6,215,1}		4	1	{100,128}	{1,128}		supplies.giftbox240								[202510161000]	[202511060400]					3				
3	524				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	翩澜·成长物资包	4	{4,5,6,216,1}		4	1	{100,68}	{1,68}		supplies.giftbox241								[202510161000]	[202511060400]					7				
