问卷ID	优先级(越大越优先)	互斥ID(同ID不可多次回答,100001为回归问卷)	问卷链接	调查表编号	密钥	回调地址	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 4日常本是否通关 5联机通关次数 8登陆天数大于 17登陆天数小于）	开始时间	结束时间	奖励道具列表	邮件标题	邮件内容	邮件发送人	邮件保存时间	大区限制	渠道限制	语言限制目前可填：{zh_CN,....}，不填则无限制
2089	6	2085	http://www.surveypie.com/survey/2f297dcb-8846-43d7-9b8e-5e701b008e62	2f297dcb-8846-43d7-9b8e-5e701b008e62	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_CN"}
2090	6	2085	http://www.surveypie.com/survey/8bf2494c-e819-415f-90d0-0a0cd4dca8d7	8bf2494c-e819-415f-90d0-0a0cd4dca8d7	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"th_TH"}
2091	6	2085	http://www.surveypie.com/survey/ed76f8c9-f844-4c30-b4b5-4bc54baa570f	ed76f8c9-f844-4c30-b4b5-4bc54baa570f	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"id_ID"}
2092	6	2085	http://www.surveypie.com/survey/b6bb2af3-2414-4ad6-b60a-4000fe5f8321	b6bb2af3-2414-4ad6-b60a-4000fe5f8321	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"de_DE"}
2093	6	2085	http://www.surveypie.com/survey/51aeabee-42dc-4995-ab5a-bcd1e64fdae9	51aeabee-42dc-4995-ab5a-bcd1e64fdae9	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"fr_FR"}
2094	6	2085	http://www.surveypie.com/survey/a552d98a-868d-4f18-bd30-e83e88fcb576	a552d98a-868d-4f18-bd30-e83e88fcb576	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
																	
1011	5	1011	https://www.diaochapai.com/survey/1908004d-40d6-4ecc-b0a9-95c6137e2c26	1908004d-40d6-4ecc-b0a9-95c6137e2c26	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,10}}	[202309211800]	[202309260400]	{{4,3,2,1,50}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,11,150,151}		
																	
																	
2095	4	2095	http://www.surveypie.com/survey/aee7655a-8cc0-42e1-802b-40e3ade169ba	aee7655a-8cc0-42e1-802b-40e3ade169ba	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"en_US"}
2096	4	2095	http://www.surveypie.com/survey/2c2c4a7c-cd35-4e4a-8637-9d2f5604e6c2	2c2c4a7c-cd35-4e4a-8637-9d2f5604e6c2	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ja_JP"}
2097	4	2095	http://www.surveypie.com/survey/12fde613-1f39-42d5-8b09-75626d9d3fde	12fde613-1f39-42d5-8b09-75626d9d3fde	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ko_KR"}
2098	4	2095	http://www.surveypie.com/survey/2fe90d77-502f-4ad8-a0da-8c813a80684b	2fe90d77-502f-4ad8-a0da-8c813a80684b	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_TW"}
2099	4	2095	http://www.surveypie.com/survey/39dbe63f-7ed9-4234-879e-9ebed4df25de	39dbe63f-7ed9-4234-879e-9ebed4df25de	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_CN"}
2100	4	2095	http://www.surveypie.com/survey/48f4966b-d054-4881-8d64-cb44e4841b94	48f4966b-d054-4881-8d64-cb44e4841b94	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"th_TH"}
2101	4	2095	http://www.surveypie.com/survey/1d1835e1-3d6d-46bf-98e0-bd25dd8982ad	1d1835e1-3d6d-46bf-98e0-bd25dd8982ad	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"id_ID"}
2102	4	2095	http://www.surveypie.com/survey/55cb3e56-9269-47e0-a13d-0f939ad86c7d	55cb3e56-9269-47e0-a13d-0f939ad86c7d	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"de_DE"}
2103	4	2095	http://www.surveypie.com/survey/497b455a-ebff-46a7-9a52-0e1fdd404cc2	497b455a-ebff-46a7-9a52-0e1fdd404cc2	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"fr_FR"}
2104	4	2095	http://www.surveypie.com/survey/9786d17e-3351-4fef-8dc5-06ccf170d7a3	9786d17e-3351-4fef-8dc5-06ccf170d7a3	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202310111300]	[202311260400]	{{4,3,2,1,50},{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
																	
2105	6	2105	http://www.surveypie.com/survey/ed874f31-d983-401a-84f6-baa756696c88	ed874f31-d983-401a-84f6-baa756696c88	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"en_US"}
2106	6	2105	http://www.surveypie.com/survey/f38bde49-1358-4a20-8350-706bd6ba2788	f38bde49-1358-4a20-8350-706bd6ba2788	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ja_JP"}
2107	6	2105	http://www.surveypie.com/survey/c369d1be-4888-44b4-9bf7-eb45149f6c2f	c369d1be-4888-44b4-9bf7-eb45149f6c2f	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ko_KR"}
2108	6	2105	http://www.surveypie.com/survey/1998660b-8edb-4525-82fa-e02b71bf1f9b	1998660b-8edb-4525-82fa-e02b71bf1f9b	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_TW"}
2109	6	2105	http://www.surveypie.com/survey/f66e1a8a-5e92-4e79-9b22-a3272bdd6940	f66e1a8a-5e92-4e79-9b22-a3272bdd6940	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_CN"}
2115	6	2105	http://www.surveypie.com/survey/ed874f31-d983-401a-84f6-baa756696c88	ed874f31-d983-401a-84f6-baa756696c88	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"th_TH"}
2116	6	2105	http://www.surveypie.com/survey/ed874f31-d983-401a-84f6-baa756696c88	ed874f31-d983-401a-84f6-baa756696c88	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"id_ID"}
2117	6	2105	http://www.surveypie.com/survey/ed874f31-d983-401a-84f6-baa756696c88	ed874f31-d983-401a-84f6-baa756696c88	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"de_DE"}
2118	6	2105	http://www.surveypie.com/survey/ed874f31-d983-401a-84f6-baa756696c88	ed874f31-d983-401a-84f6-baa756696c88	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"fr_FR"}
2119	6	2105	http://www.surveypie.com/survey/ed874f31-d983-401a-84f6-baa756696c88	ed874f31-d983-401a-84f6-baa756696c88	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,10},{8,7}}	[202311022000]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
2110	6	2105	http://www.surveypie.com/survey/e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"en_US"}
2111	6	2105	http://www.surveypie.com/survey/652460b6-74a8-4cff-834d-cb4d8f13fc42	652460b6-74a8-4cff-834d-cb4d8f13fc42	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ja_JP"}
2112	6	2105	http://www.surveypie.com/survey/2923beee-acb1-4535-a106-6d8376be6b43	2923beee-acb1-4535-a106-6d8376be6b43	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ko_KR"}
2113	6	2105	http://www.surveypie.com/survey/81bedf57-596c-47c8-a19f-dff4d17ea380	81bedf57-596c-47c8-a19f-dff4d17ea380	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_TW"}
2114	6	2105	http://www.surveypie.com/survey/d17ebf3d-2e06-4b8d-8e28-f6eb4a6eda91	d17ebf3d-2e06-4b8d-8e28-f6eb4a6eda91	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_CN"}
2120	6	2105	http://www.surveypie.com/survey/e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"th_TH"}
2121	6	2105	http://www.surveypie.com/survey/e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"id_ID"}
2122	6	2105	http://www.surveypie.com/survey/e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"de_DE"}
2123	6	2105	http://www.surveypie.com/survey/e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"fr_FR"}
2124	6	2105	http://www.surveypie.com/survey/e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	e04ff484-b739-4ca2-a3ea-3cb0a8a0e049	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10104},{17,6}}	[202311021300]	[202311170400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
																	
1012	5	1012	https://www.diaochapai.com/survey/d7d0b84f-7fb0-4824-867a-189d76783739	d7d0b84f-7fb0-4824-867a-189d76783739	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202401120900]	[202401142359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"jinshan","ios_jinshanApple","bili","yingyongbaoysdk"}	
1013	5	1012	https://www.diaochapai.com/survey/f60615dc-9902-41e2-851e-ea757076cb1f	f60615dc-9902-41e2-851e-ea757076cb1f	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202401120900]	[202401142359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"pc_jinshan","pc_bili"}	
																	
1014	5	1014	https://www.diaochapai.com/survey/bc0bbefa-f1e4-411c-bddd-b6168341d644	bc0bbefa-f1e4-411c-bddd-b6168341d644	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202402290900]	[202403062359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}		
1015	5	1015	https://www.diaochapai.com/survey/576159b0-dc14-4631-812a-6936beb50e81	576159b0-dc14-4631-812a-6936beb50e81	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202404110900]	[202404172359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}		
1016	5	1016	https://www.diaochapai.com/survey/289e1a16-247e-474c-9a11-55dfa5e7e7f0	289e1a16-247e-474c-9a11-55dfa5e7e7f0	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202405060000]	[202405192359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}		
																	
2125	5	2125	https://forms.gle/ofjGGTvgQ5F43nzJ7			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202405060000]	[202405192359]	{{4,3,2,1,60}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_TW"}
2126	5	2125	https://forms.gle/f1UG9xsw2oKE7fP18			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202405060000]	[202405192359]	{{4,3,2,1,60}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"en_US"}
2127	5	2125	https://forms.gle/aSbeYQu7MgaZwxH76			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202405060000]	[202405192359]	{{4,3,2,1,60}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ko_KR"}
2128	5	2125	https://forms.gle/E8v8yBLo2HbeCSnq9			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202405060000]	[202405192359]	{{4,3,2,1,60}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ja_JP"}
																	
1017	5	1017	https://www.diaochapai.com/survey/648222ae-b712-4c49-88d8-b80604d4226e	648222ae-b712-4c49-88d8-b80604d4226e	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,5}}	[202405231800]	[202405251800]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,12,161}		
1018	5	1018	https://www.diaochapai.com/survey/57209f94-9e8d-471a-b072-d0b22341bbdb	57209f94-9e8d-471a-b072-d0b22341bbdb	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202407040900]	[202407102359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}		
																	
2129	5	2129	https://forms.gle/KtZnTXCW5g7bDsCc9			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202407040900]	[202407102359]	{{4,3,2,1,60}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{1,21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_TW","zh_CN"}
2130	5	2129	https://forms.gle/aTrCGdRBLDzuDtNC6			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202407040900]	[202407102359]	{{4,3,2,1,60}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{1,21,22,23,25,26,214,215,224,225,234,235,244,245}		{"en_US","th_TH","id_ID","de_DE","fr_FR","es_ES"}
2131	5	2129	https://forms.gle/P4hh73BZHYjYLjs9A			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202407040900]	[202407102359]	{{4,3,2,1,60}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{1,21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ko_KR"}
2132	5	2129	https://forms.gle/JPmCNnP3kudzJRPP9			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202407040900]	[202407102359]	{{4,3,2,1,60}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{1,21,22,23,25,26,214,215,224,225,234,235,244,245}		{"ja_JP"}
																	
1019	5	1019	https://www.diaochapai.com/survey/57209f94-9e8d-471a-b072-d0b22341bbdb	57209f94-9e8d-471a-b072-d0b22341bbdb	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{1,20}}	[202407310900]	[202409132359]	{{4,3,2,1,60}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}		
																	
2133	5	2133	http://www.surveypie.com/survey/a89950ec-1b6c-451a-9504-e25a0277cc76	a89950ec-1b6c-451a-9504-e25a0277cc76	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{1,20}}	[202407310900]	[202408132359]	{{4,3,2,1,60}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{1,21,22,23,25,26,214,215,224,225,234,235,244,245}		{"zh_TW","zh_CN"}
