唯一Id	优先级（值越小优先级越高；1,2,3,4）	字符串索引	说话人	Wwise事件名	声音时间(手动导出)	临时时间	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
		ch13.15.03.4	龙舌兰	Play_Vo_dlc9act5_mescal_07	4.063991		不敢不敢！只是我们这次碰上的对手的确……		2.0周年庆关卡内语音
		ch13.15.03.5	芬妮	Play_Vo_dlc9act5_girl008b_08	1.772494		喂？喂？！		2.0周年庆关卡内语音
		ch13.15.03.6	龙舌兰	Play_Vo_dlc9act5_mescal_08	3.885329		……你要抓紧时间了，我的位置好像也暴露了，很可能没办法——		2.0周年庆关卡内语音
									
ch13.16.01		ch13.16.01.1	里芙	Play_Vo_dlc9act6_girl002b_01	3.937619		酒店的后门外广场已经肃清了，你找到分析员了吗？		2.0周年庆关卡内语音
		ch13.16.01.2	芬妮	Play_Vo_dlc9act6_girl008b_01	2.619592		快了。在摆弄小机器人。		2.0周年庆关卡内语音
		ch13.16.01.3	里芙	Play_Vo_dlc9act6_girl002b_02	0.732063		什么？		2.0周年庆关卡内语音
		ch13.16.01.4	芬妮	Play_Vo_dlc9act6_girl008b_02	1.81424		答应我，别问了。		2.0周年庆关卡内语音
		ch13.16.01.5	芬妮	Play_Vo_dlc9act6_girl008b_03	4.055759		本小姐的耐心……又快要用完了！		2.0周年庆关卡内语音
									
ch13.16.02		ch13.16.02.1	芬妮	Play_Vo_dlc9act6_girl008b_04	2.624059		好了，只剩一道门了。		2.0周年庆关卡内语音
		ch13.16.02.2	里芙	Play_Vo_dlc9act6_girl002b_03	3.420182		能选的撤退路线不多了，要做好心理准备。		2.0周年庆关卡内语音
		ch13.16.02.3	芬妮	Play_Vo_dlc9act6_girl008b_05	5.695283		先找着人再说吧！本小姐现在有种很恶心的预感……		2.0周年庆关卡内语音
		ch13.16.02.4	里芙	Play_Vo_dlc9act6_girl002b_04	1.53322		芬妮……		
		ch13.16.02.5	芬妮	Play_Vo_dlc9act6_girl008b_06	4.010658		一群下贱的东西，把分析员交出来！		2.0周年庆关卡内语音
									
ch13.17.01		ch13.17.01.1	芬妮	Play_Vo_dlc9act7_girl008b_01	5.643311		用泰坦物质来污染整个新恒提罗……这说不通，没道理的！		2.0周年庆关卡内语音
		ch13.17.01.2	里芙	Play_Vo_dlc9act7_girl002b_01	3.157483		你是想说做这种事对那个罗赞来说没好处？		2.0周年庆关卡内语音
		ch13.17.01.3	芬妮	Play_Vo_dlc9act7_girl008b_02	3.519524		那个臭婆娘跟埃达绝对不是一路的，她凭什么要替别人铺路？		2.0周年庆关卡内语音
		ch13.17.01.4	里芙	Play_Vo_dlc9act7_girl002b_02	7.565691		除非她的某些目的……必须先要新恒提罗完全陷入泰坦污染才行。		2.0周年庆关卡内语音
									
ch13.17.02		ch13.17.02.1	里芙	Play_Vo_dlc9act7_girl002b_03	3.97449		这里除了泰坦物质……还有别的东西在。		2.0周年庆关卡内语音
		ch13.17.02.2	芬妮	Play_Vo_dlc9act7_girl008b_03	0.28941		呜——		2.0周年庆关卡内语音
		ch13.17.02.3	里芙	Play_Vo_dlc9act7_girl002b_04	0.808957		你怎么了？！		2.0周年庆关卡内语音
		ch13.17.02.4	芬妮	Play_Vo_dlc9act7_girl008b_04	13.85059		不知道！我的身体……在跟这里的环境发生共鸣！		2.0周年庆关卡内语音
									
ch13.17.03		ch13.17.03.1	龙舌兰	Play_Vo_dlc9act7_mescal_01	2.415941		……里芙！芬妮！你们听得到吗？		2.0周年庆关卡内语音
		ch13.17.03.2	里芙	Play_Vo_dlc9act7_girl002b_05	1.171837		有什么进展吗。		2.0周年庆关卡内语音
		ch13.17.03.3	龙舌兰	Play_Vo_dlc9act7_mescal_02	3.856009		这边查到了，你们现在面对的不是普通的泰坦物质。		2.0周年庆关卡内语音
		ch13.17.03.4	龙舌兰	Play_Vo_dlc9act7_mescal_03	4.802676		罗赞在那里面混入了别的东西，似乎是某种微型仿生机械单位……		2.0周年庆关卡内语音
		ch13.17.03.5	芬妮	Play_Vo_dlc9act7_girl008b_05	4.183719		如果你想说接下来要我们多留个心眼儿的话，那就已经晚了。		2.0周年庆关卡内语音
		ch13.17.03.6	龙舌兰	Play_Vo_dlc9act7_mescal_04	5.269342		虽然时间紧迫，但如果你们找到了污染源，别急着毁了它——		2.0周年庆关卡内语音
		ch13.17.03.7	里芙	Play_Vo_dlc9act7_girl002b_06	4.173968		嗯……看来她又掉线了。		2.0周年庆关卡内语音
									
ch13.18.01		ch13.18.01.1	芬妮	Play_Vo_dlc9act8_girl008b_01	3.317302		这儿的环境……透着点古怪？		2.0周年庆关卡内语音
		ch13.18.01.2	里芙	Play_Vo_dlc9act8_girl002b_01	5.028435		幻觉。我们看见的可能不一定是真的。		2.0周年庆关卡内语音
		ch13.18.01.3	芬妮	Play_Vo_dlc9act8_girl008b_02	4.688889		算了吧，本小姐脑袋清醒着呢！		2.0周年庆关卡内语音
		ch13.18.01.4	里芙	Play_Vo_dlc9act8_girl002b_02	2.697256		不是脑袋，是眼睛。		2.0周年庆关卡内语音
		ch13.18.01.5	里芙	Play_Vo_dlc9act8_girl002b_03	4.430386		这座离岛在用看不见的东西……勾引我们！		2.0周年庆关卡内语音
									
ch13.18.02		ch13.18.02.1	芬妮	Play_Vo_dlc9act8_girl008b_03	4.451837		应该就在这附近了！得赶快把它挖出来！		2.0周年庆关卡内语音
		ch13.18.02.2	里芙	Play_Vo_dlc9act8_girl002b_04	4.764853		我们的身体应该已经免疫泰坦污染了，你在烦躁什么？		2.0周年庆关卡内语音
		ch13.18.02.3	芬妮	Play_Vo_dlc9act8_girl008b_04	6.526485		因为我不免疫它里面混着的另一半！		2.0周年庆关卡内语音
									
ch13.19.01		ch13.19.01.1	里芙	Play_Vo_dlc9act9_girl002b_01	2.00703		都已经蔓延到这里了吗……		2.0周年庆关卡内语音
		ch13.19.01.2	芬妮	Play_Vo_dlc9act9_girl008b_01	6.485057		一步慢，步步慢……哼，为了绊住我们，对面儿的还真是煞费苦心。		2.0周年庆关卡内语音
									
ch13.19.02		ch13.19.02.1	芬妮	Play_Vo_dlc9act9_girl008b_02	4.992064		这样就搞定了吧？不过这条路会通到什么地方呢。		2.0周年庆关卡内语音
									
ch13.19.03		ch13.19.03.1	里芙	Play_Vo_dlc9act9_girl002b_02	7.052313		这些机关很精巧，但越是精巧，设计它的初衷就越值得怀疑。		2.0周年庆关卡内语音
									
ch13.20.01		ch13.20.01.1	芬妮	Play_Vo_dlc9act10_girl008b_01	3.82059		居然敢戏弄本小姐！！		2.0周年庆关卡内语音
		ch13.20.01.2	芬妮	Play_Vo_dlc9act10_girl008b_02	6.819614		星期三，等抓住那女人之后，你不要插手！本小姐要……		2.0周年庆关卡内语音
		ch13.20.01.3	里芙	Play_Vo_dlc9act10_girl002b_01	5.095306		呵，说什么呢。我当然要插手。		2.0周年庆关卡内语音
		ch13.20.01.4	里芙	Play_Vo_dlc9act10_girl002b_02	5.828798		你和我，现在酝酿在心底里的情绪是一样的，狮子。		2.0周年庆关卡内语音
		ch13.20.01.5	里芙	Play_Vo_dlc9act10_girl002b_03	6.327415		那是让骨头都变得麻痒的……憎恨。		2.0周年庆关卡内语音
									
ch13.21.01		ch13.21.01.1	龙舌兰	Play_Vo_dlc9act11_mescal_01	4.458662		罗赞已经没有退路了，但我们的两名队员还在她手上。		2.0周年庆关卡内语音
		ch13.21.01.2	龙舌兰	Play_Vo_dlc9act11_mescal_02	5.285329		在你们二位把她从万丈高空上扔下去之前，记得确保咱们自己人的平安哦。		2.0周年庆关卡内语音
		ch13.21.01.3	芬妮	Play_Vo_dlc9act11_girl008b_01	4.365896		抱歉，本小姐现在没心情听这些。还有……		2.0周年庆关卡内语音
		ch13.21.01.4	芬妮	Play_Vo_dlc9act11_girl008b_02	3.579818		什么时候莱瓦汀和海姆达尔成了“自己人”了？		2.0周年庆关卡内语音
		ch13.21.01.5	里芙	Play_Vo_dlc9act11_girl002b_01	5.936054		想选边站是好事，但要站就得站清楚，龙舌兰。		2.0周年庆关卡内语音
		ch13.21.01.6	龙舌兰	Play_Vo_dlc9act11_mescal_03	2.583991		嗯嗯，受教受教。		2.0周年庆关卡内语音
		ch13.21.01.7	里芙	Play_Vo_dlc9act11_girl002b_02	1.350998		替我们开路吧。		2.0周年庆关卡内语音
									
ch13.22.01		ch13.22.01.1	里芙	Play_Vo_dlc9act12_girl002b_01	5.128821		驯服一尊神，还是被它吞噬，奴役……		2.0周年庆关卡内语音
		ch13.22.01.2	里芙	Play_Vo_dlc9act12_girl002b_02	6.897211		两者之间到底有多大的差别，你就用身体好好去感受一下吧。		2.0周年庆关卡内语音
		ch13.22.01.3	里芙	Play_Vo_dlc9act12_girl002b_03	1.493583		恶堕的伪物！		2.0周年庆关卡内语音
									
ch13.22.02		ch13.22.02.1	里芙	Play_Vo_dlc9act12_girl002b_04	7.879093		彻底舍弃人性了？创造你的人不是说会带给你们足以引领人类进化的新力量吗？		2.0周年庆关卡内语音
		ch13.22.02.2	里芙	Play_Vo_dlc9act12_girl002b_05	8.031111		骗子说，傻子信，疯子照办……真是无聊。		2.0周年庆关卡内语音
									
ch13.22.03		ch13.22.03.1	里芙	Play_Vo_dlc9act12_girl002b_06	11.99145		这个世界……本来就不需要神明。		2.0周年庆关卡内语音
									
									
sp03.01.01		sp03.01.01.1	伊格妮丝博士	Play_Vo_dlc10act1_girl004_01	3.399864		测试测试，通讯还正常吗？		2.1版本关卡内语音台词
		sp03.01.01.2	龙舌兰	Play_Vo_dlc10act1_girl018_01	5.943991		正常。以及，主展柜里面的钻石果然是赝品。		2.1版本关卡内语音台词
		sp03.01.01.3	伊格妮丝博士	Play_Vo_dlc10act1_girl004_02	3.664082		我猜，他们把宝贝藏到二楼了。		2.1版本关卡内语音台词
		sp03.01.01.4	伊格妮丝博士	Play_Vo_dlc10act1_girl004_03	3.44839		注意周围的那些控制器，解决掉它们吧。		2.1版本关卡内语音台词
									
sp03.01.02		sp03.01.02.1	龙舌兰	Play_Vo_dlc10act1_girl018_02	6.947982		一个人都没有，看来他们很信任这些装置和机器人嘛。		2.1版本关卡内语音台词
		sp03.01.02.2	龙舌兰	Play_Vo_dlc10act1_girl018_03	5.44		只可惜，都是些经看不经用的玩意。		2.1版本关卡内语音台词
									
sp03.01.03		sp03.01.03.1	龙舌兰	Play_Vo_dlc10act1_girl018_04	3.821995		嚯……真是夸张。		2.1版本关卡内语音台词
		sp03.01.03.2	伊格妮丝博士	Play_Vo_dlc10act1_girl004_04	4.440816		不过，他们还是改不了把控制器放在外面的坏习惯。		2.1版本关卡内语音台词
									
sp03.01.04		sp03.01.04.1	龙舌兰	Play_Vo_dlc10act1_girl018_05	4.330657		噢——原来藏在这种地方。		2.1版本关卡内语音台词
									
sp03.01.05		sp03.01.05.1	龙舌兰	Play_Vo_dlc10act1_girl018_06	5.365329		哼哼，天空之泪，就由我们收下了。		2.1版本关卡内语音台词
									
sp03.02.01		sp03.02.01.1	伊格妮丝博士	Play_Vo_dlc10act2_girl004_01	3.24068		我帮你们打开了紧急通道，快走吧！		2.1版本关卡内语音台词
		sp03.02.01.2	龙舌兰	Play_Vo_dlc10act2_girl018_01	3.378662		真靠谱呀，博士。		2.1版本关卡内语音台词
		sp03.02.01.3	龙舌兰	Play_Vo_dlc10act2_girl018_02	2.687324		骑士大人，我们走吧。		2.1版本关卡内语音台词
									
sp03.02.02		sp03.02.02.1	龙舌兰	Play_Vo_dlc10act2_girl018_03	5.386667		骑士大人，待会出去了，去看电影怎么样？		2.1版本关卡内语音台词
		sp03.02.02.2	龙舌兰	Play_Vo_dlc10act2_girl018_04	6.496009		听说那部大火的爱情片，看了的人都哭得稀里哗啦……		2.1版本关卡内语音台词
		sp03.02.02.3	龙舌兰	Play_Vo_dlc10act2_girl018_05	7.103991		哎？你不想看？那也别这副表情嘛……		2.1版本关卡内语音台词
									
sp03.02.03		sp03.02.03.1	警卫	Play_Vo_dlc10act3_gurad_01	1.850658		抓到他们了！		2.1版本关卡内语音台词
		sp03.02.03.2	龙舌兰	Play_Vo_dlc10act2_girl018_06	6.458662		唉……果然到最后，还是要用暴力吗？		2.1版本关卡内语音台词
		sp03.02.03.3	龙舌兰	Play_Vo_dlc10act2_girl018_07	5.109343		你觉得，他们能撑多久？		2.1版本关卡内语音台词
									
sp03.03.01		sp03.03.01.1	通讯器	Play_Story_Link1	0		嘀嘀嘀……		2.1版本关卡内语音台词
		sp03.03.01.2	长乐郡主	Play_Vo_dlc10act3_girl014_01	1.317324		何事？		2.1版本关卡内语音台词
		sp03.03.01.3	朔州侍从	Play_Vo_dlc10act3_servant_01	5.336009		郡主大人！你怎么又自作主张跑到外面去了？！		2.1版本关卡内语音台词
		sp03.03.01.4	长乐郡主	Play_Vo_dlc10act3_girl014_02	4.274671		我朔州代表团受困，长乐自然不能袖手旁观。		2.1版本关卡内语音台词
		sp03.03.01.5	长乐郡主	Play_Vo_dlc10act3_girl014_03	4.428957		正好借这飞行器，让这些宵小感受到……		2.1版本关卡内语音台词
		sp03.03.01.6	龙舌兰	Play_Vo_dlc10act3_girl018_01	3.503991		（继续，继续，你该不会忘词了吧？）		2.1版本关卡内语音台词
		sp03.03.01.7	长乐郡主	Play_Vo_dlc10act3_girl014_04	7.941338		……感受到，朔州的天恩浩荡！唉……		2.1版本关卡内语音台词
		sp03.03.01.8	龙舌兰	Play_Vo_dlc10act3_girl018_02	5.653333		（很好，音频组，记得把最后的叹气剪掉！）		2.1版本关卡内语音台词
									
sp03.03.02		sp03.03.02.1	长乐郡主	Play_Vo_dlc10act3_girl014_05	6.557324		如此，敌人大部尽灭，夜魇骑士阁下突入其中也容易得多。		2.1版本关卡内语音台词
		sp03.03.02.2	龙舌兰	Play_Vo_dlc10act3_girl018_03	4.24		咔！演员复位，我们再来一遍！		2.1版本关卡内语音台词
		sp03.03.02.3	辰星	Play_Vo_dlc10act3_girl014_06	2.331995		……还要再来一遍？		2.1版本关卡内语音台词
									
sp03.04.01		sp03.04.01.1	龙舌兰	Play_Vo_dlc10act4_girl018_01	3.893333		长乐小姐说，她在酒店周围发现了不少炸弹。		2.1版本关卡内语音台词
		sp03.04.01.2	龙舌兰	Play_Vo_dlc10act4_girl018_02	3.861338		趁着她在前方吸引注意，我们就先处理炸弹……		2.1版本关卡内语音台词
		sp03.04.01.3	辰星	Play_Vo_dlc10act4_girl014_01	6.191996		（演员，注意用词，这段台词应该是“拆除”而不是“处理”。）		2.1版本关卡内语音台词
		sp03.04.01.4	龙舌兰	Play_Vo_dlc10act4_girl018_03	4.383991		……收到，导演。		2.1版本关卡内语音台词
									
sp03.04.02		sp03.04.02.1	龙舌兰	Play_Vo_dlc10act4_girl018_04	3.550794		他们到底在这里安了多少炸弹？！		2.1版本关卡内语音台词
		sp03.04.02.2	辰星	Play_Vo_dlc10act4_girl014_02	4.256009		（演员，加快速度，要表现出拆弹的紧迫感。）		2.1版本关卡内语音台词
		sp03.04.02.3	辰星	Play_Vo_dlc10act4_girl014_03	2.858662		（如果不行，就重来。）		2.1版本关卡内语音台词
		sp03.04.02.4	龙舌兰	Play_Vo_dlc10act4_girl018_05	3.616009		这女人……这么记仇吗！		2.1版本关卡内语音台词
									
sp03.04.03		sp03.04.03.1	龙舌兰	Play_Vo_dlc10act4_girl018_06	5.941338		呼……呼，总算是最后一个了。		2.1版本关卡内语音台词
		sp03.04.03.2	龙舌兰	Play_Vo_dlc10act4_girl018_07	5.800952		我下次，一定不会把道具放得这么分散……		2.1版本关卡内语音台词
									
sp03.05.01		sp03.05.01.1	龙舌兰	Play_Vo_dlc10act5_girl018_01	4.042676		骑士大人……唔！		2.1版本关卡内语音台词
									
sp03.05.03		sp03.05.01.2	龙舌兰	Play_Vo_dlc10act5_girl018_02	9.349342		……没事的。还有，你摸错了，我受伤的是左手。		2.1版本关卡内语音台词
		sp03.05.01.3	龙舌兰	Play_Vo_dlc10act5_girl018_03	4.673628		比起这个，我们必须尽快离开这里……		2.1版本关卡内语音台词
									
sp03.05.02		sp03.05.02.1	龙舌兰	Play_Vo_dlc10act5_girl018_04	5.637324		如果伊格妮丝在的话，就能立刻解决掉这些机关了。		2.1版本关卡内语音台词
		sp03.05.02.2	龙舌兰	Play_Vo_dlc10act5_girl018_05	5.253334		长乐应该也比我更适合这样的突发状况……		2.1版本关卡内语音台词
		sp03.05.02.3	龙舌兰	Play_Vo_dlc10act5_girl018_06	4.720907		……抱歉，我不该在这种时候说这些。		2.1版本关卡内语音台词
		sp03.05.02.4	龙舌兰	Play_Vo_dlc10act5_girl018_07	4.793764		我一定会带你出去的，骑士大人！		2.1版本关卡内语音台词
									
sp03.06.01		sp03.06.01.1	龙舌兰	Play_Vo_dlc10act6_girl018_01	4.783991		升降梯……看来上面还有不少敌人。		2.1版本关卡内语音台词
		sp03.06.01.2	龙舌兰	Play_Vo_dlc10act6_girl018_02	4.996485		希望他们，没有在升降梯上打架的坏习惯！		2.1版本关卡内语音台词
									
sp03.06.02		sp03.06.02.1	龙舌兰	Play_Vo_dlc10act6_girl018_03	4.758141		在这种地方，刚好有一挺弹药充足的机枪？		2.1版本关卡内语音台词
		sp03.06.02.2	伊格妮丝博士	Play_Vo_dlc10act6_girl004_01	2.156372		终于……联系……你们了！		2.1版本关卡内语音台词
		sp03.06.02.3	龙舌兰	Play_Vo_dlc10act6_girl018_04	1.451927		伊格妮丝？！		2.1版本关卡内语音台词
		sp03.06.02.4	伊格妮丝博士	Play_Vo_dlc10act6_girl004_02	2.144308		我……长乐……空投……机枪……！		2.1版本关卡内语音台词
		sp03.06.02.5	龙舌兰	Play_Vo_dlc10act6_girl018_05	4.154671		我明白了，我们解决完敌人就去和你们会合！		2.1版本关卡内语音台词
									
sp03.06.03		sp03.06.03.1	龙舌兰	Play_Vo_dlc10act6_girl018_06	4.64		没有路了……		2.1版本关卡内语音台词
		sp03.06.03.2	龙舌兰	Play_Vo_dlc10act6_girl018_07	5.666667		骑士大人，你跳，我也会跳的！		2.1版本关卡内语音台词
									
sp03.07.01		sp03.07.01.1	伊格妮丝博士	Play_Vo_dlc10act7_girl004_01	3.12449		这里就是敌人的老巢吗？		2.1版本关卡内语音台词
		sp03.07.01.2	长乐郡主	Play_Vo_dlc10act7_girl014_01	5.029342		幽暗，阴湿，的确是他们的作风。		2.1版本关卡内语音台词
		sp03.07.01.3	长乐郡主	Play_Vo_dlc10act7_girl014_02	2.728004		龙舌兰，你在想什么？		2.1版本关卡内语音台词
		sp03.07.01.4	龙舌兰	Play_Vo_dlc10act7_girl018_01	6.32864		不……总感觉，这地方似曾相识……		2.1版本关卡内语音台词
									
sp03.07.02		sp03.07.02.1	伊格妮丝博士	Play_Vo_dlc10act7_girl004_02	2.646984		呜哇！根本打不到那东西！		2.1版本关卡内语音台词
		sp03.07.02.2	长乐郡主	Play_Vo_dlc10act7_girl014_03	1.92		难怪它会被称为“幽影”……		2.1版本关卡内语音台词
		sp03.07.02.3	龙舌兰	Play_Vo_dlc10act7_girl018_02	5.853991		那就来看看，“幽影”和“夜魇”谁更胜一筹吧！		2.1版本关卡内语音台词
		sp03.07.02.4	龙舌兰	Play_Vo_dlc10act7_girl018_03	4.341338		骑士大人，我们会掩护你进去，请一定要……		2.1版本关卡内语音台词
		sp03.07.02.5	全员	Play_Vo_dlc10act7_all_01	1.152721		结束这一切！		2.1版本关卡内语音台词
									
sp03.08.01		sp03.08.01.1	芙提雅	Play_Vo_dlc10act8_girl004_01	4.558617		它这是……占据了那个人偶的身体？！		2.1版本关卡内语音台词
		sp03.08.01.2	辰星	Play_Vo_dlc10act8_girl014_01	3.445329		果然，它和别的真神室女有所不同。		2.1版本关卡内语音台词
		sp03.08.01.3	龙舌兰	Play_Vo_dlc10act8_girl018_01	6.509887		真是这样的话，计划这场大戏倒也不算太亏！		2.1版本关卡内语音台词
									
									
DLC11MACT1.1		DLC11MACT1.1.1	小机器人	Play_Vo_dlc11act1_robot_01	3.285805		此路不通——此路不通——		2.2版本关卡内语音台词
		DLC11MACT1.1.2	小机器人	Play_Vo_dlc11act1_robot_02	1.626054		唔哇哇哇哇——		2.2版本关卡内语音台词
		DLC11MACT1.1.3	茉莉安	Play_Vo_dlc11act1_girl005_01	3.751088		这些机关，好像不太能分得清敌我……		2.2版本关卡内语音台词
									
DLC11MACT1.2		DLC11MACT1.2.1	茉莉安	Play_Vo_dlc11act1_girl005_02	5.50551		安全过关，不过还不能掉以轻心。		2.2版本关卡内语音台词
		DLC11MACT1.2.2	茉莉安	Play_Vo_dlc11act1_girl005_03	2.97356		接下来的滚石，会从正面袭来。		2.2版本关卡内语音台词
									
DLC11MACT1.3		DLC11MACT1.3.1	茉莉安	Play_Vo_dlc11act1_girl005_04	3.299864		呵呵呵，分析员，听到了吗？		2.2版本关卡内语音台词
		DLC11MACT1.3.2	茉莉安	Play_Vo_dlc11act1_girl005_05	4.275079		那些小家伙被压碎时会发出咔咔咔的响声……		2.2版本关卡内语音台词
		DLC11MACT1.3.3	安卡希雅	Play_Vo_dlc11act1_girl001_01	3.640023		咳咳，茉莉安选手，比赛时不要说怪话。		2.2版本关卡内语音台词
									
DLC11MACT1.4		DLC11MACT1.4.1	茉莉安	Play_Vo_dlc11act1_girl005_06	2.498685		前面就是最后一条赛道了。		2.2版本关卡内语音台词
		DLC11MACT1.4.2	茉莉安	Play_Vo_dlc11act1_girl005_07	2.305828		“到目前为止都很完美”？		2.2版本关卡内语音台词
		DLC11MACT1.4.3	茉莉安	Play_Vo_dlc11act1_girl005_08	4.353651		呵呵呵呵，那是因为我有必胜的决心嘛。		2.2版本关卡内语音台词
									
DLC11MACT1.5		DLC11MACT1.5.1	茉莉安	Play_Vo_dlc11act1_girl005_09	2.49424		分析员，要开始冲刺了。		2.2版本关卡内语音台词
									
DLC11MACT1.6		DLC11MACT1.6.1	茉莉安	Play_Vo_dlc11act1_girl005_10	3.455941		安卡希雅说的礼盒就在前面的平台上。		2.2版本关卡内语音台词
		DLC11MACT1.6.2	茉莉安	Play_Vo_dlc11act1_girl005_11	2.318367		利用踏板脱离赛道吧。		2.2版本关卡内语音台词
									
DLC11MACT2.1		DLC11MACT2.1.1	辰星	Play_Vo_dlc11act2_girl014_01	3.54712		穿着泳装，和分析员独处……		2.2版本关卡内语音台词
		DLC11MACT2.1.2	小机器人	Play_Vo_dlc11act2_robot_01	2.040726		打劫——打劫——		2.2版本关卡内语音台词
		DLC11MACT2.1.3	辰星	Play_Vo_dlc11act2_girl014_02	2.350567		哎？已经开始了吗？！		2.2版本关卡内语音台词
									
DLC11MACT2.2		DLC11MACT2.2.1	辰星	Play_Vo_dlc11act2_girl014_03	2.555374		抱歉，刚刚有些走神了……		2.2版本关卡内语音台词
		DLC11MACT2.2.2	辰星	Play_Vo_dlc11act2_girl014_04	2.580385		前方的障碍，还是交由我来处理吧。		2.2版本关卡内语音台词
									
DLC11MACT2.3		DLC11MACT2.3.1	安卡希雅	Play_Vo_dlc11act2_girl001_01	3.49644		让敌人变得湿漉漉的高射速水枪已部署完毕。		2.2版本关卡内语音台词
		DLC11MACT2.3.2	辰星	Play_Vo_dlc11act2_girl014_05	2.433877		……请不要用那么暧昧的形容词。		2.2版本关卡内语音台词
		DLC11MACT2.3.3	安卡希雅	Play_Vo_dlc11act2_girl001_02	3.982086		如果辰星愿意，也可以用它们把分析员变得湿漉漉的。		2.2版本关卡内语音台词
		DLC11MACT2.3.4	辰星	Play_Vo_dlc11act2_girl014_06	2.06678		我才不想那么做！		2.2版本关卡内语音台词
		DLC11MACT2.3.5	辰星	Play_Vo_dlc11act2_girl014_07	2.934716		……至少现在不想。		2.2版本关卡内语音台词
									
DLC11MACT2.4		DLC11MACT2.4.1	小机器人	Play_Vo_dlc11act2_robot_02	3.443832		场地湿滑——场地湿滑——		2.2版本关卡内语音台词
		DLC11MACT2.4.2	辰星	Play_Vo_dlc11act2_girl014_08	6.956236		浑身都已经湿透了，如果继续迎着光向前跑的话……		2.2版本关卡内语音台词
		DLC11MACT2.4.3	辰星	Play_Vo_dlc11act2_girl014_09	3.122018		分析员，你在看吗……		2.2版本关卡内语音台词
									
DLC11MACT3.1		DLC11MACT3.1.1	琴诺	Play_Vo_dlc11act3_girl007_01	2.605782		分析员，要开始了……		2.2版本关卡内语音台词
		DLC11MACT3.1.2	莫尔索	Play_Vo_dlc11act3_meursault_01	3.077936		喂，琴诺，我们分开锁定敌人吧。		2.2版本关卡内语音台词
		DLC11MACT3.1.3	莫尔索	Play_Vo_dlc11act3_meursault_02	3.854104		我用左眼锁定大一点的，琴诺用右眼锁定小一点的。		2.2版本关卡内语音台词
		DLC11MACT3.1.4	琴诺	Play_Vo_dlc11act3_girl007_02	2.746417		这……这样真的可以吗……		2.2版本关卡内语音台词
									
DLC11MACT3.2		DLC11MACT3.2.1	琴诺	Play_Vo_dlc11act3_girl007_03	4.077959		呜……头……头晕晕的……		2.2版本关卡内语音台词
									
DLC11MACT3.3		DLC11MACT3.3.1	琴诺	Play_Vo_dlc11act3_girl007_04	1.848345		敌人种类增加了……		2.2版本关卡内语音台词
		DLC11MACT3.3.2	莫尔索	Play_Vo_dlc11act3_meursault_03	3.662109		哎？分析员你问“第三人格在哪”？		2.2版本关卡内语音台词
		DLC11MACT3.3.3	莫尔索	Play_Vo_dlc11act3_meursault_04	1.842585		没有那种东西吧……		2.2版本关卡内语音台词
		DLC11MACT3.3.4	琴诺	Play_Vo_dlc11act3_girl007_05	2.219274		要锁定不过来了……		2.2版本关卡内语音台词
									
DLC11MACT3.4		DLC11MACT3.4.1	琴诺	Play_Vo_dlc11act3_girl007_06	5.617211		哎嘿嘿嘿……我好像……好像一点都不晕了。		2.2版本关卡内语音台词
		DLC11MACT3.4.2	琴诺	Play_Vo_dlc11act3_girl007_07	4.84653		但是……为什么会有好多个分析员在眼前……		2.2版本关卡内语音台词
									
DLC11MACT3.5		DLC11MACT3.5.1	莫尔索	Play_Vo_dlc11act3_meursault_05	2.571315		啧，礼盒被圈起来了……		2.2版本关卡内语音台词
		DLC11MACT3.5.2	琴诺	Play_Vo_dlc11act3_girl007_08	2.840658		分析员，前面好像有声响……		2.2版本关卡内语音台词
		DLC11MACT3.5.3	莫尔索	Play_Vo_dlc11act3_meursault_06	1.3578		要不要上桥看看？		2.2版本关卡内语音台词
									
DLC11MACT3.6		DLC11MACT3.6.1	小机器人	Play_Vo_dlc11act3_robot_01	3.334671		抢走礼盒——抢走礼盒——		2.2版本关卡内语音台词
		DLC11MACT3.6.2	莫尔索	Play_Vo_dlc11act3_meursault_07	2.015964		啧，从门里出来了……		2.2版本关卡内语音台词
		DLC11MACT3.6.3	莫尔索	Play_Vo_dlc11act3_meursault_08	2.679887		放心，不会让它们靠近礼盒的。		2.2版本关卡内语音台词
		DLC11MACT3.6.4	琴诺	Play_Vo_dlc11act3_girl007_09	2.603197		琴，琴诺也会努力的……		2.2版本关卡内语音台词
		DLC11MACT3.6.5	琴诺	Play_Vo_dlc11act3_girl007_10	3.032041		光阴……即刻——		2.2版本关卡内语音台词
		DLC11MACT3.6.6	莫尔索	Play_Vo_dlc11act3_meursault_09	3.142834		等等，琴诺！要攻击相同类型的敌人！		2.2版本关卡内语音台词
									
DLC11MACT4.1		DLC11MACT4.1.1	恩雅	Play_Vo_dlc11act4_girl011_01	4.632721		嗯……台子上小球就是我们的目标吗？		2.2版本关卡内语音台词
		DLC11MACT4.1.2	恩雅	Play_Vo_dlc11act4_girl011_02	2.195397		分析员要瞄准点再射哦。		2.2版本关卡内语音台词
									
DLC11MACT4.2		DLC11MACT4.2.1	小机器人	Play_Vo_dlc11act4_robot_01	2.009365		我们的——我们的——		2.2版本关卡内语音台词
