	注释	血量	攻击	防御	耐力上限		暴击率（突破）	暴击加成（突破）	技能强度增幅	能量获取效率（突破）	指挥值(%)（突破）	血量百分比（突破）	技巧百分比	防御百分比（突破）			破盾加成（突破）
10112	祖灵-艾丽娅	{{1,101},{2,188},{3,277},{4,366},{5,457},{6,548},{7,640},{8,733},{9,827},{10,922},{11,1018},{12,1115},{13,1213},{14,1312},{15,1412},{16,1512}}	{{1,7},{2,14},{3,20},{4,27},{5,33},{6,40},{7,47},{8,54},{9,61},{10,68},{11,75},{12,82},{13,89},{14,96},{15,104},{16,111}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10113	沙叶-阿什叶		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,22},{8,25},{9,28},{10,31},{11,34},{12,38},{13,41},{14,44},{15,48},{16,51}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10114	沙叶-娜姆	{{1,99},{2,185},{3,272},{4,360},{5,449},{6,538},{7,629},{8,721},{9,813},{10,907},{11,1001},{12,1096},{13,1192},{14,1290},{15,1388},{16,1487}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,22},{8,25},{9,28},{10,31},{11,34},{12,38},{13,41},{14,44},{15,48},{16,51}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10115	沙叶-帕斯特	{{1,99},{2,185},{3,272},{4,360},{5,449},{6,538},{7,629},{8,721},{9,813},{10,907},{11,1001},{12,1096},{13,1192},{14,1290},{15,1388},{16,1487}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10116	金甲-菈普克		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10117	金甲-莫尔德莉	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,637},{8,730},{9,824},{10,919},{11,1014},{12,1111},{13,1208},{14,1307},{15,1406},{16,1506}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10118	金甲-艾巴赫	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,637},{8,730},{9,824},{10,919},{11,1014},{12,1111},{13,1208},{14,1307},{15,1406},{16,1506}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10119	星朗-朵薇尔		{{1,7},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,60},{11,66},{12,72},{13,78},{14,85},{15,91},{16,98}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10120	星朗-爱莉薇娅	{{1,100},{2,186},{3,274},{4,362},{5,452},{6,542},{7,633},{8,726},{9,819},{10,913},{11,1008},{12,1104},{13,1201},{14,1298},{15,1397},{16,1497}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10121	星朗-妲柯丝	{{1,100},{2,186},{3,274},{4,362},{5,452},{6,542},{7,633},{8,726},{9,819},{10,913},{11,1008},{12,1104},{13,1201},{14,1298},{15,1397},{16,1497}}	{{1,7},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,60},{11,66},{12,72},{13,78},{14,85},{15,91},{16,98}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10122	清乐-桫椤		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,49},{9,56},{10,62},{11,68},{12,75},{13,82},{14,88},{15,95},{16,102}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10123	清乐-白桦	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,637},{8,730},{9,824},{10,918},{11,1014},{12,1111},{13,1208},{14,1306},{15,1406},{16,1506}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10124	清乐-棕榈	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,637},{8,730},{9,824},{10,918},{11,1014},{12,1111},{13,1208},{14,1306},{15,1406},{16,1506}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,49},{9,56},{10,62},{11,68},{12,75},{13,82},{14,88},{15,95},{16,102}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10125	掠影-弗栗多		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,44},{8,50},{9,57},{10,63},{11,70},{12,76},{13,83},{14,90},{15,96},{16,103}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10126	掠影-伐楼妮	{{1,101},{2,188},{3,277},{4,366},{5,456},{6,548},{7,640},{8,733},{9,827},{10,922},{11,1018},{12,1115},{13,1213},{14,1312},{15,1411},{16,1512}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10127	掠影-因陀罗	{{1,101},{2,188},{3,277},{4,366},{5,456},{6,548},{7,640},{8,733},{9,827},{10,922},{11,1018},{12,1115},{13,1213},{14,1312},{15,1411},{16,1512}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,44},{8,50},{9,57},{10,63},{11,70},{12,76},{13,83},{14,90},{15,96},{16,103}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10128	钢羽-布莱莉卡		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,66},{12,73},{13,79},{14,85},{15,92},{16,98}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10129	钢羽-蕾拉	{{1,99},{2,186},{3,273},{4,361},{5,450},{6,540},{7,631},{8,723},{9,816},{10,910},{11,1005},{12,1100},{13,1197},{14,1294},{15,1393},{16,1492}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10130	钢羽-普尔法	{{1,99},{2,186},{3,273},{4,361},{5,450},{6,540},{7,631},{8,723},{9,816},{10,910},{11,1005},{12,1100},{13,1197},{14,1294},{15,1393},{16,1492}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,66},{12,73},{13,79},{14,85},{15,92},{16,98}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10131	射影-玛莉妮		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,66},{12,72},{13,79},{14,85},{15,92},{16,98}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,40},{14,43},{15,46},{16,49}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10132	射影-贝莎	{{1,100},{2,186},{3,273},{4,361},{5,451},{6,541},{7,632},{8,724},{9,816},{10,910},{11,1005},{12,1101},{13,1197},{14,1295},{15,1393},{16,1493}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,40},{14,43},{15,46},{16,49}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10133	射影-埃拉托	{{1,100},{2,186},{3,273},{4,361},{5,451},{6,541},{7,632},{8,724},{9,816},{10,910},{11,1005},{12,1101},{13,1197},{14,1295},{15,1393},{16,1493}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,66},{12,72},{13,79},{14,85},{15,92},{16,98}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10134	超视-狄瓦丝		{{1,7},{2,13},{3,18},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,28},{10,31},{11,34},{12,37},{13,40},{14,44},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10135	超视-奥莎娜	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,730},{9,824},{10,919},{11,1014},{12,1111},{13,1208},{14,1307},{15,1406},{16,1506}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,28},{10,31},{11,34},{12,37},{13,40},{14,44},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10136	超视-天厨一	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,730},{9,824},{10,919},{11,1014},{12,1111},{13,1208},{14,1307},{15,1406},{16,1506}}	{{1,7},{2,13},{3,18},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10137	泽虹-西格丽达		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,49},{9,56},{10,62},{11,69},{12,75},{13,82},{14,88},{15,95},{16,102}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,44},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10138	泽虹-莉尼	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,545},{7,637},{8,730},{9,823},{10,918},{11,1013},{12,1110},{13,1207},{14,1306},{15,1405},{16,1505}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,44},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10139	泽虹-缔罗尔	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,545},{7,637},{8,730},{9,823},{10,918},{11,1013},{12,1110},{13,1207},{14,1306},{15,1405},{16,1505}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,49},{9,56},{10,62},{11,69},{12,75},{13,82},{14,88},{15,95},{16,102}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10140	新桃-温然		{{1,7},{2,13},{3,19},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10141	新桃-铃焰	{{1,100},{2,187},{3,275},{4,364},{5,453},{6,544},{7,636},{8,728},{9,822},{10,916},{11,1011},{12,1108},{13,1205},{14,1303},{15,1402},{16,1502}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10142	新桃-玉茗	{{1,100},{2,187},{3,275},{4,364},{5,453},{6,544},{7,636},{8,728},{9,822},{10,916},{11,1011},{12,1108},{13,1205},{14,1303},{15,1402},{16,1502}}	{{1,7},{2,13},{3,19},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10143	闻风-乌贝尔		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10144	闻风-伊瑟瑞斯	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10145	闻风-谢菲尔	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10146	微光-猫柳		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10147	微光-秋晴	{{1,100},{2,187},{3,274},{4,363},{5,453},{6,543},{7,634},{8,727},{9,820},{10,914},{11,1009},{12,1106},{13,1203},{14,1301},{15,1399},{16,1499}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10148	微光-长天	{{1,100},{2,187},{3,274},{4,363},{5,453},{6,543},{7,634},{8,727},{9,820},{10,914},{11,1009},{12,1106},{13,1203},{14,1301},{15,1399},{16,1499}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10149	希德-瑞特兰		{{1,6},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,66},{12,72},{13,78},{14,84},{15,91},{16,97}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,39},{14,43},{15,46},{16,49}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10150	希德-乌布	{{1,99},{2,185},{3,273},{4,361},{5,449},{6,539},{7,630},{8,722},{9,815},{10,908},{11,1003},{12,1098},{13,1194},{14,1292},{15,1390},{16,1489}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,39},{14,43},{15,46},{16,49}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10151	希德-伊斯莫	{{1,99},{2,185},{3,273},{4,361},{5,449},{6,539},{7,630},{8,722},{9,815},{10,908},{11,1003},{12,1098},{13,1194},{14,1292},{15,1390},{16,1489}}	{{1,6},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,66},{12,72},{13,78},{14,84},{15,91},{16,97}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10152	花楸-白三叶		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10153	花楸-卡尔哈雅	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10154	花楸-柯尔希	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10155	星夜-南希		{{1,6},{2,12},{3,17},{4,23},{5,28},{6,34},{7,40},{8,45},{9,51},{10,57},{11,63},{12,69},{13,75},{14,81},{15,87},{16,93}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10156	星夜-梅尔塞蒂	{{1,98},{2,184},{3,270},{4,357},{5,446},{6,535},{7,625},{8,716},{9,808},{10,900},{11,994},{12,1089},{13,1184},{14,1281},{15,1378},{16,1476}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10157	星夜-彗音	{{1,98},{2,184},{3,270},{4,357},{5,446},{6,535},{7,625},{8,716},{9,808},{10,900},{11,994},{12,1089},{13,1184},{14,1281},{15,1378},{16,1476}}	{{1,6},{2,12},{3,17},{4,23},{5,28},{6,34},{7,40},{8,45},{9,51},{10,57},{11,63},{12,69},{13,75},{14,81},{15,87},{16,93}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10158	映现-梅莉桑德		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,38},{7,44},{8,50},{9,57},{10,63},{11,70},{12,77},{13,83},{14,90},{15,97},{16,104}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10159	映现-尤拉莉雅	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,545},{7,636},{8,729},{9,822},{10,917},{11,1012},{12,1109},{13,1206},{14,1304},{15,1403},{16,1504}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10160	映现-奥德涅	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,545},{7,636},{8,729},{9,822},{10,917},{11,1012},{12,1109},{13,1206},{14,1304},{15,1403},{16,1504}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,38},{7,44},{8,50},{9,57},{10,63},{11,70},{12,77},{13,83},{14,90},{15,97},{16,104}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10161	秘源-席拉		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,49},{9,56},{10,62},{11,69},{12,75},{13,82},{14,88},{15,95},{16,102}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,28},{10,31},{11,34},{12,37},{13,41},{14,44},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10162	秘源-艾欧妮	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,544},{7,636},{8,729},{9,822},{10,917},{11,1012},{12,1108},{13,1206},{14,1304},{15,1403},{16,1503}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,28},{10,31},{11,34},{12,37},{13,41},{14,44},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10163	秘源-卡诺莎	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,544},{7,636},{8,729},{9,822},{10,917},{11,1012},{12,1108},{13,1206},{14,1304},{15,1403},{16,1503}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,49},{9,56},{10,62},{11,69},{12,75},{13,82},{14,88},{15,95},{16,102}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
