id	注释	试用角色位置1	试用角色位置2	试用角色位置3	阵容位置开关	自身角色池开关（如果要让玩家使用试用角色的所对应自己购买的皮肤，在试用角色ID后增加对应角色的GDPL）	自动上阵	试用上限	可用武器类型	不可用武器类型	禁用角色		
11713	DLC34主线-Act3	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11714	DLC34主线-Act4	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11715	DLC34主线-Act5	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11716	DLC34主线-Act6	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11717	DLC34主线-Act7		{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11718	DLC34主线-Act8-BOSS	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
													
11721	DLC35主线-Act1	{101122}	{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11722	DLC35主线-Act2	{101122}	{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11723	DLC35主线-Act3	{101122}	{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11724	DLC35主线-Act4	{101122}	{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11725	DLC35主线-Act5		{101125,{1,1,1,1}}		{0,1,0}	{0,0,0}	{0,1,0}	3					
11726	DLC35主线-Act6		{101122,{1,5,3,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11727	DLC35主线-Act7		{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11728	DLC35主线-Act8		{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11729	DLC35主线-Act9	{101126}	{101123,{1,1,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					

11771	DLC36主线-Act1		{101127,{1,24,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1
11772	DLC36主线-Act2		{101127,{1,24,1,1}}	{101128,{1,4,3,1}}	{1,1,1}	{1,0,1}	{0,1,1}	2
11773	DLC36主线-Act3		{101127,{1,24,1,1}}	{101128,{1,4,3,1}}	{1,1,1}	{1,0,1}	{0,1,1}	2
11774	DLC36主线-Act4		{101128,{1,4,3,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1
11775	DLC36主线-Act5		{101128,{1,4,3,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1
11776	DLC36主线-Act6		{101128,{1,4,3,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1
11777	DLC36主线-Act7		{101123,{1,1,3,1}}	{101126,{1,5,4,1}}	{1,1,1}	{1,1,1}	{0,1,1}	2
11778	DLC36主线-Act8		{101127,{1,24,1,1}}	{101128,{1,4,3,1}}	{1,1,1}	{1,0,1}	{0,1,1}	2

11851	DLC37主线-Act1	{101097}	{101130}		{1,1,1}	{1,0,1}	{1,1,0}	2			
11852	DLC37主线-Act2	{101127}	{101130}		{1,1,1}	{1,0,1}	{1,1,0}	2			
11853	DLC37主线-Act3	{101097}	{101130}		{1,1,1}	{1,0,1}	{1,1,0}	2			
11854	DLC37主线-Act4	{101097}	{101130}		{1,1,1}	{1,0,1}	{1,1,0}	2			
11855	DLC37主线-Act5		{101130}		{1,1,1}	{1,0,1}	{0,1,0}	3			
11856	DLC37主线-Act6	{101097}	{101130}		{1,1,1}	{1,0,1}	{0,1,0}	1			
11857	DLC37主线-Act7	{101097}	{101130}		{1,1,1}	{1,0,1}	{0,1,0}	1			
11858	DLC37主线-Act8		{101097}		{1,1,1}	{1,0,1}	{0,1,0}	1			
11859	DLC37主线-Act9	{101097}	{101130}		{1,1,1}	{1,0,1}	{1,1,0}	2			
