template表中Param1字段	道具获取方式（Fix 固定;Random n随1、n随m;Prob 分别看概率获取 ;Select n选1、n选m）	道具GDPLN	随机时的权重，注定不随机的箱子可以为空	分组(随机时同index、同group一起随）	推荐兑换角标（1=推荐，0或不配不显示，只有道具获取方式为Select的BOX需要配置）	//备注
804	Fix	{5,9,1,2,117}				光纤轴突*117
804	Fix	{4,3,1,1,200000}				通用银*200000
						
805	Fix	{4,3,2,1,320}				数据金*320
805	Fix	{5,6,1,2,2}				重修申请*2
						
806	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
806	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
807	Fix	{4,3,2,1,1300}				数据金*1300
807	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
807	Fix	{5,21,2,5,10}				武器定制合约*10
807	Fix	{5,1,1,4,5}				精英战斗记录*5
807	Fix	{5,2,1,4,5}				珍稀强化套件*5
807	Fix	{5,9,1,3,2}				量子胞体*2
807	Fix	{5,5,1,4,2}				碳原子板*2
						
808	Fix	{4,3,2,1,660}				数据金*660
808	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
808	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
808	Fix	{4,3,1,1,50000}				通用银*50000
						
809	Fix	{4,3,2,1,660}				数据金*660
809	Fix	{5,21,2,5,10}				武器定制合约*10
809	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
809	Fix	{4,3,1,1,50000}				通用银*50000
						
810	Fix	{4,3,2,1,1000}				数据金*1000
810	Fix	{5,9,1,2,10}				光纤轴突*10
810	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
810	Fix	{4,3,1,1,100000}				通用银*100000
						
811	Fix	{4,3,2,1,680}				数据金*680
811	Fix	{5,9,1,3,2}				量子胞体*2
811	Fix	{4,3,1,1,300000}				通用银*300000
						
812	Fix	{4,3,2,1,380}				数据金*380
812	Fix	{5,1,1,4,8}				精英战斗记录*8
812	Fix	{4,3,1,1,100000}				通用银*100000
						
813	Fix	{4,3,2,1,380}				数据金*380
813	Fix	{5,9,1,2,117}				光纤轴突*117
813	Fix	{4,3,1,1,200000}				通用银*200000
						
814	Fix	{4,3,2,1,320}				数据金*320
814	Fix	{5,6,1,2,2}				重修申请*2
						
815	Fix	{4,3,2,1,660}				数据金*660
815	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
815	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
815	Fix	{4,3,1,1,50000}				通用银*50000
						
816	Fix	{4,3,2,1,660}				数据金*660
816	Fix	{5,21,2,5,10}				武器定制合约*10
816	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
816	Fix	{4,3,1,1,50000}				通用银*50000
						
817	Fix	{4,3,2,1,1000}				数据金*1000
817	Fix	{5,9,1,2,10}				光纤轴突*10
817	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
817	Fix	{4,3,1,1,100000}				通用银*100000
						
818	Fix	{4,3,2,1,680}				数据金*680
818	Fix	{5,9,1,3,2}				量子胞体*2
818	Fix	{4,3,1,1,300000}				通用银*300000
						
819	Fix	{4,3,2,1,380}				数据金*380
819	Fix	{5,1,1,4,8}				精英战斗记录*8
819	Fix	{4,3,1,1,100000}				通用银*100000
						
820	Fix	{4,3,2,1,380}				数据金*380
820	Fix	{5,9,1,2,117}				光纤轴突*117
820	Fix	{4,3,1,1,200000}				通用银*200000
						
821	Fix	{4,3,2,1,320}				数据金*320
821	Fix	{5,6,1,2,2}				重修申请*2
						
822	Fix	{19,5,3,2,1}				互动情景·婪夜
						
823	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
823	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
824	Fix	{4,3,2,1,660}				数据金*660
824	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
824	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
824	Fix	{4,3,1,1,50000}				通用银*50000
						
825	Fix	{4,3,2,1,660}				数据金*660
825	Fix	{5,21,2,5,10}				武器定制合约*10
825	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
825	Fix	{4,3,1,1,50000}				通用银*50000
						
826	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
826	Fix	{5,21,2,5,10}				武器定制合约*10
826	Fix	{4,3,1,1,100000}				通用银*100000
826	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
827	Fix	{4,3,2,1,1000}				数据金*1000
827	Fix	{4,3,1,1,200000}				通用银*200000
827	Fix	{5,3,1,4,2}				特级职级认证*2
						
828	Fix	{4,3,2,1,680}				数据金*680
828	Fix	{5,9,1,3,2}				量子胞体*2
828	Fix	{4,3,1,1,300000}				通用银*300000
						
829	Fix	{4,3,2,1,380}				数据金*380
829	Fix	{5,1,1,4,8}				精英战斗记录*8
829	Fix	{4,3,1,1,100000}				通用银*100000
						
830	Fix	{4,3,2,1,380}				数据金*380
830	Fix	{5,9,1,2,117}				光纤轴突*117
830	Fix	{4,3,1,1,200000}				通用银*200000
						
831	Fix	{4,3,2,1,320}				数据金*320
831	Fix	{5,6,1,2,2}				重修申请*2
						
832	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
832	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
833	Fix	{4,3,2,1,660}				数据金*660
833	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
833	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
833	Fix	{4,3,1,1,50000}				通用银*50000
						
834	Fix	{4,3,2,1,660}				数据金*660
834	Fix	{5,21,2,5,10}				武器定制合约*10
834	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
834	Fix	{4,3,1,1,50000}				通用银*50000
						
835	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
835	Fix	{5,21,2,5,10}				武器定制合约*10
835	Fix	{4,3,1,1,100000}				通用银*100000
835	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
836	Fix	{4,3,2,1,1000}				数据金*1000
836	Fix	{4,3,1,1,200000}				通用银*200000
836	Fix	{5,3,1,4,2}				特级职级认证*2
						
837	Fix	{4,3,2,1,680}				数据金*680
837	Fix	{5,9,1,3,2}				量子胞体*2
837	Fix	{4,3,1,1,300000}				通用银*300000
						
838	Fix	{4,3,2,1,380}				数据金*380
838	Fix	{5,1,1,4,8}				精英战斗记录*8
838	Fix	{4,3,1,1,100000}				通用银*100000
						
839	Fix	{4,3,2,1,380}				数据金*380
839	Fix	{5,9,1,2,117}				光纤轴突*117
839	Fix	{4,3,1,1,200000}				通用银*200000
						
840	Fix	{4,3,2,1,320}				数据金*320
840	Fix	{5,6,1,2,2}				重修申请*2
						
841	Fix	{9,2,68,1}				联名头像1
841	Fix	{9,2,69,1}				联名头像2
841	Fix	{8,51,6,3}				联名家具1
841	Fix	{8,51,7,3}				联名家具2
						
842	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
842	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
843	Fix	{4,3,2,1,1300}				数据金*1300
843	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
843	Fix	{5,21,2,5,10}				武器定制合约*10
843	Fix	{5,1,1,4,5}				精英战斗记录*5
843	Fix	{5,2,1,4,5}				珍稀强化套件*5
843	Fix	{5,9,1,3,2}				量子胞体*2
843	Fix	{5,5,1,4,2}				碳原子板*2
						
844	Fix	{4,3,2,1,660}				数据金*660
844	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
844	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
844	Fix	{4,3,1,1,50000}				通用银*50000
						
845	Fix	{4,3,2,1,660}				数据金*660
845	Fix	{5,21,2,5,10}				武器定制合约*10
845	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
845	Fix	{4,3,1,1,50000}				通用银*50000
						
846	Fix	{4,3,2,1,1000}				数据金*1000
846	Fix	{5,9,1,2,10}				光纤轴突*10
846	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
846	Fix	{4,3,1,1,100000}				通用银*100000
						
847	Fix	{4,3,2,1,680}				数据金*680
847	Fix	{5,9,1,3,2}				量子胞体*2
847	Fix	{4,3,1,1,300000}				通用银*300000
						
848	Fix	{4,3,2,1,380}				数据金*380
848	Fix	{5,1,1,4,8}				精英战斗记录*8
848	Fix	{4,3,1,1,100000}				通用银*100000
						
849	Fix	{4,3,2,1,380}				数据金*380
849	Fix	{5,9,1,2,117}				光纤轴突*117
849	Fix	{4,3,1,1,200000}				通用银*200000
						
850	Fix	{4,3,2,1,320}				数据金*320
850	Fix	{5,6,1,2,2}				重修申请*2
						
851	Fix	{4,3,2,1,660}				数据金*660
851	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
851	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
851	Fix	{4,3,1,1,50000}				通用银*50000
						
852	Fix	{4,3,2,1,660}				数据金*660
852	Fix	{5,21,2,5,10}				武器定制合约*10
852	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
852	Fix	{4,3,1,1,50000}				通用银*50000
						
853	Fix	{4,3,2,1,1000}				数据金*1000
853	Fix	{5,9,1,2,10}				光纤轴突*10
853	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
853	Fix	{4,3,1,1,100000}				通用银*100000
						
854	Fix	{4,3,2,1,680}				数据金*680
854	Fix	{5,9,1,3,2}				量子胞体*2
854	Fix	{4,3,1,1,300000}				通用银*300000
						
855	Fix	{4,3,2,1,380}				数据金*380
855	Fix	{5,1,1,4,8}				精英战斗记录*8
855	Fix	{4,3,1,1,100000}				通用银*100000
						
856	Fix	{4,3,2,1,380}				数据金*380
856	Fix	{5,9,1,2,117}				光纤轴突*117
856	Fix	{4,3,1,1,200000}				通用银*200000
						
857	Fix	{4,3,2,1,320}				数据金*320
857	Fix	{5,6,1,2,2}				重修申请*2
						
858	Fix	{19,10,3,2,1}				互动情景·暖夜恒约
						
859	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
859	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
860	Fix	{4,3,2,1,660}				数据金*660
860	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
860	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
860	Fix	{4,3,1,1,50000}				通用银*50000
						
861	Fix	{4,3,2,1,660}				数据金*660
861	Fix	{5,21,2,5,10}				武器定制合约*10
861	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
861	Fix	{4,3,1,1,50000}				通用银*50000
						
862	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
862	Fix	{5,21,2,5,10}				武器定制合约*10
862	Fix	{4,3,1,1,100000}				通用银*100000
862	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
863	Fix	{4,3,2,1,1000}				数据金*1000
863	Fix	{4,3,1,1,200000}				通用银*200000
863	Fix	{5,3,1,4,2}				特级职级认证*2
						
864	Fix	{4,3,2,1,680}				数据金*680
864	Fix	{5,9,1,3,2}				量子胞体*2
864	Fix	{4,3,1,1,300000}				通用银*300000
						
865	Fix	{4,3,2,1,380}				数据金*380
865	Fix	{5,1,1,4,8}				精英战斗记录*8
865	Fix	{4,3,1,1,100000}				通用银*100000
						
866	Fix	{4,3,2,1,380}				数据金*380
866	Fix	{5,9,1,2,117}				光纤轴突*117
866	Fix	{4,3,1,1,200000}				通用银*200000
						
867	Fix	{4,3,2,1,320}				数据金*320
867	Fix	{5,6,1,2,2}				重修申请*2
						
868	Fix	{9,2,74,1}				联名头像1
868	Fix	{9,2,75,1}				联名头像2
868	Fix	{8,51,9,3}				联名家具1
868	Fix	{8,51,10,3}				联名家具2
						
869	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
869	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
870	Fix	{4,3,2,1,660}				数据金*660
870	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
870	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
870	Fix	{4,3,1,1,50000}				通用银*50000
						
871	Fix	{4,3,2,1,660}				数据金*660
871	Fix	{5,21,2,5,10}				武器定制合约*10
871	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
871	Fix	{4,3,1,1,50000}				通用银*50000
						
872	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
872	Fix	{5,21,2,5,10}				武器定制合约*10
872	Fix	{4,3,1,1,100000}				通用银*100000
872	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
873	Fix	{4,3,2,1,1000}				数据金*1000
873	Fix	{4,3,1,1,200000}				通用银*200000
873	Fix	{5,3,1,4,2}				特级职级认证*2
						
874	Fix	{4,3,2,1,680}				数据金*680
874	Fix	{5,9,1,3,2}				量子胞体*2
874	Fix	{4,3,1,1,300000}				通用银*300000
						
875	Fix	{4,3,2,1,380}				数据金*380
875	Fix	{5,1,1,4,8}				精英战斗记录*8
875	Fix	{4,3,1,1,100000}				通用银*100000
						
876	Fix	{4,3,2,1,380}				数据金*380
876	Fix	{5,9,1,2,117}				光纤轴突*117
876	Fix	{4,3,1,1,200000}				通用银*200000
						
877	Fix	{4,3,2,1,320}				数据金*320
877	Fix	{5,6,1,2,2}				重修申请*2
						
878	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
878	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
879	Fix	{4,3,2,1,660}				数据金*660
879	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
879	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
879	Fix	{4,3,1,1,50000}				通用银*50000
						
880	Fix	{4,3,2,1,660}				数据金*660
880	Fix	{5,21,2,5,10}				武器定制合约*10
880	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
880	Fix	{4,3,1,1,50000}				通用银*50000
						
881	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
881	Fix	{5,21,2,5,10}				武器定制合约*10
881	Fix	{4,3,1,1,100000}				通用银*100000
881	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
882	Fix	{4,3,2,1,1000}				数据金*1000
882	Fix	{4,3,1,1,200000}				通用银*200000
882	Fix	{5,3,1,4,2}				特级职级认证*2
						
883	Fix	{4,3,2,1,680}				数据金*680
883	Fix	{5,9,1,3,2}				量子胞体*2
883	Fix	{4,3,1,1,300000}				通用银*300000
						
884	Fix	{4,3,2,1,380}				数据金*380
884	Fix	{5,1,1,4,8}				精英战斗记录*8
884	Fix	{4,3,1,1,100000}				通用银*100000
						
885	Fix	{4,3,2,1,380}				数据金*380
885	Fix	{5,9,1,2,117}				光纤轴突*117
885	Fix	{4,3,1,1,200000}				通用银*200000
						
886	Fix	{4,3,2,1,320}				数据金*320
886	Fix	{5,6,1,2,2}				重修申请*2
						
887	Fix	{8,51,11,3,1}				联名家具1
887	Fix	{9,2,86,1,1}				联名头像1
887	Fix	{9,2,87,1,1}				联名头像2
887	Fix	{9,2,88,1,1}				联名头像3
						
888	Fix	{8,51,12,3,1}				联名家具1
888	Fix	{8,51,13,3,1}				联名家具2
888	Fix	{9,2,84,1,1}				联名头像1
888	Fix	{9,2,85,1,1}				联名头像2
						
889	Fix	{8,51,14,3,1}				联名家具1
889	Fix	{8,51,15,3,1}				联名家具2
889	Fix	{9,2,97,1,1}				联名头像1
889	Fix	{9,2,98,1,1}				联名头像2
						
890	Fix	{19,13,3,2,1}				互动情景·澈心
						
891	Fix	{1,10,1,1,1}				sr肴
891	Fix	{5,4,10,1,60}				sr肴60碎片
						
892	Fix	{4,5,9,4,1}				高级天启者邀请函*1
892	Fix	{4,2,1,3,6}				体力药*6
892	Fix	{5,1,1,2,10}				普通战斗记录*10
						
893	Select	{5,4,2,3,60}			1	里芙-无限之视
893	Select	{5,4,13,2,60}				瑟瑞斯-瞬刻
893	Select	{5,4,7,2,60}				琴诺-悖谬
893	Select	{5,4,15,1,60}				凯茜娅-蓝闪
						
894	Select	{2,7,3,1,1}				九夜之冕
894	Select	{2,3,26,1,1}				王权连枷
894	Select	{2,1,27,1,1}				白夜别诗
894	Select	{2,6,4,1,1}				海王星
						
895	Fix	{4,5,9,9,1}				常驻自选角色礼包（背包）
						
896	Fix	{4,5,7,9,1}				常驻自选武器礼包（背包）
						
897	Fix	{4,5,9,10,1}				定制后勤自选箱
897	Fix	{5,3,1,4,155}				特级职级认证
897	Fix	{4,3,1,1,350000}				通用银
						
898	Select	{4,5,9,11,1}				【里芙-无限之视】定制后勤（箱）
898	Select	{4,5,9,12,1}				【瑟瑞斯-瞬刻】定制后勤（箱）
898	Select	{4,5,9,13,1}				【琴诺-悖谬】定制后勤（箱）
898	Select	{4,5,9,14,1}				【凯茜娅-蓝闪】定制后勤（箱）
						
899	Fix	{3,1,37,2}				朵薇尔
899	Fix	{3,2,37,2}				爱莉薇娅
899	Fix	{3,3,37,2}				妲柯丝
900	Fix	{3,1,36,2}				菈普克
900	Fix	{3,2,36,2}				莫尔德莉
900	Fix	{3,3,36,2}				艾巴赫
901	Fix	{3,1,34,2}				穆希娜
901	Fix	{3,2,34,2}				斯卡特
901	Fix	{3,3,34,2}				艾丽娅
902	Fix	{3,1,32,2}				安提
902	Fix	{3,2,32,2}				斯特拉
902	Fix	{3,3,32,2}				伊达米娅
						
903	Fix	{8,99,38,3,1}				联名家具1
903	Fix	{9,2,110,1,1}				联名头像1
						
904	Fix	{8,99,39,3,1}				联名家具1
904	Fix	{9,2,109,1,1}				联名头像1
						
905	Fix	{8,99,43,3,1}				联名家具1
905	Fix	{9,2,110,1,1}				联名头像1
						
906	Fix	{8,99,44,3,1}				联名家具1
906	Fix	{9,2,109,1,1}				联名头像1
						
1001	Fix	{14,1,2,1,1}				芙提雅-沉默
1001	Fix	{14,1,3,1,1}				芙提雅-呜呜呜
1001	Fix	{14,1,4,1,1}				芙提雅-哇哦
1001	Fix	{14,1,5,1,1}				芙提雅-什么
						
1002	Fix	{14,1,9,1,1}				聊天活动表情1
1002	Fix	{14,1,10,1,1}				聊天活动表情2
1002	Fix	{14,1,11,1,1}				聊天活动表情3
1002	Fix	{14,1,8,1,1}				聊天活动表情4
						
1003	Fix	{14,1,12,1,1}				芬妮-诶嘿嘿
1003	Fix	{14,1,13,1,1}				芬妮-生气气
1003	Fix	{14,1,14,1,1}				芬妮-好东西
1003	Fix	{14,1,15,1,1}				芬妮-石化
						
1004	Fix	{14,1,16,1,1}				苔丝-啊这
1004	Fix	{14,1,17,1,1}				苔丝-掉小珍珠
1004	Fix	{14,1,18,1,1}				苔丝-讨厌啦
1004	Fix	{14,1,19,1,1}				苔丝-比心
						
1005	Fix	{14,1,21,1,1}				里芙-空白
1005	Fix	{14,1,22,1,1}				里芙-泪滴
1005	Fix	{14,1,23,1,1}				里芙-流汗
1005	Fix	{14,1,24,1,1}				里芙-害羞
						
1006	Fix	{14,1,41,1,1}				伊切尔q版
1006	Fix	{14,1,42,1,1}				伊切尔q版
1006	Fix	{14,1,43,1,1}				伊切尔q版
1006	Fix	{14,1,44,1,1}				伊切尔q版
						
1007	Fix	{14,1,45,1,1}				猫汐尔-尴尬喵
1007	Fix	{14,1,46,1,1}				猫汐尔-无奈喵
1007	Fix	{14,1,47,1,1}				猫汐尔-观察喵
1007	Fix	{14,1,48,1,1}				猫汐尔-害怕喵
						
1008	Fix	{14,1,49,1,1}				龙舌兰表情包
1008	Fix	{14,1,50,1,1}				龙舌兰表情包
1008	Fix	{14,1,51,1,1}				龙舌兰表情包
1008	Fix	{14,1,52,1,1}				龙舌兰表情包
						
1009	Fix	{14,1,53,1,1}				辰星表情包
1009	Fix	{14,1,54,1,1}				辰星表情包
1009	Fix	{14,1,55,1,1}				辰星表情包
1009	Fix	{14,1,56,1,1}				辰星表情包
						
1010	Fix	{14,1,58,1,1}				恩雅表情包
1010	Fix	{14,1,59,1,1}				恩雅表情包
1010	Fix	{14,1,60,1,1}				恩雅表情包
1010	Fix	{14,1,61,1,1}				恩雅表情包
						
1011	Fix	{14,1,63,1,1}				安卡表情包
1011	Fix	{14,1,64,1,1}				安卡表情包
1011	Fix	{14,1,65,1,1}				安卡表情包
1011	Fix	{14,1,66,1,1}				安卡表情包
						
1012	Fix	{14,1,68,1,1}				凯西娅表情包
1012	Fix	{14,1,69,1,1}				凯西娅表情包
1012	Fix	{14,1,70,1,1}				凯西娅表情包
1012	Fix	{14,1,71,1,1}				凯西娅表情包
						
1200	Fix	{7,10,2,3,1}				肴-冬至-粼粼尾浪
1200	Fix	{7,10,2,4,1}				肴-冬至-女仆皮
						
2001	Fix	{7,8,2,5,1}				芬妮-咎冠(皮肤)甜蜜统治
2001	Fix	{17,3,1,1,1}				全糖蜜令
						
2002	Fix	{7,8,2,5,1}				芬妮-咎冠(皮肤)甜蜜统治
						
2003	Fix	{17,3,1,1,1}				全糖蜜令
						
2004	Fix	{7,11,2,2,1}				DLC7恩雅-轻语疗法（皮肤）
2004	Fix	{19,11,2,2,1}				恩雅皮肤互动道具
						
2005	Fix	{19,11,2,2,1}				恩雅皮肤互动道具
						
2006	Fix	{7,2,3,2,1}				里芙-新换装-恒约皮
2006	Fix	{19,2,3,2,1}				里芙-新换装-恒约互动场景
2006	Fix	{17,7,1,1,1}				恒约里芙双枪皮
						
2007	Fix	{7,8,3,2,1}				芬妮-新换装-恒约皮
2007	Fix	{19,8,3,2,1}				芬妮-新换装-恒约互动场景
2007	Fix	{17,5,1,1,1}				恒约芬妮步枪皮
						
2008	Fix	{7,15,2,2,1}				凯茜娅-朝翼-沐浪倦姿
2008	Fix	{19,15,2,2,1}				互动情景·绚洋
2008	Fix	{17,5,2,1,1}				碳酸假日
						
2009	Fix	{7,5,3,2,1}				茉莉安-幽潮-灿阳一刻
2009	Fix	{4,15,1,1,1}				【互动情景·婪夜】预售礼盒
2009	Fix	{17,3,2,1,1}				未来心跳
						
2010	Fix	{7,5,3,2,1}				茉莉安-幽潮-灿阳一刻
2010	Fix	{19,5,3,2,1}				互动情景·婪夜
2010	Fix	{17,3,2,1,1}				未来心跳
						
2011	Fix	{7,4,3,2,1}				2.3芙提雅-毛绒派对（皮肤）
2011	Fix	{17,2,2,1,1}				熊熊突击（武器皮肤）
						
2012	Fix	{7,13,2,4,1}				瑟瑞斯-瞬刻-斑斓水色（皮肤）
2012	Fix	{17,3,3,1,1}				澈海之约（武器皮肤）
						
2013	Fix	{7,7,2,5,1}				琴诺-悖谬-清荷雅弈
2013	Fix	{17,1,1,1,1}				融月流金
						
2014	Fix	{7,16,1,4,1}				伊切尔-豹豹-捕猎演习
2014	Fix	{17,3,4,1,1}				豹豹饱饱
						
2015	Fix	{7,14,3,2,1}				辰星-琼弦-欣描红妆
2015	Fix	{19,14,3,2,1}				互动情景·红妆恒约
2015	Fix	{17,8,1,1,1}				终古比翼
						
2016	Fix	{7,10,3,2,1}				肴-夜天光-暖夜情醺
2016	Fix	{17,1,2,1,1}				春携良缘
						
2017	Fix	{7,8,3,3,1}				芬妮-辉耀-金狮舞瑞
2017	Fix	{17,5,3,1,1}				耀舞迎春
						
2018	Fix	{7,10,3,2,1}				肴-夜天光-暖夜情醺
2018	Fix	{19,10,3,2,1}				互动情景·暖夜恒约
2018	Fix	{17,1,2,1,1}				春携良缘
						
2019	Fix	{7,11,3,2,1}				恩雅-澜风-望云清咏
2019	Fix	{17,3,5,1,1}				聆听本真
						
2020	Fix	{7,18,1,3,1}				薇蒂雅-龙舌兰-舞夜与焰
2020	Fix	{17,4,2,1,1}				星夜流沙
						
2021	Fix	{7,5,3,3,1}				茉莉安-幽潮-绒尾迷梦
2021	Fix	{17,3,6,1,1}				危甜信号
						
2022	Fix	{7,3,2,2,1}				妮塔-悸响-林间潋滟
2022	Fix	{19,3,2,2,1}				互动情景·秘林
2022	Fix	{17,3,7,1,1}				深林微光
						
2023	Fix	{7,20,1,2,1}				卜卜-小天师-元气愈养
2023	Fix	{17,4,3,1,1}				浅粉印象
						
2024	Fix	{7,15,2,4,1}				凯茜娅-朝翼-绮锦流韵
2024	Fix	{17,5,4,1,1}				游云焕绮
						
2025	Fix	{7,18,2,2,1}				薇蒂雅-天鹅座-云端之邀
2025	Fix	{17,2,3,1,1}				爱彻青空
						
2026	Fix	{7,4,3,4,1}				芙提雅-驰掣-泳池护卫
2026	Fix	{17,2,4,1,1}				清凉公式
						
2027	Fix	{7,14,3,3,1}				辰星-琼弦-慵倚花阴
2027	Fix	{17,8,2,1,1}				灵跃心弦
						
2028	Fix	{7,15,3,2,1}				凯茜娅-狂诗-星抚恋音
2028	Fix	{19,15,3,2,1}				互动情景·星澜恒约
2028	Fix	{17,9,1,1,1}				千雪诉情
						
2029	Fix	{7,17,2,2,1}				苔丝-绮幻-恋如花舞
2029	Fix	{19,17,2,2,1}				互动情景·光馨恒约
2029	Fix	{17,5,6,1,1}				白纱奏鸣
						
2030	Fix	{7,11,3,3,1}				恩雅-澜风-秘密侍奉
2030	Fix	{17,3,8,1,1}				午夜轻触
						
2031	Fix	{7,20,1,3,1}				卜卜-小天师-畅饮狂欢
2031	Fix	{17,4,4,1,1}				软绒紧缚
						
2032	Fix	{7,22,1,2,1}				克罗瑞娜【绯月】-皎月幽祈
2032	Fix	{17,1,4,1,1}				铂金密信
						
2033	Fix	{7,3,2,3,1}				妮塔【悸响】-轻罗曼舞
2033	Fix	{17,3,9,1,1}				寂夜覆纱
						
2034	Fix	{7,10,3,3,1}				肴【夜天光】-共待曙明
2034	Fix	{17,1,3,1,1}				忠诚之勋
						
2035	Fix	{7,21,1,2,1}				奈莉德【冥河代理人】-晨曦统令
2035	Fix	{17,5,5,1,1}				绯霞诫律
						
2036	Fix	{7,8,4,2,1}				芬妮【澄意】-夕晖蜜约
2036	Fix	{19,8,4,2,1}				互动情景·蜜海
2036	Fix	{17,1,5,1,1}				清波储备
						
2037	Fix	{7,13,3,2,1}				瑟瑞斯【悠游】-碧波浮游
2037	Fix	{4,15,1,3,1}				【互动情景·澈心】预售礼盒
2037	Fix	{17,4,5,1,1}				经典气泡
						
2038	Fix	{7,21,1,3,1}				奈莉德【冥河代理人】
2038	Fix	{17,5,7,1,1}				渊底警戒
						
2039	Fix	{7,18,2,3,1}				薇蒂雅【天鹅座】-海境鲛梦
2039	Fix	{17,2,5,1,1}				紫晶盛放
						
2040	Fix	{7,13,3,2,1}				瑟瑞斯【悠游】-碧波浮游
2040	Fix	{19,13,3,2,1}				互动情景·澈心
2040	Fix	{17,4,5,1,1}				经典气泡
						
2041	Fix	{7,23,1,2,1}				米娅【星彩】-暗空魅影
2041	Fix	{17,3,10,1,1}				迅焰溢彩
						
2042	Fix	{7,6,3,2,1}				晴【霆光】-清光虔愿
2042	Fix	{17,5,8,1,1}				红居覆霜
						
2043	Fix	{7,15,3,3,1}				凯茜娅【狂诗】-花间蝶踪
2043	Fix	{17,9,2,1,1}				幻蝶之引
						
2044	Fix	{7,20,2,2,1}				卜卜-灵鉴【绮恋星灵】
2044	Fix	{25,20,2,2,1}				陪伴情景·魔法少女卜卜
2044	Fix	{17,7,2,1,1}				心悦魔法
						
2045	Fix	{7,12,3,2,1}				猫汐尔-莲驱【喵语祈念】
2045	Fix	{17,2,6,1,1}				赤玫臻言
						
2046	Fix	{7,8,4,3,1}				芬妮-澄意【颂夜欢歌】
2046	Fix	{17,1,6,1,1}				冬愿银装
						
2047	Fix	{7,1,3,2,1}				安卡希雅-时之重奏-缘音回响
2047	Fix	{19,1,3,2,1}				互动情景·安卡希雅恒约
2047	Fix	{17,10,1,1,1}				安卡希雅-时之重奏-缘音回响枪皮
						
2048	Fix	{7,5,4,2,1}				茉莉安-霄鹰-纯白恋羽
2048	Fix	{19,5,4,2,1}				互动情景·茉莉安恒约
2048	Fix	{17,1,7,1,1}				茉莉安-霄鹰-纯白恋羽枪皮
						
