Id	联机id	备注	类型（1防守波次  2战斗行为）	战斗行为子类型（1.伤害占比达到 2.救助队友 3.阵亡次数小于 4.释放大招次数达到 5.收集资源 6.释放智械道具次数	战斗行为参数	文本描述	积分描述	积分值	荣誉分
547	101	坚守成功	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	320	
548	101	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
549	101	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
550	101	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
551	101	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
552	101	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
									
553	119	战斗等级达到1级	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
554	119	战斗等级达到2级	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	40	
555	119	战斗等级达到3级	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
556	119	战斗等级达到4级	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	65	
557	119	战斗等级达到5级	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	90	
558	119	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
559	119	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
560	119	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
561	120	战斗等级达到1级	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
562	120	战斗等级达到2级	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	40	
563	120	战斗等级达到3级	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
564	120	战斗等级达到4级	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	65	
565	120	战斗等级达到5级	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	90	
566	120	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
567	120	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
568	120	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
