	中文简体	1=临时文案  0和不填都=正式文案	//备注
TxtMonsterIntro3014	SpH-L12·孢子态进行攻击会积攒孢子素，积攒足够孢子素后会导致队员所见的SpH-L12变成幽语者形态。幽语者形态下的SpH-L12进行攻击会损耗孢子素，耗尽时会释放炫梦孢子炮；炫梦孢子炮爆炸后或被击破后，SpH-L12会变回孢子态。	0	DLC3.2BOSS战斗信息弹窗
TxtMonsterIntro3015	弱点部位：埃吉尔的腰部晶体和悬浮于两侧的凝尘冰骰是弱点部位，射击命中必定暴击且不会跳弹。	0	DLC3.2序章BOSS战斗信息弹窗
TxtMonsterIntro3016	起源物种的外甲异常坚固，攻击外甲难以造成可观伤害，攻击其胸前的原初晶核，才可使其受到更多伤害。	0	DLC3.3BOSS战斗信息弹窗
TxtMonsterIntro3017	起源物种会蜕变为接近人类身形的起源物种·进化之终，技能的威力会大幅提升，但也会失去其强大的恢复能力。	0	DLC3.3BOSS战斗信息弹窗
TxtMonsterIntro3018	西西弗斯拥有高密通常护盾，在被常规射击的普通子弹命中时，受到的伤害会进一步大幅提升，但技能对其造成的伤害会大幅降低；队员无法对拥有此类护盾的目标的生命直接造成伤害，需要先击破护盾。	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3019	西西弗斯腹部的永续愠石是弱点部位，射击命中必定暴击且不会跳弹。	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3020	西西弗斯会在狡羽形态和徒腕形态之间切换，切换前会使用转阶段技能造成全屏伤害。	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3021	本周期星祈雪人号拥有高密通常护盾，在被常规射击的普通子弹命中时，受到的伤害会进一步大幅提升；当护盾被击破时，星祈雪人号受到的射击最终伤害提升200%，受到的技能最终伤害提升50%。	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3022	本周期星祈雪人号会周期性使用净雪风筒将队员朝自身吸引，此时击破星祈雪人号身上的储雪罐可以使其一定时间内失去行动能力。	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3023	本周期星祈雪人号会周期性进入雪球滚滚模式，通过滚动碾压来进行攻击，请注意躲避！	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3024	星祈雪人号会根据当前所处周期来改变自身的抗性类型。	0	DLC3.4BOSS战斗信息弹窗
TxtMonsterIntro3025	阿帕忒拥有高淬能质护盾，在被技能攻击命中时，受到技能的伤害会进一步大幅提升，但常规射击的普通子弹对其造成的伤害会大幅降低；队员无法对拥有此类护盾的目标的生命直接造成伤害，需要先击破护盾。	0	DLC3.5BOSS战斗信息弹窗
TxtMonsterIntro3026	阿帕忒会化身为巨大的阿帕忒·真神降临，同时在场上布置自白沙漏，阿帕忒·真神降临处于无敌状态，破坏自白沙漏可提前解除其无敌状态。	0	DLC3.5BOSS战斗信息弹窗
TxtMonsterIntro3027	神座·狐相拥有高密通常护盾，在被常规射击的普通子弹命中时，受到的伤害会进一步大幅提升，但技能对其造成的伤害会大幅降低；队员无法对拥有此类护盾的目标的生命直接造成伤害，需要先击破护盾。	0	DLC3.6BOSS战斗信息弹窗
TxtMonsterIntro3028	神座·狐相的头部和颈部是弱点部位，射击命中必定暴击且不会跳弹。	0	DLC3.6BOSS战斗信息弹窗
TxtMonsterIntro3029	神座·狐相在生命较低时会进入【炎嗔】状态，使用【炽源狐啸】持续长时间对全区域持续进行能量冲击，此时十分危险，需要尽快将其击败。	0	DLC3.6BOSS战斗信息弹窗
			
TxtResistanceNum	系数	0	
TxtCommonMonsterIntro1	抗性信息	0	
TxtCommonMonsterIntro2	控制信息	0	
TxtCommonMonsterIntro3	特性信息	0	
			
TxtRogue.btnshop	迷宫配售	0	
TxtRogue.btngacha	特别嘉勉	0	
TxtRogue.effecttitle	迭战效果	0	
TxtRogue.gachaone	申领一次	0	
TxtRogue.gachaten	申领十次	0	
TxtRogue.exploring	推演中	0	
TxtRogue.typetitle	战局类型	0	
TxtRogue.rewardup	思维译码获取提升	0	
TxtRogue.rewardlimit	今日获取上限	0	
TxtRogue.gachatip	多维解集活动期间，进行推演可获得申领凭证	0	
			
TxtTutorialVircaptureTitle1	【新星开拓】	0	
TxtTutorialVircapture1	制作人安卡希雅倾力打造！超趣味劝降玩法，收编敌人成为自己的伙伴，开拓新的宇宙！	0	
TxtTutorialVircaptureTitle2	【再来一次】	0	
TxtTutorialVircapture2	新星开拓本次封闭测试，共有两个星球可游玩，均每日4点刷新可劝降目标。\n使用安卡希雅提供的神奇道具“再来一次”，可立即刷新任一星球的可劝降目标。\n测试期间，每天登录游戏会自动获得200个再来一次，请合理安排使用。	0	
TxtTutorialVircaptureTitle3	【劝降名单】	0	
TxtTutorialVircapture3	初次成功劝降目标后，可解锁劝降名单并提升开拓进程。\n每次成功劝降目标后，都会获得开拓经验，累积后可提升开拓等级，不仅能增强员工的作战能力，还能获得开拓奖励！\n每日【伙伴岛】内各品质类型的伙伴都存在最大劝降次数，同时每日通过劝降可获得的开拓经验也是存在上限哦。	0	
TxtTutorialVircaptureTitle4	【收编分配】	0	
TxtTutorialVircapture4	可通过人员列表查看和管理当前已劝降成功的所有伙伴。\n当前编队：上阵作战的伙伴阵容\n协作指令：伙伴们拥有各种特殊能力，在编队中根据激活的协作指令数量可以使不同战斗效果生效。\n技能升阶：使用技能证书可以提升伙伴的技能等阶。	0	
TxtTutorialVircaptureTitle5	【关卡挑战】	0	
TxtTutorialVircapture5	【闯关吧！】模式中，需要带领伙伴们逐个完成关卡挑战，赢取奖励。\n【试炼吧！】模式中，需要带领伙伴们接受试炼，在限定时间内尽可能多地击败敌方目标，以获得更多的试炼积分。	0	
LeavePalWildArea	距离太远，目标跑了就没法劝降了	0	
TxtTutorialVircaptureTitle6	【星球环境】	0	
TxtTutorialVircapture6	星球环境对敌人有巨大影响，使敌人和我方伙伴的作战能力大幅提升！但同时天启者受到的伤害也会大幅降低，合理运用星球环境效果方可获得胜利！	0	
TxtTutorialVircaptureTitle7	【劝降伙伴】	0	
TxtTutorialVircapture7	削弱带有【可劝降】标识的目标，使其不再抵抗	0	
TxtTutorialVircaptureTitle8	【劝降伙伴】	0	
TxtTutorialVircapture8	靠近无法抵抗的目标，使用【劝降】将其收为伙伴	0	
TxtTutorialVircaptureTitle9	【空间曲点】	0	
TxtTutorialVircapture9	从地图点击空间曲点可快速抵达其所在区域；使用空间曲点可以使天启者和伙伴们回到最佳状态，或调整当前编队	0	
TxtTutorialVircaptureTitle10	【任务】	0	
TxtTutorialVircapture10	完成蓝色叹号任务可获取未劝降目标的位置；完成黄色叹号任务以劝降更优秀的伙伴	0	
Suggestion	完成蓝色叹号任务获取未劝降目标的位置	0	
TxtTutorialVircaptureTitle11	【快捷劝降】	0	
TxtTutorialVircapture11	在快捷劝降中，消耗好伙伴券可以快速随机劝降伙伴！开拓等级越高，每次快捷劝降高品质伙伴的出现概率也越高！	0	
TxtTutorialVircaptureTitle12	【钓鱼攻略】	0	
TxtTutorialVircapture12	在伙伴岛的各个钓鱼水域，消耗鱼饵可以进行钓鱼，不断解锁和积累钓鱼攻略进度，获得相应奖励！	0	
TxtTutorialVircaptureTitle13	【昼夜切换】	0	
TxtTutorialVircapture13	在海岛入口或地图内均可将当前海岛切换成夜晚或白天状态。\n切换后海岛的场景光照会发生变化，同时海岛的部分内容也会产生变化，快来细心探索一番吧！	0	
TxtTutorialVircaptureTitle14	【蓝图岛】	0	3.1-新星开拓教学文本
TxtTutorialVircapture14	安卡希雅力荐！新增追加内容，【蓝图岛】建造经营玩法！\n规划和管理蓝图岛的一切，和她一起打造梦想中的度假岛吧！	0	3.1-新星开拓教学文本
			
TxtDLC8.Title	幻现幻归	0	
TxtDLC8.BtnShop	空岛奇珍	0	
TxtDLC8.BtnMission	堆叠高塔	0	
TxtDLC8.BtnStory	幻现幻归	0	
TxtDLC8.BtnDefense	虚境破格	0	
TxtDLC8.BtnOnline	无尽暮影	0	
TxtDLC8.BtnRefresh	升格之路	0	
TxtDLC8.BtnRepression	复施黎明	0	
TxtDLC8.TowerNode	重装战线	0	
			
onlinetalk1	谢啦~	0	
onlinetalk2	来这帮我！	0	
onlinetalk3	敌人来了！	0	
onlinetalk4	回来防守！	0	
			
TxtDialogueSkip3D	跳过	0	
			
TxtDefenseNewTip1	最高御敌积分：	0	
TxtDefenseNewTip2	当前御敌积分：	0	
TxtDefenseNewTip3	当前累计御敌积分：	0	
TxtDefenseNewTip4	御敌积分兑换	0	
TxtDefenseNewTip5	本期最高御敌积分：	0	
TxtDefenseNewTip6	本期高效战术特技：	0	
TxtDefenseNewTip7	特殊挑战	0	
TxtDefenseNewTip8	难度选择	0	
TxtDefenseNewTip9	已成功御敌积分：	0	
			
TxtResJobWay	选择职能	0	
TxtResJob	当前职能	0	
TxtJob_A	进攻者	0	
TxtJob_A_Skill1	特长I：队员的<span color="#ffc500">最大爆发能量</>和<span color="#ffc500">最大常规能量</>都翻倍	0	
TxtJob_A_Skill2	特长II：每轮战斗开始前，可从3个<span color="#ffc500">随机正面效果</>中选择1个	0	
TxtJob_B	清扫者	0	
TxtJob_B_Skill1	特长I：战备物资发放倒计时结束时获得<span color="#ffc500">机枪弹药300发及榴弹弹药50发</>	0	
TxtJob_B_Skill2	特长II：使用机枪塔命中目标时，有<span color="#ffc500">35%概率</>补充<span color="#ffc500">1发子弹</>	0	
TxtJob_C	采集者	0	
TxtJob_C_Skill1	特长I：可以在<span color="#ffc500">任意阶段</>使用空间曲点进行传送	0	
TxtJob_C_Skill2	特长II：收集物资数量<span color="#ffc500">提升50%</>	0	
TxtJob_D	进攻者	0	
TxtJob_D_Skill1	特长I：爆发能量获取率<span color="#ffc500">提升30%</>	0	
TxtJob_D_Skill2	特长II：每轮战斗开始前，可从2个<span color="#ffc500">随机正面效果</>中选择1个	0	
TxtJob_E	清扫者	0	
TxtJob_E_Skill1	特长I：战备物资发放倒计时结束时获得<span color="#ffc500">机枪弹药200发及榴弹弹药50发</>	0	
TxtJob_E_Skill2	特长II：使用机枪塔命中目标时，有<span color="#ffc500">35%概率</>补充<span color="#ffc500">1发子弹</>	0	
TxtJob_F	采集者	0	
TxtJob_F_Skill1	特长I：可在<span color="#ffc500">任意阶段进入资源收集区域</>进行物资收集	0	
TxtJob_F_Skill2	特长II：每收集100物资，所有队员<span color="#ffc500">暴击率永久提升0.5%</>	0	
TxtJob_Resure	职能确认	0	
TxtJob_ResureInfo	已选择<span color="#ffc500">【%s】</>，具体信息点击<span color="#ffc500">设置</>查看	0	
TxtCollection1_des	外表为<span color="#ffc500">黄色水晶体</>，可被<span color="#ffc500">普通射击</>击破，将其破坏后会获得可用于工事研新<span color="#ffc500">火力</>功能的<span color="#ffc500">星稀石</>	0	
TxtCollection2_des	似乎是很常见的<span color="#ffc500">立方体透明晶块</>，<span color="#ffc500">靠近拾取</>后会获得可用于工事研新<span color="#ffc500">尖兵</>功能的<span color="#ffc500">雪盐晶</>	0	
TxtCollection3_des	表面散发<span color="#ffc500">奇怪光芒的箱子</>，<span color="#ffc500">打开箱子</>会获得可用于工事研新<span color="#ffc500">设施</>功能的<span color="#ffc500">燃雷尘</>	0	
TxtTowerEsc_Tree	工事研新	0	
TxtTowerEsc_Job	队内职能	0	
TxtTowerEsc_Buff	进攻效果	0	
TxtTowerLock	当前阶段机枪塔无法使用	0	
			
TxtDefenseKill	连续击败	0	
TxtTargetKill	连续击中	0	
			
MinorExpired	为维护未成年人健康上网环境\n本游戏暂不支持实名认证18岁以下的用户登录体验	1000	
			
TxtOnHook	近期在各类链接行动中存在消极作战行为。	0	
TxtOnHookTime	标记剩余时间	0	
TxtOnHook_Defend	近期所选职能的参与度偏低，请于本次行动中履行职责.		
			
TxtOnHookTips1	请尽快参与作战，若%d秒内不进行任何操作，将被判定为消极作战行为	0	
			
TxtInventorySellTips1	当前出售道具中包含橙色品质道具，出售后将无法恢复，是否确认出售？	0	
			
TxtGacha.target	特选共鸣	0	
TxtGacha.tagSP1	庆典	0	
TxtGacha.tagSP2	定向	0	
			
TxtDefensePauseTask	特殊挑战	0	
TxtDefensePauseBonus	高效战术特技	0	
			
TxtDLC9.Title	空都演绎	0	
TxtDLC9.BtnShop	空港商贸	0	
TxtDLC9.BtnMission	云中行走	0	
TxtDLC9.BtnStory	空都演绎	0	
TxtDLC9.BtnDefense	天穹之弈	0	
TxtDLC9.BtnOnline	神祇与非	0	
TxtDLC9.BtnRefresh	风暴之眼	0	
TxtDLC9.BtnRichmen	心动派对	0	
TxtDLC9.BtnNightmare	火线突击	0	
			
TxtRolePieceTips	使用记忆补嵌包后，当前记忆嵌片数量将超过储存上限，是否确认使用？	0	
			
TxtAbilityUp	属性检定		
TxtFettersUp	心动指数提升		
TxtRichmanWeeklyPop	[派对周报]		
TxtRichmanChoose	请选择		
TxtRichmanLoveGirl	心仪的少女		
TxtRichManNoTalk	[暂无评论]		
TxtRichManTopTag	置顶		
TxtRichManRedTag	已读		
TxtRichManRikiBuff	组合增益奖励		
TxtRichManGametip	已找到：		
TxtRichManLoveEndTip1	可获得增益：		
TxtRichManLoveBtn2	云中行走		
TxtRichManLoveBtn3	心动图鉴		
TxtRichManLoveBtn4	当前总增益		
TxtRichManLoveBtn5	心动攻略		
TxtRichManUIName1	目前倾向的社区成就		
TxtRichManUIName2	收纳挑战		
TxtRichManUIName3	收纳盒		
TxtRichManUIName4	收集进度		
TxtRichManUIName5	当前为活动周：		
TxtRichManUIGameTIP1	请分析员帮忙整理少女的鞋子		
TxtRichManUIGameTIP2	在限定时间内翻找鞋子即可获得属性数值增加的奖励！如果成功翻找出三双鞋子，并且有两双属于同一位少女，将会额外获得一张卡牌。		
TxtRichManUIName6	帮助界面		
TxtRichManUIName7	活动规则		
TxtRichManUIName8	卡牌图鉴		
TxtRichManUIName9	心动瞬间		
TxtRichManUIName10	社区成就		
			
TxtTutorialDefense08_Main_Title	【虚境破格】	0	
TxtTutorialDefense08_Main	随意志而改变的环境，被他人意志所影响的敌人，胜利将被强者的意志左右。	0	
TxtTutorialDefense08_Diff	本期荣誉冲突分为4种不同难度，不同难度的敌人作战能力、击败目标的积分、连续击败的时间间隔均不同，分析员可以根据当前实际综合能力选择对应难度。	0	
TxtTutorialDefense08_Diff_Title	【难度选择】	0	
TxtTutorialDefense08_Skill	本期荣誉冲突新增【高效战术特技】和【特殊挑战】，完成与描述对应的操作可以获得额外御敌积分；每场挑战中，【高效战术特技】可在战斗中反复完成，【特殊挑战】每项仅可完成1次。	0	
TxtTutorialDefense08_Skill_Title	【战术特技和挑战】	0	
TxtTutorialDefense08_Combo	本期荣誉冲突新增了【连续击败】辅助系统：在一定时间内连续击败多个敌方目标可以激活该辅助系统，击败目标后获得的御敌积分提升，且连续击败的数量越多，则积分提升倍率越高。	0	
TxtTutorialDefense08_Combo_Title	【连续击败】	0	
TxtTutorialDefense08_Score	本期荣誉冲突中，新增御敌积分实时显示系统，其统计规则为（击败目标基础积分+完成战术特技积分）x连续击败倍率x同时击败倍率。同时击败倍率固定为1.2，每当同时击败2个以上目标时即可获得该加成。	0	
TxtTutorialDefense08_Score_Title	【积分显示】	0	
TxtTutorialDefense08_Pause	战斗途中可以进入暂停界面查看当期【高效战术特技】和【特殊挑战】	0	
TxtTutorialDefense08_Pause_Title	【关卡情报】	0	
TxtTutorialDefense08_Reset	在行动期间，分析员可以对当前难度进行重置，重新选择难度后，已获得御敌积分不会消失。本期的最佳记录可以在此界面左侧查看。	0	
TxtTutorialDefense08_Reset_Title	【难度重置】	0	
			
TxtTutorialDefense09_Main_Title	【天穹之弈】	0	
TxtTutorialDefense09_Main	阴云在空中乐土中蔓延，神明陷入沉睡，与世隔绝的乐园变成无处可逃的陷阱。	0	
			
TxtTutorialDefense10_Main_Title	【离分空镜】	0	
TxtTutorialDefense10_Main	被定格的夜晚，黑影从宝物间的缝隙渗透，无法预判的来袭，惊扰了原有的结局，新的故事开始上演。	0	
TxtTutorialDefense10_MG_Title	【机枪塔】	0	
TxtTutorialDefense10_MG	本次行动中，可以使用机枪塔辅助御敌，机枪塔在面对大量敌人进攻时有非常优秀的清理效果，请多加利用！	0	
			
TxtTutorialDefense11_Main_Title	【浮岛戏水】	0	
TxtTutorialDefense11_Main	艳阳依旧，运动的绝佳时间，击败扰乱假日的家伙们，肆意挥洒汗水后再享受海水浴吧！	0	
			
TxtTutorialDefense23_Main_Title	【碎石惊沙】	0	DLC2.3死斗教学图标题
TxtTutorialDefense23_Main	在每一缕风都夹杂着砂石的恶劣环境下，生存已是一大考验了，而隐于风沙后的敌人早已伺机而动，该做选择了，是成为猎手还是食粮呢？	0	DLC2.3死斗教学图正文
			
TxtTutorialDefense24_Main_Title	【远山沉沉】	0	DLC2.4死斗教学图标题
TxtTutorialDefense24_Main	光尘落旧垣，古枝红未开，久久无人造访的秘境，不止埋葬了惊喜，危机隐于四处，注视好奇的来者们。	0	DLC2.4死斗教学图正文
			
TxtTutorialDefense25_Main_Title	【古宅异变】	0	DLC2.5死斗教学图标题
TxtTutorialDefense25_Main	历史底蕴和现代科技完美结合的古宅，无人知晓，错综复杂的建筑结构中会潜伏着何种危机。	0	DLC2.5死斗教学图正文
			
TxtTutorialDefense26_Main_Title	【另日幻响】	0	DLC2.6死斗教学图标题
TxtTutorialDefense26_Main	空旷得有回声的大厅，充斥着人类不可穷极的幻想。再博识的来者，也能在此收获前所未有的见闻。	0	DLC2.6死斗教学图正文
			
TxtTutorialDefense27_Main_Title	【曙光将至】	0	DLC2.7死斗教学图标题
TxtTutorialDefense27_Main	昼夜之隙，万物静待，所有的苦守与挣扎，都在此刻化作了希望。	0	DLC2.7死斗教学图正文
			
TxtTutorialDefense28_Main_Title	【飞沙扬砾】	0	DLC2.8死斗教学图标题
TxtTutorialDefense28_Main	世界在狂沙中失语，时间在暴风中折腰，每一粒尘埃的咆哮，都是生命的韧性在宣告。	0	DLC2.8死斗教学图正文
			
TxtTutorialDefense30_Main_Title	【激战智域】	0	DLC3.0死斗教学图标题
TxtTutorialDefense30_Main	以逻辑为利刃撕裂愚昧，以公理为坚盾捍卫真理——此乃智域勇者的神圣战仪！	0	DLC3.0死斗教学图正文
			
TxtTutorialDefense31_Main_Title	【地下猛攻】	0	DLC3.1死斗教学图标题
TxtTutorialDefense31_Main	隐藏于地下的终极试炼已开启——你的猛攻，就是撕碎黑暗的唯一法则。	0	DLC3.1死斗教学图正文
			
TxtTutorialDefense32_Main_Title	【沁凉异象】	0	DLC3.2荣誉冲突教学图标题
TxtTutorialDefense32_Main	灼热止步于此，前方是惊喜还是挑战？唯有勇者，方能尽享这份凛冽畅快！	0	DLC3.2荣誉冲突教学图正文
			
TxtTutorialDefense33_Main_Title	【天外星核】	0	DLC3.3荣誉冲突教学图标题
TxtTutorialDefense33_Main	当众星的歌谣渐息，由你，开启新的纪元。	0	DLC3.3荣誉冲突教学图正文
			
TxtTutorialDefense34_Main_Title	【旧日病院】	0	DLC34荣誉冲突教学图标题
TxtTutorialDefense34_Main	废弃的诊室回荡着异响，唯一的出院通道，只为生还者开启。	0	DLC34荣誉冲突教学图正文
			
TxtTutorialDefense35_Main_Title	【荣誉冲突】	0	DLC35荣誉冲突教学图标题
TxtTutorialDefense35_Main	守护这片完整的阵地，你要抵御的不只有敌人还有流逝的时间。	0	DLC35荣誉冲突教学图正文
			
TxtDLC8Level13_05Defence_Name	【关卡情报】	0	
TxtDLC8Level13_05Defence_Des1	在战斗中，敌人将不断从传送门中出现，同时传送门的数量也会逐渐增加。	0	
TxtDLC8Level13_05Defence_Des2	敌人会优先朝守备区移动，受到伤害后敌人将停止移动并进行还击。一段时间内未受到伤害的敌人则会继续朝守备区移动。	0	
TxtDLC8Level13_05Defence_Des3	注意，进入守备区的敌人将增加破坏值并消失，当破坏值超过上限时，作战失败。	0	
			
TxtDLC2_1Level13_31Moniter_Name1	【监控装置】		
TxtDLC2_1Level13_31Moniter_Des1	进入监控装置的扫描范围内，装置亮起红灯开启警戒模式，看守机器人会获得一次无敌状态，并开始攻击进入扫描范围内的目标。离开监控装置的扫描范围，看守机器人停止攻击并失去无敌状态。		
TxtDLC2_1Level13_31Moniter_Name2	【看守机器人】		
TxtDLC2_1Level13_31Moniter_Des2	看守机器人与监控装置联动运行，破坏监控装置就可以让看守机器人停止行动。		
			
TxtDLC2_3Level14_04Stepped_Name1	【玩法说明】		
TxtDLC2_3Level14_04Stepped_Des1	红色方块为起始点，蓝色方块为结束点。站上起始点后，红色格子亮起，代表格子已被激活，解谜开始。		
TxtDLC2_3Level14_04Stepped_Name2	【完成条件】		
TxtDLC2_3Level14_04Stepped_Des2	由起始点开始，不重复地激活所有格子并最后到达结束点，即为解谜成功。		
			
TxtDLC2_8Level15_22Blink_Name1	【跃迁装置】	0	DLC2.8主线跃迁装置教学图标题
TxtDLC2_8Level15_22Blink_Des1	站在跃迁装置上，按下交互键可激活跃迁装置。此时T键由红色转为白色，代表跃迁装置已被激活。	0	DLC2.8主线跃迁装置教学图正文
TxtDLC2_8Level15_22Blink_Name2	【传送】	0	DLC2.8主线传送教学图标题
TxtDLC2_8Level15_22Blink_Des2	在任意位置，按下白色的T键，可以瞬间传送至已激活的跃迁装置上。	0	DLC2.8主线传送教学图正文
TxtDLC2_8Level15_22Blink_Name3	【跃迁装置】	0	DLC2.8主线跃迁装置教学图标题
TxtDLC2_8Level15_22Blink_Des3	站在跃迁装置上，按下交互键可激活跃迁装置。此时传送键由红色转为白色，代表跃迁装置已被激活。	0	DLC2.8主线跃迁装置教学图正文
TxtDLC2_8Level15_22Blink_Name4	【传送】	0	DLC2.8主线传送教学图标题
TxtDLC2_8Level15_22Blink_Des4	在任意位置，按下白色的传送键，可以传送至已激活的跃迁装置上。	0	DLC2.8主线传送教学图正文
			
TxtDLC2_8Level15_22Pressure_Name1	【压感装置】	0	DLC2.8主线压感装置教学图标题
TxtDLC2_8Level15_22Pressure_Des1	当有人站在压感装置上，与压感装置关联的大门将会打开。离开压感装置后，关联的大门会在3秒后关闭。	0	DLC2.8主线压感装置教学图正文
			
TxtDLC2_8Level15_23Pressure_Name1	【限制型跃迁平台】	0	DLC2.8主线限制型跃迁平台教学图标题
TxtDLC2_8Level15_23Pressure_Des1	限制型跃迁平台需要通过与其关联的压感装置进行激活，激活后3秒后失效；在激活后，可以通过跃迁装置快速传送至其附近以使用限制型跃迁平台。	0	DLC2.8主线限制型跃迁平台教学图正文
			
TxtTutorialNitaMonopoly_Main_Title1	【树梢筑梦】	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Main_Title2	【移动】	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Main_Title3	【植物】	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Main_Title4	【奇物】	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Main_Title5	【树屋】	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Des1	在高高的树梢上，筑造只属于我们的秘密基地！	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Des2	投掷骰子，分析员会带着妮塔根据点数前进。停止后触发格子内的对应事件。通过完成事件，可以获得小金栗。移动一圈回到起点时，本轮游戏结束。	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Des3	途径或抵达种植格时，可以选择种植某种植物。种植物可以提高获取小金栗的效率。出发前，分析员和妮塔积极讨论了一番种植流派，势必在此行中获得大量小金栗。	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Des4	途经或抵达奇物格时，可以购买奇物。奇物拥有各种有利的效果。分析员叮嘱妮塔：只要合理购买奇物，效果就能事半功倍。	0	DLC2.7妮塔之邀教学图
TxtTutorialNitaMonopoly_Des5	移动一圈回到起点时，本轮游戏结束。本局赚取的小金栗会转化为筑梦值，使得树屋会逐渐完善。随着筑梦进程的推进，分析员和妮塔能解锁各种奖励和增益。	0	DLC2.7妮塔之邀教学图
			
TxtRogueSingle	单体	0	
			
TxtHealthRoom	疗愈中心	0	
TxtHealthWall	疗愈中心	0	
TxtHealthRoomTitle	神经调理	0	DLC3.4统一神经调理文本
TxtHealthStarLevel	疗愈评级:	0	
TxtHealthFrequency	疗愈次数:	0	
TxtHealthQuit	退出调理	0	
TxtHealthAgain	再来一次	0	
TxtHealthTip	直击灵魂的放松体验\n神经调理，天启者的不二选择	0	DLC3.4统一神经调理文本
TxtHealthroom.ApplyTitle	调理申请书	0	
TxtHealthroom.ApplyRole	申请人	0	
TxtHealthroom.ApplyAgree	同意	0	
TxtHealthroom.ManagePlay	查看调理申请	0	
TxtHealthroom.ManageTip	五星达成奖励	0	
			
TxtBgName1	场景切换	0	
TxtBgName2	互动时装	0	
TxtBgName3	按钮布局	0	
TxtBgBtn1	前往获取	0	
TxtBgBtn2	暂未获取	0	
TxtBgBtn3	使用	0	
TxtBgBtn4	使用中	0	
			
			
TxtRogueRiki	增益图鉴	0	
TxtRogueKeyReward	思维译码数量降低<span color="#c25c02">%d</>	0	
TxtRoguePhysical	精力值	0	
TxtRoguePhysicalDetail	每次完成悖论迷宫，将根据深入迷宫的层数降低精力值。精力值降低，思维译码获取量也将降低：	0	
TxtRoguePhysicalNum1	精力值<span color="#91c7ff"><%d</>时，思维译码获取数量降低%d	0	
TxtRoguePhysicalNum2	精力值<span color="#ffc500"><%d</>时，思维译码获取数量降低%d	0	
TxtRoguePhysicalNum3	精力值<span color="#c25c02"><%d</>时，思维译码获取数量降低%d	0	
TxtRoguePhysicalup	每10分钟将自动恢复1点精力值	0	
TxtRoguePhysicalnow	当前理智：	1000	
TxtRogueTitleKey	思维译码	0	
TxtRogueMapTitle	思维深潜	0	
TxtRogueMapTeam	思维译码	0	
TxtRogueHelpMasterKey	万用思维译码	1000	
TxtRogueHelpKeyCompose	思维译码合成	1000	
TxtRogueHelpTrial	试用队员	1000	
TxtRogueMapBag	背包	0	
TxtRogueRoleTips	挑战悖论迷宫时，上阵以下队员可获得此类思维译码	0	
TxtRogueShopSwap	投入3个相同类型的思维译码，可置换1个任意类型的思维译码	0	
TxtRogueShopSwapdeplete	投入	0	
TxtRogueShopSwapSwitch	置换	0	
TxtRogueShopNew	置换点	0	
TxtRogueMapBtn	思维深潜	0	
TxtRogueKeyPop	重置挑战将立即获得以下奖励，当前精力值低于50，获取<span color="#d68238">思维译码</>数量将会降低。是否确认立即重置？	0	
			
TxtRogueFun_001	累计启动失重模拟装置：%s/%s	0	
TxtRogueFun_002	累计消灭炸弹车数量：%s/%s	0	
TxtRogueFun_Time	剩余时间：%d秒		
TxtRogueProbation	获得试用队员	0	
TxtRogueBuffRecovery	回收	0	
TxtRogueRikiTask	耕耘之路	0	
			
TxtPlayerReturn	角色复位	0	
TxtMonsterReturn	敌人复位	0	
TxtPlayerReturnTip1	将处于异常位置的角色复原到正常位置	0	
TxtMonsterReturnTip1	将处于异常位置的敌人复原到正常位置	0	
TxtPlayerReturnTip2	当前暂无需要复位的角色	0	
TxtMonsterReturnTip2	当前暂无需要复位的敌人	0	
			
TxtRoleAppreciate	队员欣赏	0	
TxtRoleAppreciate1	路径	0	
TxtRoleAppreciate2	保存	0	
TxtRoleAppreciate3	图片已保存至：游戏安装目录\ScreenShot	0	2.7分享功能
TxtRoleAppreciate4	图片已保存至相册	0	
TxtRoleAppreciate5	图片保存失败，请开启相册权限	0	
			
TxtCatchLimitNum	今日剩余劝降次数	0	
TxtFishRiki	钓鱼攻略	0	
TxtCatchMapList	伙伴列表	0	
			
TxtContainerBox1	【悬浮集装箱】	0	
TxtContainerBox2	【转向装置】	0	
TxtContainerBox3	【运输装置】	0	
TxtContainerBox1_des	空港的集装箱内部可以通过，且集装箱上存在特殊装置，可以通过射击控制集装箱移动，从而搭成通路继续前进。	0	
